r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-1.517471134591597513e-02,6.181719062920897024e-04
9.428571428571428381e-01,-1.143013835771931053e+00,6.840880859637584778e-03
1.000000000000000000e+00,-5.765481645662164922e+00,1.048346236752494345e-02
1.057142857142856940e+00,-8.112105294442905290e+00,1.049231502982363000e-02
1.114285714285714324e+00,-6.431729638248967262e+00,7.076554618384245376e-03
1.171428571428571264e+00,-4.125203777534339977e+00,6.634396194834334300e-03
1.228571428571428648e+00,-2.480090908163813168e+00,9.201434861762515169e-03
1.285714285714285587e+00,-1.448282218015550349e+00,7.584337217790759408e-03
1.342857142857142971e+00,-8.351361529588314792e-01,7.764195370383912553e-03
1.399999999999999911e+00,-4.617870955681594447e-01,4.084169029585815909e-03
1.457142857142857295e+00,-2.222666637443863336e-01,4.508680582669659202e-03
1.514285714285714235e+00,-7.097521822749805476e-02,3.422416974797992499e-03
1.571428571428571175e+00,5.801827698992036847e-02,4.586757665599038893e-03
1.628571428571428559e+00,1.572538735753917227e-01,4.253368603187203736e-03
1.685714285714285499e+00,2.603629200803020405e-01,3.463307148759963653e-03
1.742857142857142883e+00,3.426637616705763278e-01,5.567116151960050871e-03
1.799999999999999822e+00,4.164859967853157263e-01,3.506572855029155451e-03
1.857142857142857206e+00,4.775416887600911764e-01,4.811343435749134735e-03
1.914285714285714146e+00,5.083287044692722523e-01,3.525077579583880613e-03
1.971428571428571530e+00,5.022300563293996545e-01,4.921993832235100653e-03
2.028571428571428470e+00,4.693914899128691087e-01,4.362166065432204580e-03
2.085714285714285410e+00,4.005657216718954139e-01,3.344862711016987570e-03
2.142857142857142794e+00,3.332821031885252472e-01,4.098524366671098089e-03
2.200000000000000178e+00,2.486707762557446577e-01,4.306653844295458763e-03
2.257142857142857117e+00,1.710311818181647625e-01,5.231878351152388987e-03
2.314285714285714057e+00,1.124218726282602693e-01,1.255810314232946520e-03
2.371428571428571441e+00,6.159396739010016691e-02,2.669540367241816578e-03
2.428571428571428381e+00,1.898218718338868724e-02,3.904073674789769726e-03
2.485714285714285765e+00,-6.714627844774789973e-03,2.696367191513446889e-03
2.542857142857142705e+00,-2.529683165261598088e-02,2.883321887333634842e-03
2.599999999999999645e+00,-4.730013638407108700e-02,3.564065459757562258e-03
2.657142857142857029e+00,-6.114534131590299015e-02,2.937585067964387092e-03
2.714285714285714413e+00,-6.174122028673763307e-02,2.180948267976978976e-03
2.771428571428571352e+00,-6.993460243225961548e-02,2.241858356391871962e-03
2.828571428571428292e+00,-7.101807130723655770e-02,3.939176169649366566e-03
2.885714285714285676e+00,-6.645157254178704620e-02,2.849117421107714640e-03
2.942857142857143060e+00,-6.509745665641149259e-02,2.979071367974572924e-03
3.000000000000000000e+00,-6.108848935038082434e-02,2.203257746059851616e-03
3.057142857142856940e+00,-4.794986464787518582e-02,1.283003960323752819e-03
3.114285714285713880e+00,-3.212289149264777738e-02,2.800795480586522855e-03
3.171428571428571264e+00,-2.215750602009660536e-02,3.560391135646101112e-03
3.228571428571428648e+00,-1.762243705653250211e-02,2.810679350777419219e-03
3.285714285714285587e+00,-1.464477503400201178e-02,3.591665643386277376e-03
3.342857142857142527e+00,-5.148684127665670296e-03,2.252613087963702392e-03
3.399999999999999911e+00,-1.994604073046368949e-03,2.980108043870618485e-03
3.457142857142857295e+00,4.196827745194320509e-03,2.289947453923583693e-03
3.514285714285714235e+00,7.590373588196075265e-03,1.858468479804372721e-03
3.571428571428571175e+00,1.462501804158982191e-02,2.979314386696793777e-03
3.628571428571428559e+00,1.025495733554353597e-02,2.726548055295600209e-03
3.685714285714285499e+00,8.890455073944236383e-03,1.749170169033501150e-03
3.742857142857142883e+00,1.042675805778972044e-02,2.530184075768778830e-03
3.799999999999999822e+00,6.409606266184341913e-03,2.002315029516498791e-03
3.857142857142856762e+00,8.050171030559471683e-03,2.993358015269010231e-03
3.914285714285714146e+00,1.051955088395311114e-02,1.045937786312038957e-03
3.971428571428571530e+00,1.171976350210188721e-02,1.876209320767357764e-03
4.028571428571428470e+00,1.554824954840938744e-03,1.464851372490164018e-03
4.085714285714285410e+00,3.664243627536434462e-03,2.378247910727185940e-03
4.142857142857142350e+00,1.058027343491163477e-03,1.780235126608408023e-03
4.200000000000000178e+00,2.907370165223755083e-03,1.434783955990858112e-03
4.257142857142857117e+00,3.858916839057680102e-03,1.697100197880334728e-03
4.314285714285714057e+00,2.689732515522669058e-03,1.713282127140790300e-03
4.371428571428570997e+00,4.014032411100876166e-04,1.513999672719107880e-03
4.428571428571428825e+00,-2.902426564558835496e-03,1.171867676433869902e-03
4.485714285714285765e+00,-1.438121700838679295e-03,2.579893074288363859e-03
4.542857142857142705e+00,-3.168779249417408208e-03,1.684018152172675085e-03
4.599999999999999645e+00,-2.935676079473359228e-03,1.718738575726567802e-03
4.657142857142856585e+00,-2.553199866724797755e-03,1.584758805440431061e-03
4.714285714285714413e+00,9.933864504667599959e-04,1.616946285768512334e-03
4.771428571428571352e+00,-9.517269600304078874e-04,1.415761439407750826e-03
4.828571428571428292e+00,-2.509398606421431224e-03,1.308967577193237723e-03
4.885714285714285232e+00,-2.632525164093291181e-03,9.666872519496324178e-04
4.942857142857143060e+00,-6.546259665324516636e-04,1.402994019629686838e-03
5.000000000000000000e+00,1.215452789279414291e-03,1.563270875198139722e-03
5.057142857142856940e+00,2.973320450289263124e-03,1.170515829212579687e-03
5.114285714285713880e+00,4.582556881346455885e-04,1.097214781543819247e-03
5.171428571428570820e+00,-1.367315131347779465e-03,1.018436056335951479e-03
5.228571428571428648e+00,-2.076449674537861508e-03,1.547410455890981147e-03
5.285714285714285587e+00,1.887500458523927381e-05,1.520568542958926003e-03
5.342857142857142527e+00,5.947496598603496231e-04,1.491736712764722694e-03
5.400000000000000355e+00,-1.214516001436516390e-03,2.086078105830364328e-03
5.457142857142857295e+00,9.044481191349707395e-04,1.135486644655378128e-03
5.514285714285714235e+00,-2.514918105330843541e-03,1.423548787103416690e-03
5.571428571428571175e+00,8.080880436690751839e-04,1.620145803048543814e-03
5.628571428571428115e+00,1.591303572886859554e-03,1.894649056607799380e-03
5.685714285714285054e+00,-7.086553868240752507e-04,1.064886175200860461e-03
