r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-3.412202545869050946e-03,3.237099564831411036e-03
9.428571428571428381e-01,-6.727435188012692580e-01,4.061199424122819562e-02
1.000000000000000000e+00,-3.472161933317524873e+00,1.603601835999385883e-01
1.057142857142856940e+00,-5.784521291188545966e+00,9.172133746855944125e-02
1.114285714285714324e+00,-5.855135097795971966e+00,1.147929095040320091e-01
1.171428571428571264e+00,-3.967148575211368211e+00,1.720479403376749261e-01
1.228571428571428648e+00,-3.133849463611876107e+00,9.593798069543925389e-02
1.285714285714285587e+00,-2.285219822809978929e+00,8.262753677259312979e-02
1.342857142857142971e+00,-1.698388857457042489e+00,5.165100312726109144e-02
1.399999999999999911e+00,-1.296347958337078499e+00,5.993919136702825778e-02
1.457142857142857295e+00,-1.140880778334381951e+00,4.836195862687670682e-02
1.514285714285714235e+00,-9.560968481050917678e-01,7.909092368414066820e-02
1.571428571428571175e+00,-8.794705630743736569e-01,3.019352331209976259e-02
1.628571428571428559e+00,-8.400237220739491528e-01,6.374560510112205203e-02
1.685714285714285499e+00,-7.841530727981853577e-01,3.784081417382095108e-02
1.742857142857142883e+00,-8.686542649253772286e-01,5.417629293489361481e-02
1.799999999999999822e+00,-8.884747685010706553e-01,3.946297483386267818e-02
1.857142857142857206e+00,-8.593656469769233031e-01,5.127301999666867421e-02
1.914285714285714146e+00,-1.001017308682489837e+00,5.128694059788394682e-02
1.971428571428571530e+00,-8.557456519376476223e-01,4.166203008060607310e-02
2.028571428571428470e+00,-7.554348419603419407e-01,6.584961642433886930e-02
2.085714285714285410e+00,-8.698369509312652292e-01,3.470626592454725129e-02
2.142857142857142794e+00,-6.645544015482535150e-01,4.809917321776660537e-02
2.200000000000000178e+00,-7.473623141736139841e-01,3.407843013624174688e-02
2.257142857142857117e+00,-5.992058334763248340e-01,2.680923660405253386e-02
2.314285714285714057e+00,-6.747085446840511702e-01,2.935792707983517560e-02
2.371428571428571441e+00,-4.422692429925108581e-01,3.183679009987874786e-02
2.428571428571428381e+00,-4.423834354149793202e-01,3.719706670906484242e-02
2.485714285714285765e+00,-4.039044460001610659e-01,2.314267208196509398e-02
2.542857142857142705e+00,-4.563143402322486497e-01,4.420118341054937727e-02
2.599999999999999645e+00,-3.893680578006484261e-01,2.746587639163581424e-02
2.657142857142857029e+00,-3.912835748295640514e-01,2.427497812244417894e-02
2.714285714285714413e+00,-3.322735363584842783e-01,2.183315296519975496e-02
2.771428571428571352e+00,-3.595818057797984801e-01,3.333834752078271985e-02
2.828571428571428292e+00,-3.705096783499948754e-01,3.851777915925987811e-02
2.885714285714285676e+00,-2.999817984965110207e-01,4.361929754170935231e-02
2.942857142857143060e+00,-3.288959475970586466e-01,2.283496891653307576e-02
3.000000000000000000e+00,-2.696479350117901852e-01,3.920380691183508043e-02
3.057142857142856940e+00,-3.095779970703295692e-01,3.441878950787775199e-02
3.114285714285713880e+00,-2.684980611538433370e-01,2.291653613614745913e-02
3.171428571428571264e+00,-2.781979060027830464e-01,3.099318667099749958e-02
3.228571428571428648e+00,-2.322687907455870115e-01,2.961238543198323539e-02
3.285714285714285587e+00,-2.873530461072388298e-01,2.206824485199594330e-02
3.342857142857142527e+00,-2.138332970856254289e-01,2.787938837014281718e-02
3.399999999999999911e+00,-1.757625396995140532e-01,1.518878607166754963e-02
3.457142857142857295e+00,-1.825704607816037439e-01,2.898226578343570878e-02
3.514285714285714235e+00,-1.400445203174268127e-01,2.995895271066627980e-02
3.571428571428571175e+00,-1.853756576886925744e-01,1.827280212841899537e-02
3.628571428571428559e+00,-1.329266735206525996e-01,3.656723561121150851e-02
3.685714285714285499e+00,-1.889882565429744921e-01,1.675353298218703116e-02
3.742857142857142883e+00,-1.719007767502015727e-01,2.628037487742928766e-02
3.799999999999999822e+00,-1.193684178340268520e-01,2.018766916761446234e-02
3.857142857142856762e+00,-1.583991493812115514e-01,2.407786216664224363e-02
3.914285714285714146e+00,-9.888661331295242607e-02,3.284601710046600870e-02
3.971428571428571530e+00,-1.491454865602504232e-01,2.801512052361677593e-02
4.028571428571428470e+00,-8.158721090445024415e-02,2.143171415718734402e-02
4.085714285714285410e+00,-8.203263754703302157e-02,2.144933363690735423e-02
4.142857142857142350e+00,-1.130320512400175559e-01,1.982764192196632275e-02
4.200000000000000178e+00,-8.043312466856762655e-02,1.891809615811891263e-02
4.257142857142857117e+00,-1.188851061536381898e-01,1.527958781205855827e-02
4.314285714285714057e+00,-1.083951874777012020e-01,2.042648287037083371e-02
4.371428571428570997e+00,-7.369690042337298519e-02,2.053001755346453572e-02
4.428571428571428825e+00,-1.457342495386247105e-01,1.786870076004318589e-02
4.485714285714285765e+00,-9.213802868332147955e-02,2.559924982409049130e-02
4.542857142857142705e+00,-6.852084425710362747e-02,1.360458118590849447e-02
4.599999999999999645e+00,-6.932824740287006626e-02,1.992641311210388219e-02
4.657142857142856585e+00,-7.737261380676589695e-02,1.886192471138853355e-02
4.714285714285714413e+00,-2.002253990589479907e-02,2.260502112770387123e-02
4.771428571428571352e+00,-5.491888632691928340e-02,2.233892632342801901e-02
4.828571428571428292e+00,-1.052153578465463007e-01,1.922491638829947752e-02
4.885714285714285232e+00,-9.811148719951304220e-02,1.803339247609063792e-02
4.942857142857143060e+00,-5.902138845292448366e-02,1.457364235869452150e-02
5.000000000000000000e+00,-3.939530391571281764e-02,2.015503142666308367e-02
5.057142857142856940e+00,-8.226322753557165079e-02,1.594142623374310633e-02
5.114285714285713880e+00,-5.021361954757559698e-02,9.356625271459537499e-03
5.171428571428570820e+00,-3.614998788810817182e-02,1.666882420399754677e-02
5.228571428571428648e+00,-8.235426908602416773e-02,2.133963119004863435e-02
5.285714285714285587e+00,-5.170879006569366332e-02,1.838813585141494192e-02
5.342857142857142527e+00,-6.764414957676387341e-02,1.084195049160775401e-02
5.400000000000000355e+00,-7.517865472695099693e-02,1.410255072242259933e-02
5.457142857142857295e+00,-6.272017298590001899e-02,1.567713945981610499e-02
5.514285714285714235e+00,-4.784882676384794031e-02,1.672215487878228601e-02
5.571428571428571175e+00,-4.498318905429330578e-02,1.541969990072948951e-02
5.628571428571428115e+00,-3.557354730175497221e-02,2.412452963089059543e-02
