r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-1.967114663058786104e-03,2.427362759129918831e-03
9.428571428571428381e-01,-1.374262696654078852e-01,1.439519084637651443e-02
1.000000000000000000e+00,-7.714240958805771431e-01,2.405985162551275286e-02
1.057142857142856940e+00,-1.266394132392318905e+00,4.647150080033505409e-02
1.114285714285714324e+00,-1.158425415811997983e+00,7.142998600595300285e-02
1.171428571428571264e+00,-8.564863443952080990e-01,3.295405873517648354e-02
1.228571428571428648e+00,-6.600085519317385740e-01,3.146813415091648247e-02
1.285714285714285587e+00,-4.958254959675008067e-01,2.045303452349911399e-02
1.342857142857142971e+00,-3.609044292669431608e-01,2.138697359482972724e-02
1.399999999999999911e+00,-3.137978117916760401e-01,2.112401418026944866e-02
1.457142857142857295e+00,-2.442890809183445866e-01,1.971048881684205750e-02
1.514285714285714235e+00,-2.122247266799615062e-01,1.587342424165208085e-02
1.571428571428571175e+00,-2.068943351993646762e-01,1.977337888489132806e-02
1.628571428571428559e+00,-1.963167040099219052e-01,1.440261390589437675e-02
1.685714285714285499e+00,-1.819649481354829734e-01,1.451415040458249595e-02
1.742857142857142883e+00,-2.245750939125325252e-01,1.633824347681024636e-02
1.799999999999999822e+00,-2.239810684346086322e-01,1.607560469625990071e-02
1.857142857142857206e+00,-2.127223966054401783e-01,2.247339627136757736e-02
1.914285714285714146e+00,-2.187379929458651284e-01,1.761856727741754197e-02
1.971428571428571530e+00,-2.051541212831688443e-01,2.402978701495944377e-02
2.028571428571428470e+00,-2.189514242238766728e-01,1.528042992614635220e-02
2.085714285714285410e+00,-2.199235954076084743e-01,1.922093207730425288e-02
2.142857142857142794e+00,-1.794197350872700214e-01,6.449655956188935640e-03
2.200000000000000178e+00,-1.764864151886486321e-01,1.290995594871535528e-02
2.257142857142857117e+00,-1.674188284101546242e-01,1.056461112110563400e-02
2.314285714285714057e+00,-1.501076284144335360e-01,1.680859993813496600e-02
2.371428571428571441e+00,-1.320423577735072018e-01,8.980023814157991197e-03
2.428571428571428381e+00,-1.227543836169198571e-01,8.599434500992434588e-03
2.485714285714285765e+00,-1.433698576276003500e-01,1.098053684538020588e-02
2.542857142857142705e+00,-1.312286680658465987e-01,9.927585193926457413e-03
2.599999999999999645e+00,-1.053170065987611148e-01,8.739647619388642499e-03
2.657142857142857029e+00,-8.326868259431952080e-02,7.250589142387279910e-03
2.714285714285714413e+00,-1.033643738716751442e-01,8.322900452929146708e-03
2.771428571428571352e+00,-9.498704618548255152e-02,1.156417666669290814e-02
2.828571428571428292e+00,-8.361012048232416283e-02,1.029454953541245228e-02
2.885714285714285676e+00,-9.789402534619487395e-02,7.831374810022485172e-03
2.942857142857143060e+00,-9.227540108485880743e-02,1.178331390518069267e-02
3.000000000000000000e+00,-8.669031397865212263e-02,7.957108783667338550e-03
3.057142857142856940e+00,-7.858109664618333212e-02,6.369685157156981803e-03
3.114285714285713880e+00,-7.867010861761451757e-02,9.807761130416833492e-03
3.171428571428571264e+00,-8.375419258400999822e-02,6.032237414225256715e-03
3.228571428571428648e+00,-6.177554700917560482e-02,1.095205979894991848e-02
3.285714285714285587e+00,-6.404584503762011938e-02,6.277937075604814003e-03
3.342857142857142527e+00,-5.393064603951620850e-02,9.562956064893718064e-03
3.399999999999999911e+00,-6.494176701081191827e-02,8.856655602522019860e-03
3.457142857142857295e+00,-6.123845836748546823e-02,6.510637378506071646e-03
3.514285714285714235e+00,-7.401682701273944176e-02,7.070706797327177759e-03
3.571428571428571175e+00,-4.013452618966766028e-02,7.708166508640236503e-03
3.628571428571428559e+00,-6.179636136540234137e-02,8.145363524421649418e-03
3.685714285714285499e+00,-4.417887908677280151e-02,6.028601869157925071e-03
3.742857142857142883e+00,-5.506199746716065185e-02,3.983369382405280677e-03
3.799999999999999822e+00,-4.566265700019469381e-02,8.377480329888426988e-03
3.857142857142856762e+00,-3.748805509754473547e-02,7.660918535766810325e-03
3.914285714285714146e+00,-3.855375525599080699e-02,5.025204515519554258e-03
3.971428571428571530e+00,-3.504186362459047605e-02,7.449143218112092707e-03
4.028571428571428470e+00,-4.016887788426717204e-02,5.299551451773502724e-03
4.085714285714285410e+00,-3.583181396784949208e-02,1.109154518494807548e-02
4.142857142857142350e+00,-3.355178818184425399e-02,7.614100713057899567e-03
4.200000000000000178e+00,-3.592233889932585494e-02,8.050667834171711806e-03
4.257142857142857117e+00,-4.167391611686832587e-02,5.624709603171042932e-03
4.314285714285714057e+00,-2.381009985181199370e-02,3.623911349017119084e-03
4.371428571428570997e+00,-2.810579292484305380e-02,9.421251223988062751e-03
4.428571428571428825e+00,-4.019438591787564963e-02,5.312774183643317709e-03
4.485714285714285765e+00,-2.861778373568768519e-02,6.310021182956694792e-03
4.542857142857142705e+00,-2.069555726137357540e-02,8.305873276675959996e-03
4.599999999999999645e+00,-2.652978714113667438e-02,7.815698704589046225e-03
4.657142857142856585e+00,-2.578520270904851447e-02,8.066235479090501370e-03
4.714285714285714413e+00,-1.252524679723001667e-02,8.093401844995509395e-03
4.771428571428571352e+00,-2.348274489146860017e-02,5.220655658551867813e-03
4.828571428571428292e+00,-1.332398388592281879e-02,7.016656113904554647e-03
4.885714285714285232e+00,-2.258569837854560586e-02,5.314353918302467013e-03
4.942857142857143060e+00,-2.811226577958685427e-02,4.777741324339742843e-03
5.000000000000000000e+00,-1.743363314206218886e-02,5.614207564919188216e-03
5.057142857142856940e+00,-2.696402176455610020e-02,4.894933684435353628e-03
5.114285714285713880e+00,-2.356296635658621311e-02,3.292821943849060136e-03
5.171428571428570820e+00,-2.707435624820804174e-02,8.414654878949094641e-03
5.228571428571428648e+00,-1.204769116202879589e-02,5.174793393774745030e-03
5.285714285714285587e+00,-2.681958224027656407e-02,4.745558445301174821e-03
5.342857142857142527e+00,-3.107873094412600887e-02,5.856898244813326868e-03
5.400000000000000355e+00,-1.334240980837786417e-02,4.640141699625409226e-03
5.457142857142857295e+00,-1.881799872027329831e-02,4.335304912846298445e-03
5.514285714285714235e+00,-2.904051264910467636e-03,6.056399474515960883e-03
5.571428571428571175e+00,1.676584368537015202e-03,4.257977117277221384e-03
5.628571428571428115e+00,-5.403302705260970736e-03,3.768760937614323760e-03
