r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-1.268827305925969429e-02,2.115056893772484115e-03
9.428571428571428381e-01,-1.296999848931561283e+00,9.468567567085415734e-03
1.000000000000000000e+00,-7.327913640993644506e+00,3.345955864056819606e-02
1.057142857142856940e+00,-1.171521324932542996e+01,1.181698204718598377e-01
1.114285714285714324e+00,-1.059650298192066487e+01,3.324706320327084491e-02
1.171428571428571264e+00,-8.028265013119044724e+00,8.630699150983157930e-02
1.228571428571428648e+00,-6.293585789189295454e+00,6.759863609939348317e-02
1.285714285714285587e+00,-4.926364510998414659e+00,1.128455602165462368e-01
1.342857142857142971e+00,-3.877828417476829603e+00,5.144756007192230474e-02
1.399999999999999911e+00,-2.975977491770420258e+00,3.923520453465186714e-02
1.457142857142857295e+00,-2.448293374941791889e+00,2.254798507009894010e-02
1.514285714285714235e+00,-1.896590156006290995e+00,2.053865062471020575e-02
1.571428571428571175e+00,-1.523880904435666039e+00,4.293010421936060972e-02
1.628571428571428559e+00,-1.262638027860535583e+00,3.887854730090305883e-02
1.685714285714285499e+00,-9.337586976447811438e-01,6.019455292903436866e-02
1.742857142857142883e+00,-7.414639313009301347e-01,3.161047035996875781e-02
1.799999999999999822e+00,-6.126787087436371682e-01,2.983118943012945737e-02
1.857142857142857206e+00,-4.071651196793654170e-01,2.361385722359053002e-02
1.914285714285714146e+00,-3.539700273909553996e-01,4.922982420742465920e-02
1.971428571428571530e+00,-2.184216630379209323e-01,1.905825256583601121e-02
2.028571428571428470e+00,-1.158791932221895082e-01,2.661419271244778312e-02
2.085714285714285410e+00,-1.784044747798501154e-02,1.329855606292943554e-02
2.142857142857142794e+00,3.646783012652606015e-02,2.738198021692629658e-02
2.200000000000000178e+00,1.185743576759032934e-02,1.114644329618285495e-02
2.257142857142857117e+00,3.501985473969617541e-02,1.311740633409225719e-02
2.314285714285714057e+00,7.818129085858882554e-02,9.021079369255802574e-03
2.371428571428571441e+00,-2.811225246711577391e-02,3.533713197600300837e-02
2.428571428571428381e+00,2.184805817281016901e-02,2.097763671013127412e-02
2.485714285714285765e+00,3.112015952644870895e-02,1.106597097602710425e-02
2.542857142857142705e+00,4.458487147758238844e-02,2.906314661211581094e-02
2.599999999999999645e+00,3.160702531154950534e-02,1.410444437862218986e-02
2.657142857142857029e+00,-1.012757496258118693e-02,2.945421475269456579e-02
2.714285714285714413e+00,-1.105766153084615164e-02,4.454136403494953628e-02
2.771428571428571352e+00,9.972850645625076088e-03,1.019970118847773194e-02
2.828571428571428292e+00,2.840426937398585899e-02,1.679451672479626012e-02
2.885714285714285676e+00,-4.052444863425130536e-03,9.512820972307850509e-03
2.942857142857143060e+00,2.499850767497280215e-03,9.616147092730726112e-03
3.000000000000000000e+00,4.801430675969076134e-02,2.441557765974164754e-02
3.057142857142856940e+00,4.213507000974954508e-02,4.162648299372433830e-02
3.114285714285713880e+00,3.409773166612466155e-02,2.484984310088590720e-02
3.171428571428571264e+00,1.400904588323168519e-02,1.082480927405364036e-02
3.228571428571428648e+00,-2.859501125866657084e-02,1.868656219889264919e-02
3.285714285714285587e+00,5.981480515074410597e-04,7.562990960226855831e-03
3.342857142857142527e+00,-1.045882661619625988e-02,1.206585478310210485e-02
3.399999999999999911e+00,-1.115420419684440799e-02,8.945000989466558861e-03
3.457142857142857295e+00,7.606128777144593664e-03,1.366126116299505068e-02
3.514285714285714235e+00,-2.773339322222199282e-02,1.393236456527535694e-02
3.571428571428571175e+00,4.000205041895243951e-04,1.425000937159994104e-02
3.628571428571428559e+00,3.709370878520212769e-03,1.099836866940073245e-02
3.685714285714285499e+00,-1.422210120660409929e-02,9.820636112056350953e-03
3.742857142857142883e+00,-8.383582222758234268e-03,6.119259408077936183e-03
3.799999999999999822e+00,-4.384514628877043269e-02,2.732660686214470266e-02
3.857142857142856762e+00,2.932689055837434111e-02,1.752017088208934759e-02
3.914285714285714146e+00,1.905390082475371186e-02,8.983447671216716196e-03
3.971428571428571530e+00,1.636297998195346270e-02,1.617949364190037972e-02
4.028571428571428470e+00,-2.027841752242354190e-03,6.285681398386597576e-03
4.085714285714285410e+00,-1.689467085253957418e-02,1.247305565978333759e-02
4.142857142857142350e+00,2.115280735697444515e-04,9.592640499314649891e-03
4.200000000000000178e+00,-7.056719506644082082e-03,8.332410544757478874e-03
4.257142857142857117e+00,-3.412841348070893947e-03,5.202658573496687401e-03
4.314285714285714057e+00,-9.161030721173779243e-03,1.150669573095675947e-02
4.371428571428570997e+00,-1.755851632365317341e-02,8.266856197535314005e-03
4.428571428571428825e+00,8.231573999027186339e-03,9.669602638763111213e-03
4.485714285714285765e+00,1.279068023976004387e-02,6.421488888377823931e-03
4.542857142857142705e+00,6.367089126625358024e-03,3.952561333457971574e-03
4.599999999999999645e+00,2.341872289311524094e-02,2.459677061706293591e-02
4.657142857142856585e+00,1.230511552906654593e-03,4.811942703366987525e-03
4.714285714285714413e+00,9.901391619193367424e-03,1.162773631469853595e-02
4.771428571428571352e+00,1.104697672957755117e-02,6.028132615385940404e-03
4.828571428571428292e+00,-8.561454990861605899e-03,7.640742933627644659e-03
4.885714285714285232e+00,-3.065374072000004533e-03,1.047610871935702494e-02
4.942857142857143060e+00,7.715365411231633885e-04,6.453897847808516205e-03
5.000000000000000000e+00,-1.580997691670527061e-03,4.812966007459935566e-03
5.057142857142856940e+00,-2.585172352414244652e-03,3.701997117527499291e-03
5.114285714285713880e+00,5.990805197984383317e-03,6.098530281963611757e-03
5.171428571428570820e+00,-1.098415323514512210e-03,6.887198520411267656e-03
5.228571428571428648e+00,-1.114910323585238672e-02,8.699410558037032684e-03
5.285714285714285587e+00,-7.830573051127064782e-03,1.136438339705115111e-02
5.342857142857142527e+00,-4.112091063764556145e-03,6.235767825023423409e-03
5.400000000000000355e+00,7.351374885032413604e-03,3.189077905686670423e-03
5.457142857142857295e+00,-2.353280313221017828e-03,5.529312342555969470e-03
5.514285714285714235e+00,-6.663031561064114254e-03,5.098178795114822158e-03
5.571428571428571175e+00,5.100256616898168893e-03,4.774995670013939056e-03
5.628571428571428115e+00,-8.589447964851105316e-03,6.105794057962904767e-03
5.685714285714285054e+00,-9.905230308769885639e-03,5.899658513608860635e-03
