r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-3.745444613113664556e-03,6.396201735288922427e-03
9.428571428571428381e-01,-3.651290479353232477e-01,4.501861398966477273e-02
1.000000000000000000e+00,-2.100166867380393931e+00,1.055626216808117218e-01
1.057142857142856940e+00,-3.908815414616054973e+00,1.349279626085622685e-01
1.114285714285714324e+00,-3.760473114407326900e+00,1.158208113440893638e-01
1.171428571428571264e+00,-3.338754131178559792e+00,1.265108712554174064e-01
1.228571428571428648e+00,-2.906813435351411012e+00,6.085876521649553200e-02
1.285714285714285587e+00,-2.629566770824976363e+00,6.374913401886773967e-02
1.342857142857142971e+00,-2.343086882016093941e+00,7.639004587824589632e-02
1.399999999999999911e+00,-1.992752371351247165e+00,1.002661026093153301e-01
1.457142857142857295e+00,-1.750826342190225038e+00,8.135980292678494930e-02
1.514285714285714235e+00,-1.597264640133330804e+00,4.661286648853724818e-02
1.571428571428571175e+00,-1.372173179477639282e+00,8.114491390766136181e-02
1.628571428571428559e+00,-1.341983830565531388e+00,4.466409188482697162e-02
1.685714285714285499e+00,-1.247852259433062994e+00,7.322052932091330235e-02
1.742857142857142883e+00,-1.052560554351852806e+00,5.185996624179627090e-02
1.799999999999999822e+00,-1.043943037006576757e+00,6.291125470715977497e-02
1.857142857142857206e+00,-1.045027407020305610e+00,3.284959547220987763e-02
1.914285714285714146e+00,-9.739863822095543577e-01,7.181473605469329557e-02
1.971428571428571530e+00,-9.572243417548605970e-01,4.881447898356688908e-02
2.028571428571428470e+00,-8.761289322311579530e-01,3.904540570198274801e-02
2.085714285714285410e+00,-8.582526536067025535e-01,5.490220834881245210e-02
2.142857142857142794e+00,-7.704773167571123960e-01,3.329048460872964521e-02
2.200000000000000178e+00,-6.732850165865638115e-01,5.652846283892450779e-02
2.257142857142857117e+00,-7.151668169962580590e-01,4.577813494055080895e-02
2.314285714285714057e+00,-6.882366384705453921e-01,5.177435243404389376e-02
2.371428571428571441e+00,-6.776070434739752679e-01,2.244942152598338250e-02
2.428571428571428381e+00,-5.962333042923795290e-01,3.079848790359993385e-02
2.485714285714285765e+00,-5.949403592452008338e-01,3.893613475468758744e-02
2.542857142857142705e+00,-5.069510637358268790e-01,4.534050281143257866e-02
2.599999999999999645e+00,-5.102145074455549656e-01,5.417615691745142348e-02
2.657142857142857029e+00,-5.067474014278107175e-01,5.472650538659203784e-02
2.714285714285714413e+00,-4.920663153884584640e-01,3.352891645548777139e-02
2.771428571428571352e+00,-4.239080638631512743e-01,3.855002483124143203e-02
2.828571428571428292e+00,-4.859956662188661403e-01,2.770034406623974807e-02
2.885714285714285676e+00,-4.540424626133642283e-01,4.295596702404481243e-02
2.942857142857143060e+00,-3.961656655231318713e-01,2.713216538950443193e-02
3.000000000000000000e+00,-3.701683023126309813e-01,3.593161184445894246e-02
3.057142857142856940e+00,-3.918586620155813938e-01,4.463997997783593352e-02
3.114285714285713880e+00,-3.873776990769554618e-01,3.943788671953230712e-02
3.171428571428571264e+00,-3.569068945181804731e-01,1.930626363215092942e-02
3.228571428571428648e+00,-3.414489628947139366e-01,2.467271213672161609e-02
3.285714285714285587e+00,-3.409316359289986664e-01,2.254926472115173844e-02
3.342857142857142527e+00,-3.392839820305769694e-01,4.125372362089657630e-02
3.399999999999999911e+00,-2.615402007297553677e-01,3.720497744448612865e-02
3.457142857142857295e+00,-2.700118127123679601e-01,2.666475059657118230e-02
3.514285714285714235e+00,-2.672493419623381827e-01,2.801944356489011884e-02
3.571428571428571175e+00,-2.425256312890891053e-01,3.489076809724400707e-02
3.628571428571428559e+00,-2.491997956224968891e-01,2.998929539732049510e-02
3.685714285714285499e+00,-2.144182374629636512e-01,2.599182606057334061e-02
3.742857142857142883e+00,-1.969805146855881373e-01,4.004835172281162592e-02
3.799999999999999822e+00,-2.365470889452420677e-01,2.201677171164686045e-02
3.857142857142856762e+00,-1.674378327866750393e-01,2.397950157740827426e-02
3.914285714285714146e+00,-2.294886614037154049e-01,3.894223789834525690e-02
3.971428571428571530e+00,-1.790119069262150475e-01,1.832621092385263578e-02
4.028571428571428470e+00,-2.059831411056215755e-01,2.029216162637627677e-02
4.085714285714285410e+00,-1.743173125364941567e-01,2.103187360435051362e-02
4.142857142857142350e+00,-1.686362610129881201e-01,1.842517481108732827e-02
4.200000000000000178e+00,-1.908596291365456665e-01,2.143120227163470767e-02
4.257142857142857117e+00,-1.551911193685938661e-01,2.420562184134755768e-02
4.314285714285714057e+00,-1.329950020593994309e-01,2.151417283366013553e-02
4.371428571428570997e+00,-1.595696243963580507e-01,2.412283248553121970e-02
4.428571428571428825e+00,-1.039146417080919205e-01,1.617599362807961225e-02
4.485714285714285765e+00,-1.162323953447141484e-01,2.748195566146529809e-02
4.542857142857142705e+00,-9.972052118047045055e-02,2.249076182831421383e-02
4.599999999999999645e+00,-1.443437814617972159e-01,1.931932472583112667e-02
4.657142857142856585e+00,-1.469998907851571279e-01,1.602327756672581108e-02
4.714285714285714413e+00,-1.355827309781544865e-01,1.811324812668073034e-02
4.771428571428571352e+00,-7.158424868858088985e-02,1.193844518309216882e-02
4.828571428571428292e+00,-1.505611478051596119e-01,1.257288474738823235e-02
4.885714285714285232e+00,-1.158863004483354359e-01,1.771338980251106407e-02
4.942857142857143060e+00,-1.331162745507171452e-01,3.063353406839112308e-02
5.000000000000000000e+00,-7.858774657413251929e-02,1.724774580334677634e-02
5.057142857142856940e+00,-6.549336539313461991e-02,2.561328887815247229e-02
5.114285714285713880e+00,-8.410371267895389025e-02,2.058450143270457861e-02
5.171428571428570820e+00,-8.144860961763029927e-02,2.377666878428044694e-02
5.228571428571428648e+00,-8.200622723050692009e-02,1.429882578501198015e-02
5.285714285714285587e+00,-7.704012317102389151e-02,2.248939052924913209e-02
5.342857142857142527e+00,-9.092729637203214588e-02,2.109020106456294813e-02
5.400000000000000355e+00,-4.117542483614333726e-02,2.883022488386413965e-02
5.457142857142857295e+00,-7.999045187562325854e-02,3.010565170426319354e-02
5.514285714285714235e+00,-8.199546345894366539e-02,2.151039983422652763e-02
5.571428571428571175e+00,-7.079164704211415859e-02,1.545110214837682253e-02
5.628571428571428115e+00,-7.092091227222752092e-02,1.415248205744705848e-02
