r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-6.717330330716874114e-04,6.456565573645256127e-04
9.428571428571428381e-01,-5.982331105215628331e-02,4.302620317471207365e-03
1.000000000000000000e+00,-4.064895533946913386e-01,8.832460182940383639e-03
1.057142857142856940e+00,-6.881234748790892031e-01,2.087781564813954646e-02
1.114285714285714324e+00,-7.147677570936430413e-01,1.688870243019414963e-02
1.171428571428571264e+00,-6.359421010952338582e-01,1.962651070782910415e-02
1.228571428571428648e+00,-5.462942044847365342e-01,1.885826904266306100e-02
1.285714285714285587e+00,-4.907004886944157929e-01,1.376073346042233983e-02
1.342857142857142971e+00,-4.215304207343221199e-01,1.938816745370817649e-02
1.399999999999999911e+00,-3.725737277390644975e-01,1.468161928179856010e-02
1.457142857142857295e+00,-3.229808655514448401e-01,1.056765186468883351e-02
1.514285714285714235e+00,-3.184843653247639295e-01,9.275770487995356819e-03
1.571428571428571175e+00,-2.753519671800520041e-01,1.064248341045495594e-02
1.628571428571428559e+00,-2.517054804937134405e-01,8.464523604880392141e-03
1.685714285714285499e+00,-2.247099872544806587e-01,6.622617650320511765e-03
1.742857142857142883e+00,-2.111810658657195527e-01,7.312755803671134626e-03
1.799999999999999822e+00,-1.983845500478245705e-01,7.112217833879308157e-03
1.857142857142857206e+00,-1.897065728487148106e-01,7.570110554725636640e-03
1.914285714285714146e+00,-1.794343681459018569e-01,7.917424460595644253e-03
1.971428571428571530e+00,-1.562098194268564944e-01,8.124125723958462025e-03
2.028571428571428470e+00,-1.634037428428467276e-01,7.105982134455054999e-03
2.085714285714285410e+00,-1.612599340906386014e-01,7.899625383919963925e-03
2.142857142857142794e+00,-1.435842314732545533e-01,8.718106245486733144e-03
2.200000000000000178e+00,-1.595601743508477388e-01,8.688262136595263294e-03
2.257142857142857117e+00,-1.316488004342698803e-01,8.968793015123851034e-03
2.314285714285714057e+00,-1.247736882394399061e-01,7.529609079859165763e-03
2.371428571428571441e+00,-1.226919386632703002e-01,8.265822566773012997e-03
2.428571428571428381e+00,-1.088606785227542312e-01,6.452188785264532413e-03
2.485714285714285765e+00,-1.079456319032352091e-01,6.209339788658405426e-03
2.542857142857142705e+00,-1.022392864852573469e-01,6.098356543297814812e-03
2.599999999999999645e+00,-1.000291891228335395e-01,2.058547901497953091e-03
2.657142857142857029e+00,-9.057366226384837293e-02,5.819481622090646837e-03
2.714285714285714413e+00,-9.007588424103243896e-02,4.841197872102409594e-03
2.771428571428571352e+00,-8.494465680962844101e-02,5.869645794567192147e-03
2.828571428571428292e+00,-8.012055657437584799e-02,6.189048403852246728e-03
2.885714285714285676e+00,-7.155419052232206423e-02,5.339862639832486380e-03
2.942857142857143060e+00,-7.232401887543435381e-02,5.790810720382515327e-03
3.000000000000000000e+00,-7.176645393692607233e-02,2.863107532640930646e-03
3.057142857142856940e+00,-6.544118318296829329e-02,5.177313470885835760e-03
3.114285714285713880e+00,-6.382294600084700842e-02,5.403199579585210577e-03
3.171428571428571264e+00,-5.830157688111015091e-02,6.925133600735467430e-03
3.228571428571428648e+00,-5.901376419512969346e-02,3.607055763791426443e-03
3.285714285714285587e+00,-5.466760212165382160e-02,5.171573067291350932e-03
3.342857142857142527e+00,-5.748216561376837813e-02,3.318838482971736992e-03
3.399999999999999911e+00,-5.193272475951395822e-02,3.709595207297375439e-03
3.457142857142857295e+00,-4.955204078339832396e-02,3.979655178075381175e-03
3.514285714285714235e+00,-3.969848691992385742e-02,4.013859386731119180e-03
3.571428571428571175e+00,-4.011224795352681671e-02,3.518883004400427499e-03
3.628571428571428559e+00,-3.364155259417520721e-02,3.830700153851637844e-03
3.685714285714285499e+00,-3.979281612351524139e-02,5.400080671952360752e-03
3.742857142857142883e+00,-3.905822477924325575e-02,5.378225866104522669e-03
3.799999999999999822e+00,-2.893469713934992971e-02,3.075240607571532933e-03
3.857142857142856762e+00,-3.228634238363550096e-02,4.652315357578037242e-03
3.914285714285714146e+00,-3.757062933117956416e-02,2.930207327360086732e-03
3.971428571428571530e+00,-2.897195563798478021e-02,3.393526324313805419e-03
4.028571428571428470e+00,-3.207077449210320175e-02,3.661471134109826452e-03
4.085714285714285410e+00,-2.969253960369828624e-02,3.714825414942708823e-03
4.142857142857142350e+00,-2.530692629341901867e-02,3.178874829480351095e-03
4.200000000000000178e+00,-3.285882032478730508e-02,2.737090529322919012e-03
4.257142857142857117e+00,-2.378055855047973496e-02,4.423534547597792431e-03
4.314285714285714057e+00,-2.143185601463975035e-02,2.764069944948365290e-03
4.371428571428570997e+00,-2.239815236092419434e-02,5.117898693018468198e-03
4.428571428571428825e+00,-2.739782897461671279e-02,2.043961511146028236e-03
4.485714285714285765e+00,-2.127383943392486751e-02,2.646820952533887085e-03
4.542857142857142705e+00,-2.561624111566882661e-02,3.612656124009840271e-03
4.599999999999999645e+00,-2.005405595725482520e-02,3.623846963481227104e-03
4.657142857142856585e+00,-2.629332589203992043e-02,2.786412513680634750e-03
4.714285714285714413e+00,-2.192800678026292013e-02,3.075114621909263990e-03
4.771428571428571352e+00,-2.504676583850489260e-02,2.410154872864700079e-03
4.828571428571428292e+00,-1.970990887540522568e-02,3.004896219087897519e-03
4.885714285714285232e+00,-1.721275677358975395e-02,3.029491948159388718e-03
4.942857142857143060e+00,-1.354029493389712416e-02,2.956535578951483261e-03
5.000000000000000000e+00,-1.465217624990793402e-02,2.201082648740993256e-03
5.057142857142856940e+00,-1.508740161444750358e-02,2.161317711849887035e-03
5.114285714285713880e+00,-1.490798529863364072e-02,2.060540193703533276e-03
5.171428571428570820e+00,-1.697079085529371728e-02,3.604543292696717974e-03
5.228571428571428648e+00,-1.575938334583313477e-02,2.570295964911276099e-03
5.285714285714285587e+00,-1.306140545173590725e-02,3.933348773565539455e-03
5.342857142857142527e+00,-1.230660515130532762e-02,3.039143984956045770e-03
5.400000000000000355e+00,-9.247676600984310741e-03,2.884220093562465340e-03
5.457142857142857295e+00,-1.038792724822350591e-02,3.511907565236669845e-03
5.514285714285714235e+00,-1.273852968729436395e-02,2.134861833375860125e-03
5.571428571428571175e+00,-7.262153158434414384e-03,2.142099060594274997e-03
5.628571428571428115e+00,-1.262950386912147296e-02,2.342496567908369104e-03
