r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,8.431124413923354415e-07,7.998466915275013281e-07
8.857142857142856762e-01,3.558976570777379507e-03,7.837407413984867123e-05
9.428571428571428381e-01,2.827288436606026356e-01,6.409963320108621760e-04
1.000000000000000000e+00,1.588449713087258131e+00,6.643434515398812966e-04
1.057142857142856940e+00,2.588938060292548915e+00,1.022646278656347881e-03
1.114285714285714324e+00,2.465484416676738899e+00,1.394166217275727426e-03
1.171428571428571264e+00,1.945228546907876277e+00,9.253385381093433759e-04
1.228571428571428648e+00,1.477527204701411634e+00,1.000207942011459641e-03
1.285714285714285587e+00,1.156486559882503817e+00,8.179643352929325418e-04
1.342857142857142971e+00,9.423117680147268249e-01,1.000339162010484501e-03
1.399999999999999911e+00,8.113900575688619554e-01,3.611765531054846436e-04
1.457142857142857295e+00,7.324030570019877118e-01,2.140512324913231099e-04
1.514285714285714235e+00,6.921271209860111462e-01,2.016118972004134690e-04
1.571428571428571175e+00,6.822015035522573934e-01,2.852968262910034344e-04
1.628571428571428559e+00,7.002525134590367184e-01,2.629953414695502525e-04
1.685714285714285499e+00,7.426673592839547755e-01,2.718413544279344720e-04
1.742857142857142883e+00,8.069407542405686584e-01,3.037345760916184225e-04
1.799999999999999822e+00,8.914376230564604597e-01,6.693414843631828636e-04
1.857142857142857206e+00,9.792433527850574748e-01,4.044358339521762226e-04
1.914285714285714146e+00,1.064390008470345483e+00,3.830688896171092800e-04
1.971428571428571530e+00,1.139110144426114246e+00,4.278596672943878209e-04
2.028571428571428470e+00,1.192142915757007815e+00,5.285054358441921944e-04
2.085714285714285410e+00,1.209200180334947916e+00,6.396666859264724114e-04
2.142857142857142794e+00,1.185358125686400310e+00,5.188426601923974311e-04
2.200000000000000178e+00,1.134912848245934747e+00,5.043159817309410872e-04
2.257142857142857117e+00,1.071906204737892443e+00,3.822770306511650770e-04
2.314285714285714057e+00,1.010459825228439579e+00,4.560292557319592572e-04
2.371428571428571441e+00,9.598675368527589402e-01,2.566611511023770718e-04
2.428571428571428381e+00,9.234304869821483575e-01,2.547437285334255733e-04
2.485714285714285765e+00,9.011181636242655557e-01,2.864694392770679248e-04
2.542857142857142705e+00,8.964477600523721446e-01,2.051039091340098460e-04
2.599999999999999645e+00,9.043827470332443941e-01,1.279497931850823709e-04
2.657142857142857029e+00,9.237005041485488732e-01,3.517371875199389454e-04
2.714285714285714413e+00,9.501590589031019274e-01,3.575147924927781808e-04
2.771428571428571352e+00,9.797907917738269967e-01,4.591891669567089670e-04
2.828571428571428292e+00,1.007823300977376046e+00,3.383906118557693829e-04
2.885714285714285676e+00,1.032667490403110344e+00,2.219830433083663389e-04
2.942857142857143060e+00,1.049786869294814462e+00,1.920577306613749987e-04
3.000000000000000000e+00,1.057634753904085567e+00,2.746139343828826935e-04
3.057142857142856940e+00,1.056667495702023896e+00,1.957272589180155591e-04
3.114285714285713880e+00,1.049182016768917647e+00,2.464663239007439349e-04
3.171428571428571264e+00,1.035567024503943001e+00,1.924530270643993145e-04
3.228571428571428648e+00,1.018036684420074778e+00,2.812309222323653335e-04
3.285714285714285587e+00,1.001854768221675629e+00,2.322235812993986065e-04
3.342857142857142527e+00,9.853792176449361895e-01,3.392566502037654684e-04
3.399999999999999911e+00,9.744887962208391707e-01,1.334709254501345295e-04
3.457142857142857295e+00,9.678562404164585686e-01,1.966123822930178333e-04
3.514285714285714235e+00,9.659235234711855966e-01,2.658032002298960886e-04
3.571428571428571175e+00,9.692560916934667148e-01,2.377400130367075749e-04
3.628571428571428559e+00,9.759945423895857175e-01,1.346707074041300482e-04
3.685714285714285499e+00,9.855663313266903591e-01,1.781731396308422108e-04
3.742857142857142883e+00,9.951563903658348087e-01,2.576485694935187732e-04
3.799999999999999822e+00,1.005010074356427641e+00,1.300174976995673352e-04
3.857142857142856762e+00,1.012385856207084878e+00,1.266134273423261060e-04
3.914285714285714146e+00,1.018096933057317965e+00,1.613405970937143667e-04
3.971428571428571530e+00,1.019710007949421682e+00,1.449299876706741630e-04
4.028571428571428470e+00,1.018923873361050614e+00,1.864980214755143216e-04
4.085714285714285410e+00,1.015284149633645994e+00,2.441350272408824348e-04
4.142857142857142350e+00,1.010726220089007921e+00,1.550496776218356900e-04
4.200000000000000178e+00,1.004146080194795676e+00,2.178977997466190718e-04
4.257142857142857117e+00,9.990318699728435448e-01,1.626694971216241905e-04
4.314285714285714057e+00,9.944037812128698750e-01,2.253760651434750378e-04
4.371428571428570997e+00,9.908749917960752995e-01,2.202059148455622170e-04
4.428571428571428825e+00,9.884498291212370225e-01,2.004823407038173002e-04
4.485714285714285765e+00,9.885533205313302707e-01,1.850312756976492780e-04
4.542857142857142705e+00,9.897845662804634070e-01,1.424946572250682943e-04
4.599999999999999645e+00,9.925736856260902741e-01,1.634048928205252980e-04
4.657142857142856585e+00,9.957837179378273840e-01,1.811017616776817822e-04
4.714285714285714413e+00,9.989175090468773721e-01,2.214475242741322143e-04
4.771428571428571352e+00,1.002083342869856342e+00,1.939267266754662736e-04
4.828571428571428292e+00,1.005189991521925785e+00,2.485019222070899742e-04
4.885714285714285232e+00,1.007007781004860991e+00,1.743210334773195359e-04
4.942857142857143060e+00,1.006656538500666498e+00,2.742362672036391196e-04
5.000000000000000000e+00,1.006564333044833948e+00,1.417792087744568685e-04
5.057142857142856940e+00,1.005417767262364537e+00,9.953688955026227133e-05
5.114285714285713880e+00,1.003100789542956228e+00,6.466335093672983137e-05
5.171428571428570820e+00,1.000918450275758431e+00,2.167401325071905652e-04
5.228571428571428648e+00,9.994413463846733015e-01,2.573449025330923779e-04
5.285714285714285587e+00,9.972675255018840224e-01,6.618148168730910775e-05
5.342857142857142527e+00,9.960784993914064689e-01,1.095259879927991240e-04
5.400000000000000355e+00,9.959208643511031633e-01,1.556098449399961642e-04
5.457142857142857295e+00,9.959196661853946253e-01,1.089382571852703197e-04
5.514285714285714235e+00,9.964196974916095240e-01,1.816143017452587162e-04
5.571428571428571175e+00,9.982028093854273809e-01,3.754572883360469807e-04
5.628571428571428115e+00,9.989714302342894703e-01,1.324146387933230031e-04
5.685714285714285054e+00,9.998573737003788597e-01,1.785984921058844167e-04
5.742857142857142883e+00,1.000305681909100741e+00,3.570877201554376349e-04
