r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,2.292272771801735082e-03,1.205037792691453550e-04
9.428571428571428381e-01,2.224483844075955119e-01,9.340346840504627941e-04
1.000000000000000000e+00,1.394987541549989052e+00,3.257640438544936491e-03
1.057142857142856940e+00,2.476601994739241697e+00,5.115547281313582474e-03
1.114285714285714324e+00,2.489841116234146057e+00,3.157209223249688498e-03
1.171428571428571264e+00,2.031973723010418453e+00,2.407513885230055505e-03
1.228571428571428648e+00,1.565500370662155305e+00,3.836209472785799372e-03
1.285714285714285587e+00,1.227920109788368297e+00,1.783312492469866541e-03
1.342857142857142971e+00,1.006488390527374710e+00,1.518246580214743877e-03
1.399999999999999911e+00,8.552444215939241090e-01,1.632396657804913338e-03
1.457142857142857295e+00,7.680452219908339151e-01,2.459502845567056173e-03
1.514285714285714235e+00,7.165547155605563878e-01,1.309702701362644873e-03
1.571428571428571175e+00,6.962253864561299688e-01,1.651328333611568576e-03
1.628571428571428559e+00,7.014255705238556793e-01,1.406868130688269155e-03
1.685714285714285499e+00,7.385547070028753991e-01,1.892256921213310208e-03
1.742857142857142883e+00,7.927397032054493975e-01,1.104714692602149374e-03
1.799999999999999822e+00,8.674221021630721395e-01,1.349516188163959714e-03
1.857142857142857206e+00,9.545054794299921985e-01,1.221291107723175432e-03
1.914285714285714146e+00,1.037573167658695894e+00,1.651208044685024056e-03
1.971428571428571530e+00,1.115379692487499685e+00,1.004792391447910556e-03
2.028571428571428470e+00,1.172455714762423273e+00,1.750442943643975516e-03
2.085714285714285410e+00,1.198320121429705676e+00,1.166742764451731426e-03
2.142857142857142794e+00,1.188697233478955173e+00,8.450777060413288766e-04
2.200000000000000178e+00,1.143025197818280381e+00,1.071229306277422192e-03
2.257142857142857117e+00,1.089137986458298624e+00,7.402988651820452751e-04
2.314285714285714057e+00,1.029338219646089625e+00,9.355664647235485774e-04
2.371428571428571441e+00,9.773140413675196481e-01,1.225200542725079795e-03
2.428571428571428381e+00,9.398235810807094026e-01,5.228905793465973102e-04
2.485714285714285765e+00,9.137174987535441328e-01,7.724800243003251835e-04
2.542857142857142705e+00,9.042205117139674453e-01,8.119819508506314438e-04
2.599999999999999645e+00,9.065771873077664855e-01,9.515478133684203204e-04
2.657142857142857029e+00,9.191054093884212239e-01,6.815238261937222285e-04
2.714285714285714413e+00,9.401614226609324998e-01,1.416973509154180596e-03
2.771428571428571352e+00,9.680766266129638975e-01,9.560763326295672673e-04
2.828571428571428292e+00,9.952336247404375280e-01,7.697280145136836714e-04
2.885714285714285676e+00,1.018145391426142021e+00,1.239854614539085938e-03
2.942857142857143060e+00,1.039788390513668004e+00,1.130653507859472702e-03
3.000000000000000000e+00,1.050211529745596284e+00,5.629789250879631583e-04
3.057142857142856940e+00,1.053068100938580054e+00,7.464741533560026020e-04
3.114285714285713880e+00,1.047430668613043014e+00,9.580178267023304250e-04
3.171428571428571264e+00,1.036826116570443324e+00,9.139539006916597196e-04
3.228571428571428648e+00,1.023661198351113466e+00,6.711025880569877885e-04
3.285714285714285587e+00,1.006718722559194035e+00,8.804574360494158303e-04
3.342857142857142527e+00,9.928079471635591347e-01,6.159185677892542194e-04
3.399999999999999911e+00,9.813645244784284793e-01,6.994433475469474977e-04
3.457142857142857295e+00,9.724179335585377837e-01,8.974160066827069609e-04
3.514285714285714235e+00,9.696196784618965614e-01,6.620571919720457570e-04
3.571428571428571175e+00,9.701882030054760353e-01,7.259928518245864102e-04
3.628571428571428559e+00,9.750434910685477075e-01,7.393104316585643286e-04
3.685714285714285499e+00,9.800820572860965418e-01,8.634031094072925792e-04
3.742857142857142883e+00,9.912454373846278921e-01,6.153127520389904551e-04
3.799999999999999822e+00,9.995364692254925520e-01,6.735368707339019429e-04
3.857142857142856762e+00,1.007696961522862367e+00,4.932155145755818789e-04
3.914285714285714146e+00,1.013317184708502960e+00,4.210050599906214777e-04
3.971428571428571530e+00,1.016542498755650392e+00,7.209280377961216129e-04
4.028571428571428470e+00,1.018066736892784485e+00,9.076670075143707670e-04
4.085714285714285410e+00,1.015332193360577673e+00,5.665262830645479602e-04
4.142857142857142350e+00,1.011846066294578295e+00,5.243429439501342193e-04
4.200000000000000178e+00,1.007358782930100949e+00,5.639773862715789701e-04
4.257142857142857117e+00,1.001355723598400527e+00,5.751917810552062589e-04
4.314285714285714057e+00,9.970492760760919504e-01,6.896024493997873371e-04
4.371428571428570997e+00,9.932371783429083667e-01,4.736421877928816983e-04
4.428571428571428825e+00,9.901589616252660653e-01,4.942847302359752032e-04
4.485714285714285765e+00,9.894861173210809380e-01,5.136178455367239283e-04
4.542857142857142705e+00,9.899104620719439973e-01,3.272936347936389171e-04
4.599999999999999645e+00,9.899575845109831462e-01,6.861473533092825620e-04
4.657142857142856585e+00,9.938226128417022576e-01,4.767457501250965224e-04
4.714285714285714413e+00,9.962212170423236923e-01,5.352516915346541273e-04
4.771428571428571352e+00,1.000758372592125856e+00,3.469679119071152496e-04
4.828571428571428292e+00,1.002453009023379193e+00,5.912694193703751846e-04
4.885714285714285232e+00,1.005073308720831005e+00,7.719340432441210110e-04
4.942857142857143060e+00,1.005398608034234531e+00,3.619217618330630715e-04
5.000000000000000000e+00,1.005949886872451016e+00,5.034515848291730737e-04
5.057142857142856940e+00,1.004511354465253525e+00,4.069885413775742268e-04
5.114285714285713880e+00,1.003169052438587894e+00,4.450689458455168871e-04
5.171428571428570820e+00,1.002218762876574853e+00,5.586754998215980777e-04
5.228571428571428648e+00,9.997280205082106352e-01,4.894503125862190596e-04
5.285714285714285587e+00,9.985231403970311614e-01,5.141704187068342783e-04
5.342857142857142527e+00,9.967381598675334464e-01,4.213818183008604182e-04
5.400000000000000355e+00,9.956735917648928957e-01,6.060615400993791440e-04
5.457142857142857295e+00,9.956580438123522336e-01,3.310768903331669732e-04
5.514285714285714235e+00,9.960954285087322280e-01,6.254217212604425667e-04
5.571428571428571175e+00,9.974837452113499703e-01,5.497477685833853647e-04
5.628571428571428115e+00,9.978736508873374822e-01,4.295938446517394795e-04
5.685714285714285054e+00,9.984544734607432304e-01,5.727434183376744125e-04
5.742857142857142883e+00,9.994235601579637418e-01,5.747341257985774231e-04
