r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,2.217857493876596899e-03,1.084734802718084778e-04
9.428571428571428381e-01,2.104011433678272258e-01,1.076012308509761246e-03
1.000000000000000000e+00,1.325731139787994950e+00,2.059377692388540855e-03
1.057142857142856940e+00,2.372053075104450848e+00,2.855119191290620209e-03
1.114285714285714324e+00,2.419234597737008663e+00,3.020359284392939991e-03
1.171428571428571264e+00,1.984249520743766482e+00,3.370555841177912820e-03
1.228571428571428648e+00,1.548167263289755624e+00,1.589216051705473302e-03
1.285714285714285587e+00,1.220801071522110259e+00,1.285913173249486879e-03
1.342857142857142971e+00,1.000012716380098698e+00,1.303550331421838432e-03
1.399999999999999911e+00,8.549373142649903112e-01,1.058814150063970517e-03
1.457142857142857295e+00,7.650162629516809032e-01,1.286641599202337314e-03
1.514285714285714235e+00,7.140684394829979187e-01,1.051056148272993141e-03
1.571428571428571175e+00,6.948279480184271772e-01,6.313879989416677383e-04
1.628571428571428559e+00,7.042959194006404022e-01,8.520785486201939074e-04
1.685714285714285499e+00,7.344028160810230910e-01,1.305899841321844345e-03
1.742857142857142883e+00,7.922849809052415759e-01,1.101090864541889348e-03
1.799999999999999822e+00,8.676300312586324726e-01,1.097755652358078969e-03
1.857142857142857206e+00,9.530350920514667479e-01,1.531259536669956180e-03
1.914285714285714146e+00,1.034315560829138114e+00,9.692306339451429780e-04
1.971428571428571530e+00,1.113243547158671465e+00,9.274702474546408799e-04
2.028571428571428470e+00,1.170590677319177209e+00,1.054464600436626600e-03
2.085714285714285410e+00,1.194374389444725848e+00,9.529616107286723861e-04
2.142857142857142794e+00,1.185817853227451923e+00,9.738498380815841047e-04
2.200000000000000178e+00,1.143158309317805932e+00,7.716357938007198250e-04
2.257142857142857117e+00,1.089272497897850744e+00,1.217423282571827295e-03
2.314285714285714057e+00,1.030050539423474687e+00,9.634190104606725567e-04
2.371428571428571441e+00,9.801135575048316451e-01,9.040534583617755495e-04
2.428571428571428381e+00,9.410391965758655441e-01,7.664573315139029284e-04
2.485714285714285765e+00,9.148222606591506212e-01,1.025293750468327277e-03
2.542857142857142705e+00,9.051556263591258311e-01,7.871049301876953744e-04
2.599999999999999645e+00,9.078499104937478581e-01,5.802642530233015697e-04
2.657142857142857029e+00,9.199399746103793518e-01,8.651195218854923095e-04
2.714285714285714413e+00,9.405688665382250235e-01,5.529874072304599751e-04
2.771428571428571352e+00,9.676002914179331338e-01,8.962689800140026530e-04
2.828571428571428292e+00,9.945356252065742364e-01,6.339252851211084989e-04
2.885714285714285676e+00,1.018964698303148619e+00,6.510643557785508522e-04
2.942857142857143060e+00,1.038436438568168585e+00,7.858506521023904704e-04
3.000000000000000000e+00,1.050447471687715684e+00,8.288914118283071363e-04
3.057142857142856940e+00,1.052189350469447060e+00,8.174910166398704136e-04
3.114285714285713880e+00,1.048010112270602034e+00,9.218408443813176298e-04
3.171428571428571264e+00,1.039430998674892859e+00,3.394743996736412244e-04
3.228571428571428648e+00,1.024343976642448695e+00,7.784402881625379200e-04
3.285714285714285587e+00,1.009073430774096058e+00,5.759924723539495712e-04
3.342857142857142527e+00,9.933982635023654861e-01,8.687516304483263200e-04
3.399999999999999911e+00,9.804396010444816900e-01,6.181839780338657143e-04
3.457142857142857295e+00,9.734446422204655613e-01,4.932406277726441310e-04
3.514285714285714235e+00,9.697480507936082628e-01,6.428973415600869844e-04
3.571428571428571175e+00,9.710901654749987122e-01,5.097350704361726121e-04
3.628571428571428559e+00,9.743067953607571496e-01,4.555868499114779590e-04
3.685714285714285499e+00,9.822516105853316137e-01,5.341010416961119913e-04
3.742857142857142883e+00,9.911049399113032177e-01,6.119138438470788635e-04
3.799999999999999822e+00,9.993359438392467320e-01,4.618615564848696205e-04
3.857142857142856762e+00,1.006886040719516817e+00,6.345025591401676560e-04
3.914285714285714146e+00,1.012791664417568960e+00,5.167367845938934971e-04
3.971428571428571530e+00,1.016598535797667680e+00,5.711385861865545975e-04
4.028571428571428470e+00,1.017246594606239007e+00,4.860019645839960215e-04
4.085714285714285410e+00,1.014526547049091842e+00,3.750074332483171687e-04
4.142857142857142350e+00,1.011570678800023604e+00,3.154379129251588180e-04
4.200000000000000178e+00,1.006866256095650725e+00,4.771079472350742839e-04
4.257142857142857117e+00,1.002037614503511254e+00,5.754387337690422197e-04
4.314285714285714057e+00,9.971747898601531768e-01,6.110420096086960091e-04
4.371428571428570997e+00,9.931004086420219812e-01,4.817379563401269753e-04
4.428571428571428825e+00,9.914628646356241637e-01,4.001275379618966679e-04
4.485714285714285765e+00,9.889607006393861255e-01,4.982426984010092028e-04
4.542857142857142705e+00,9.897649386138800409e-01,4.702992623841752910e-04
4.599999999999999645e+00,9.918903452809443300e-01,6.035753007654696793e-04
4.657142857142856585e+00,9.948569045190345239e-01,4.748192062731279410e-04
4.714285714285714413e+00,9.972281679336859606e-01,3.840170541667183718e-04
4.771428571428571352e+00,9.991315780961780302e-01,6.147365834445726613e-04
4.828571428571428292e+00,1.003241406184297357e+00,4.810199930206668448e-04
4.885714285714285232e+00,1.005174061674107389e+00,3.889370100191969046e-04
4.942857142857143060e+00,1.006005648106937711e+00,5.964984692268639546e-04
5.000000000000000000e+00,1.005759269019959934e+00,6.309382352898143748e-04
5.057142857142856940e+00,1.004690607592859886e+00,4.155510952588493175e-04
5.114285714285713880e+00,1.003079548650972708e+00,3.325709647708487366e-04
5.171428571428570820e+00,1.001660716180320154e+00,3.580929515496987492e-04
5.228571428571428648e+00,9.998972547136691924e-01,3.040311972933242186e-04
5.285714285714285587e+00,9.981660642334146960e-01,4.550662012544096861e-04
5.342857142857142527e+00,9.969791928001605630e-01,3.312962077588450880e-04
5.400000000000000355e+00,9.963595053647159583e-01,4.166405756567490709e-04
5.457142857142857295e+00,9.959641910389847030e-01,4.590548241252993345e-04
5.514285714285714235e+00,9.958347779574738823e-01,4.795466426507213409e-04
5.571428571428571175e+00,9.960653653029005739e-01,3.504199063936387268e-04
5.628571428571428115e+00,9.973675235734320577e-01,3.530349208503499197e-04
5.685714285714285054e+00,9.983126525229785164e-01,3.779875389575482799e-04
5.742857142857142883e+00,1.000016768283958912e+00,3.163930871772952132e-04
