r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,3.172068264814923572e-03,5.287642234431210288e-04
9.428571428571428381e-01,3.358947830736030982e-01,3.164217689116906318e-03
1.000000000000000000e+00,1.961706150466001830e+00,6.911468340385657633e-03
1.057142857142856940e+00,3.238520480776062360e+00,2.281089318600637225e-02
1.114285714285714324e+00,3.058685914352228252e+00,8.198077382667220622e-03
1.171428571428571264e+00,2.455976907794905628e+00,3.164679303764426910e-02
1.228571428571428648e+00,2.060386717827052294e+00,1.057354714616686245e-02
1.285714285714285587e+00,1.770289477217281249e+00,2.836027315865343248e-02
1.342857142857142971e+00,1.522614830409636966e+00,9.017094041716253519e-03
1.399999999999999911e+00,1.335436342747109206e+00,1.687209214502146185e-02
1.457142857142857295e+00,1.234930608275389030e+00,6.633104539013378979e-03
1.514285714285714235e+00,1.149752103062870345e+00,6.884327555065780646e-03
1.571428571428571175e+00,1.074619531512524429e+00,7.084370229417761254e-03
1.628571428571428559e+00,1.051903567158659181e+00,1.432965642250925292e-02
1.685714285714285499e+00,9.989955164293515821e-01,4.476964630042574479e-03
1.742857142857142883e+00,9.875346087907159731e-01,3.804005115562830632e-03
1.799999999999999822e+00,9.785419570732413197e-01,5.796057676476244237e-03
1.857142857142857206e+00,9.824390581710489290e-01,4.345881879584369105e-03
1.914285714285714146e+00,9.852243779182330297e-01,6.175381611656260115e-03
1.971428571428571530e+00,1.008904382701877100e+00,5.941339806380101056e-03
2.028571428571428470e+00,1.019260049045084049e+00,6.272360529480368666e-03
2.085714285714285410e+00,1.030529489899805862e+00,1.033818456803625718e-02
2.142857142857142794e+00,1.044656758681763886e+00,6.837183607735953725e-03
2.200000000000000178e+00,1.049703756044801040e+00,4.029522258632902212e-03
2.257142857142857117e+00,1.060748185818789491e+00,4.244963562109846551e-03
2.314285714285714057e+00,1.041957819985538380e+00,3.140987880344384229e-03
2.371428571428571441e+00,1.037467954161999550e+00,4.615819841708122644e-03
2.428571428571428381e+00,1.030759491690622420e+00,3.737881291039957948e-03
2.485714285714285765e+00,1.030765284980794672e+00,2.940614681397966512e-03
2.542857142857142705e+00,1.010079366957844282e+00,7.038265282860956158e-03
2.599999999999999645e+00,1.007941110918193939e+00,2.219520970776014696e-03
2.657142857142857029e+00,1.011716997375898375e+00,3.180881961885926798e-03
2.714285714285714413e+00,1.004789367206719186e+00,2.567615455763205910e-03
2.771428571428571352e+00,9.976905255595367450e-01,2.846982224042782228e-03
2.828571428571428292e+00,1.002676809981387196e+00,4.558003816157467705e-03
2.885714285714285676e+00,1.003595263777778079e+00,3.487679035809431415e-03
2.942857142857143060e+00,9.972005261296235101e-01,3.064165345277633512e-03
3.000000000000000000e+00,1.001561475903777865e+00,1.986791251350695803e-03
3.057142857142856940e+00,9.995007901018858609e-01,2.110971611798585865e-03
3.114285714285713880e+00,9.949019768370691574e-01,2.378595489575968148e-03
3.171428571428571264e+00,9.991622282397980559e-01,2.302859354670294852e-03
3.228571428571428648e+00,9.978172393043432953e-01,5.503872953389649277e-03
3.285714285714285587e+00,1.004784706406066430e+00,3.092026838177584953e-03
3.342857142857142527e+00,9.996385534538395623e-01,2.530434563766601353e-03
3.399999999999999911e+00,1.007241378965283429e+00,5.413442353917214192e-03
3.457142857142857295e+00,9.983494582050337351e-01,2.289607430522901544e-03
3.514285714285714235e+00,1.003097652783666138e+00,1.734786814958436119e-03
3.571428571428571175e+00,9.983466981143337415e-01,2.299198712119895297e-03
3.628571428571428559e+00,1.002519810428093239e+00,5.266222794358125375e-03
3.685714285714285499e+00,9.989212530266946555e-01,2.932685613771093391e-03
3.742857142857142883e+00,9.921050621244333900e-01,5.045741845212560819e-03
3.799999999999999822e+00,9.916292826520528569e-01,5.911455152498634735e-03
3.857142857142856762e+00,9.989593196084097793e-01,1.766427984611317059e-03
3.914285714285714146e+00,1.002011685923862361e+00,2.442750643822487119e-03
3.971428571428571530e+00,9.976036006563362424e-01,1.329177415577863317e-03
4.028571428571428470e+00,9.982556686210981578e-01,1.611311614184119832e-03
4.085714285714285410e+00,1.001667077698382924e+00,3.736263695176268631e-03
4.142857142857142350e+00,9.923923825045724012e-01,5.880908876117297429e-03
4.200000000000000178e+00,1.001395232594271212e+00,2.848265727630109809e-03
4.257142857142857117e+00,1.002935784533123043e+00,4.220112990309438442e-03
4.314285714285714057e+00,9.998876386165799213e-01,1.530281887615213840e-03
4.371428571428570997e+00,9.981413223071811114e-01,2.602453662502003575e-03
4.428571428571428825e+00,1.000703309128392338e+00,2.931991276518665715e-03
4.485714285714285765e+00,9.932062965688940315e-01,3.845501506142071264e-03
4.542857142857142705e+00,1.000551281083511101e+00,1.578037006304714796e-03
4.599999999999999645e+00,9.903915271387218056e-01,5.955688159766718733e-03
4.657142857142856585e+00,9.955254076561391718e-01,4.354812002819927891e-03
4.714285714285714413e+00,9.987927305190209548e-01,9.919443097539831257e-04
4.771428571428571352e+00,9.961494963642756328e-01,1.854522941301067849e-03
4.828571428571428292e+00,9.961677457723763229e-01,1.738338211248093099e-03
4.885714285714285232e+00,9.997134160717404683e-01,1.517280945619413693e-03
4.942857142857143060e+00,9.989454967442487066e-01,1.775327877844799177e-03
5.000000000000000000e+00,1.001338157269461515e+00,1.504296310869885625e-03
5.057142857142856940e+00,9.990705527386521956e-01,9.922408865457533946e-04
5.114285714285713880e+00,9.948998295927198310e-01,3.205157838695731932e-03
5.171428571428570820e+00,1.002563242883379280e+00,3.829208024973771926e-03
5.228571428571428648e+00,9.961399785793594308e-01,2.128851327485795607e-03
5.285714285714285587e+00,1.002883479552633350e+00,3.103432740302160438e-03
5.342857142857142527e+00,1.000992100803943963e+00,2.473497377037071551e-03
5.400000000000000355e+00,9.999842613723641804e-01,1.353676507331623381e-03
5.457142857142857295e+00,9.969277810554995067e-01,1.391217666323417380e-03
5.514285714285714235e+00,9.967395184441286693e-01,4.090054018461727024e-03
5.571428571428571175e+00,1.001609058869891378e+00,2.875438493986080899e-03
5.628571428571428115e+00,9.953348655868905492e-01,2.376746424981033331e-03
5.685714285714285054e+00,1.001630100150966207e+00,1.606242873622743721e-03
5.742857142857142883e+00,9.983339904511916441e-01,1.556856693638835514e-03
