r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,1.656472601371757709e-03,1.571467890599673005e-03
9.428571428571428381e-01,1.270041495142788524e-01,1.271967978663076336e-02
1.000000000000000000e+00,9.126149655310549225e-01,4.592014808757518413e-02
1.057142857142856940e+00,1.728050184818469059e+00,3.035290868009212287e-02
1.114285714285714324e+00,1.849074618671749715e+00,4.698259917048881740e-02
1.171428571428571264e+00,1.689153073247376735e+00,4.015484469760421254e-02
1.228571428571428648e+00,1.559705610965977485e+00,2.158886769089321533e-02
1.285714285714285587e+00,1.406175226252651678e+00,3.640611028585073045e-02
1.342857142857142971e+00,1.343160622784405733e+00,2.042846647717294281e-02
1.399999999999999911e+00,1.252176977636096922e+00,2.162446421326937734e-02
1.457142857142857295e+00,1.198884999014937947e+00,3.220012520443658877e-02
1.514285714285714235e+00,1.039200827072358280e+00,1.661374944007948037e-02
1.571428571428571175e+00,1.068030449376565993e+00,2.477847534899866450e-02
1.628571428571428559e+00,1.051797595215463232e+00,1.634854566453331631e-02
1.685714285714285499e+00,1.004478620497041508e+00,1.983253549831932167e-02
1.742857142857142883e+00,9.913400237711819107e-01,2.334526751898071198e-02
1.799999999999999822e+00,9.655428190951068634e-01,1.757882094750233548e-02
1.857142857142857206e+00,9.772701078888685888e-01,1.556831225284378145e-02
1.914285714285714146e+00,1.004597881092907041e+00,1.962811482426078669e-02
1.971428571428571530e+00,9.846066894218162835e-01,1.886164125189519064e-02
2.028571428571428470e+00,9.821079738162490358e-01,1.395187576919578072e-02
2.085714285714285410e+00,1.029088650530348481e+00,1.210811058625955831e-02
2.142857142857142794e+00,1.022912003552332472e+00,1.780062879268843115e-02
2.200000000000000178e+00,9.995710260755904519e-01,1.554385959203359417e-02
2.257142857142857117e+00,1.021512165371575742e+00,1.663540582877503712e-02
2.314285714285714057e+00,1.013818282934358717e+00,1.777891287600438797e-02
2.371428571428571441e+00,1.015824851939556073e+00,1.635285920550120370e-02
2.428571428571428381e+00,1.036387685656166457e+00,1.380068362106217847e-02
2.485714285714285765e+00,1.014634586118888127e+00,1.091598174827039698e-02
2.542857142857142705e+00,9.944956201062546963e-01,1.525835820414647541e-02
2.599999999999999645e+00,1.017920899019954195e+00,1.340409659272172142e-02
2.657142857142857029e+00,9.956703735685842327e-01,1.232015032971217096e-02
2.714285714285714413e+00,9.723365771510044109e-01,1.325116535686133613e-02
2.771428571428571352e+00,9.887091953392402877e-01,9.661420225397608988e-03
2.828571428571428292e+00,1.000380246784225768e+00,1.318812185506217267e-02
2.885714285714285676e+00,9.892973984603333770e-01,1.324285854258890407e-02
2.942857142857143060e+00,9.994892493605160855e-01,9.498290436534172904e-03
3.000000000000000000e+00,9.927236148109775948e-01,9.081997108242374772e-03
3.057142857142856940e+00,1.009200287743914126e+00,1.539637089329485599e-02
3.114285714285713880e+00,1.002972614228109460e+00,9.478359542614483296e-03
3.171428571428571264e+00,1.035220027508666707e+00,1.062138211012240811e-02
3.228571428571428648e+00,1.010315510182549392e+00,8.161215361915686098e-03
3.285714285714285587e+00,1.019110564006804553e+00,6.532361327669849137e-03
3.342857142857142527e+00,1.013651817131557831e+00,8.653233664794965363e-03
3.399999999999999911e+00,1.020906564453025300e+00,1.181156411617079009e-02
3.457142857142857295e+00,9.955178362203593867e-01,1.045716953923775394e-02
3.514285714285714235e+00,9.923377299133937512e-01,1.100967464885095268e-02
3.571428571428571175e+00,9.898157373379212753e-01,1.121548914052787442e-02
3.628571428571428559e+00,1.012873308598038591e+00,1.272270813795690556e-02
3.685714285714285499e+00,1.010839633792979919e+00,9.028672464958351074e-03
3.742857142857142883e+00,9.874962814077650197e-01,1.023521069968985620e-02
3.799999999999999822e+00,1.001689331049801179e+00,7.704877366778007872e-03
3.857142857142856762e+00,1.003727077012738222e+00,7.457993304245224067e-03
3.914285714285714146e+00,9.969348860704672077e-01,9.103855731617318051e-03
3.971428571428571530e+00,9.942103399647173045e-01,6.976183146295637447e-03
4.028571428571428470e+00,9.933615417565260231e-01,1.026709308361920155e-02
4.085714285714285410e+00,9.871075227662482465e-01,1.146328116045552264e-02
4.142857142857142350e+00,9.924779898721196592e-01,7.380070596016729753e-03
4.200000000000000178e+00,9.805667720791525488e-01,6.994575409051091014e-03
4.257142857142857117e+00,1.003661197175940156e+00,6.561143718301082860e-03
4.314285714285714057e+00,1.001866717184074940e+00,1.058983677004002658e-02
4.371428571428570997e+00,9.944873476422706471e-01,1.022636578805604518e-02
4.428571428571428825e+00,1.002624562071101177e+00,5.988666271110985352e-03
4.485714285714285765e+00,1.002518152386827399e+00,6.253045594760616235e-03
4.542857142857142705e+00,9.845487168236832787e-01,9.603351440586977913e-03
4.599999999999999645e+00,9.941091427321054885e-01,9.104243729539461538e-03
4.657142857142856585e+00,9.892462980259028038e-01,5.676107997306783712e-03
4.714285714285714413e+00,9.899250184625726368e-01,7.436961082451963405e-03
4.771428571428571352e+00,9.897143231568688027e-01,1.118698606775803822e-02
4.828571428571428292e+00,9.987301498930124533e-01,5.165053719049381847e-03
4.885714285714285232e+00,9.883421547300423882e-01,5.957437033926976135e-03
4.942857142857143060e+00,9.940364848377928331e-01,3.402551951603226526e-03
5.000000000000000000e+00,9.977358479706948113e-01,4.403274944246732443e-03
5.057142857142856940e+00,9.889200990442950090e-01,7.363455205207009892e-03
5.114285714285713880e+00,9.957539684558597282e-01,4.928288456295653458e-03
5.171428571428570820e+00,9.945469232914714297e-01,4.007596255911437429e-03
5.228571428571428648e+00,1.000618990202352565e+00,9.084914520021655435e-03
5.285714285714285587e+00,1.003533548738016590e+00,3.921648391848787593e-03
5.342857142857142527e+00,9.932569154742113549e-01,6.537258083395267906e-03
5.400000000000000355e+00,9.931255807755932086e-01,5.817974404249672861e-03
5.457142857142857295e+00,9.945884853006038417e-01,8.875647026836686049e-03
5.514285714285714235e+00,9.985365088348412410e-01,9.585751470434689461e-03
5.571428571428571175e+00,9.740810884149924131e-01,5.307813673931335852e-03
5.628571428571428115e+00,1.002509711829706607e+00,4.421978134692482014e-03
5.685714285714285054e+00,9.941515556801905351e-01,8.314767909372086999e-03
5.742857142857142883e+00,9.996102788890299795e-01,3.232473483979890049e-03
