r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.428571428571428381e-01,1.255594646643143908e-01,3.046342248408569209e-02
1.000000000000000000e+00,5.742297582490899499e-01,4.986554267930571466e-02
1.057142857142856940e+00,1.501395127995790224e+00,3.694721226338100462e-02
1.114285714285714324e+00,1.521052822506693714e+00,8.216435838354216314e-02
1.171428571428571264e+00,1.473240078609545867e+00,6.330235623545030221e-02
1.228571428571428648e+00,1.303524863176402038e+00,5.958173434206472802e-02
1.285714285714285587e+00,1.312928714213027481e+00,4.356825259018005936e-02
1.342857142857142971e+00,1.203565573100591868e+00,1.860082955587256948e-02
1.399999999999999911e+00,1.147389079750412932e+00,4.749972778732790279e-02
1.457142857142857295e+00,1.096960396864306464e+00,4.218062608510941142e-02
1.514285714285714235e+00,9.895673819547426975e-01,2.814744077948940978e-02
1.571428571428571175e+00,9.543263211306530769e-01,4.301058946662805055e-02
1.628571428571428559e+00,9.695039780684410191e-01,3.705311801679560257e-02
1.685714285714285499e+00,9.486586188980830059e-01,3.585629795542404075e-02
1.742857142857142883e+00,9.795331853521097587e-01,2.267017046020705640e-02
1.799999999999999822e+00,9.707550633309219856e-01,3.562733098133853693e-02
1.857142857142857206e+00,9.733915875647036753e-01,4.237779417545636806e-02
1.914285714285714146e+00,9.343712202845172454e-01,4.299543242313008662e-02
1.971428571428571530e+00,9.819186276215390308e-01,3.296322308393188211e-02
2.028571428571428470e+00,1.023984632753393909e+00,2.091567023345950252e-02
2.085714285714285410e+00,1.018716091358052633e+00,2.698417038043657290e-02
2.142857142857142794e+00,9.427530450305962040e-01,2.651197699715292927e-02
2.200000000000000178e+00,9.911024518786369919e-01,3.086071859467304224e-02
2.257142857142857117e+00,1.025894473624375136e+00,2.492959287778560851e-02
2.314285714285714057e+00,1.007409937880288320e+00,3.861246438084539601e-02
2.371428571428571441e+00,1.057310128957962059e+00,3.216370585211521249e-02
2.428571428571428381e+00,9.980560941626952509e-01,3.096812974944852456e-02
2.485714285714285765e+00,9.980572546538510892e-01,2.391121457926062566e-02
2.542857142857142705e+00,1.031863849084397877e+00,1.883137151390844310e-02
2.599999999999999645e+00,1.044618543964312307e+00,2.889905801291575010e-02
2.657142857142857029e+00,9.943108772459036127e-01,2.348652336815517522e-02
2.714285714285714413e+00,9.911762529751665385e-01,3.009115086537149722e-02
2.771428571428571352e+00,9.720173761299957249e-01,2.432653338738229032e-02
2.828571428571428292e+00,9.899088037507963733e-01,3.533766150173265480e-02
2.885714285714285676e+00,9.830419571728920003e-01,1.875246620122586819e-02
2.942857142857143060e+00,9.886660815810708325e-01,3.000148084588014769e-02
3.000000000000000000e+00,1.009827297788276512e+00,2.550424517221946269e-02
3.057142857142856940e+00,9.972137978368563749e-01,2.009075972267078056e-02
3.114285714285713880e+00,9.830652355677536036e-01,2.842449205955014171e-02
3.171428571428571264e+00,9.663225815029570231e-01,2.094034447491670975e-02
3.228571428571428648e+00,9.898596366699248250e-01,7.179928107670217712e-03
3.285714285714285587e+00,9.973519633288029373e-01,2.004654211545657538e-02
3.342857142857142527e+00,9.807960605307511903e-01,1.940473863892852244e-02
3.399999999999999911e+00,9.782874283582208008e-01,1.190598399418044302e-02
3.457142857142857295e+00,1.034141232522750586e+00,2.237783967365468418e-02
3.514285714285714235e+00,9.818135179538570734e-01,2.663735395202043027e-02
3.571428571428571175e+00,9.863484322784483727e-01,1.335619618290040042e-02
3.628571428571428559e+00,9.784786402820594420e-01,1.119089819392531972e-02
3.685714285714285499e+00,9.839917976018589529e-01,1.694168292512227697e-02
3.742857142857142883e+00,9.943803038653629134e-01,1.190772439366870328e-02
3.799999999999999822e+00,9.691898632339491781e-01,1.513570127726496413e-02
3.857142857142856762e+00,9.794715660543910074e-01,1.176699625778219842e-02
3.914285714285714146e+00,9.816484562227547617e-01,1.337781122040139839e-02
3.971428571428571530e+00,1.016980440443709499e+00,6.534739030560374889e-03
4.028571428571428470e+00,9.892135612934503941e-01,8.172896148871688221e-03
4.085714285714285410e+00,9.906244617700172839e-01,8.092819090409129196e-03
4.142857142857142350e+00,9.971821694501695754e-01,8.204843835940271723e-03
4.200000000000000178e+00,9.595379808840159841e-01,1.660988115661990103e-02
4.257142857142857117e+00,9.709546091200834672e-01,1.072917869064446764e-02
4.314285714285714057e+00,9.726336902452487054e-01,1.001590645531181580e-02
4.371428571428570997e+00,1.007571557302829879e+00,1.343662110188187722e-02
4.428571428571428825e+00,1.002038477557111396e+00,1.112311998642123885e-02
4.485714285714285765e+00,9.958011054170187171e-01,1.363179927013580262e-02
4.542857142857142705e+00,9.913721699626077966e-01,1.634093297451212623e-02
4.599999999999999645e+00,1.010616550155587268e+00,8.509778764984350999e-03
4.657142857142856585e+00,9.821881588351029091e-01,1.879729000926806670e-02
4.714285714285714413e+00,9.902532370302994380e-01,1.195806247914438583e-02
4.771428571428571352e+00,9.938058646353251646e-01,5.696707107660774032e-03
4.828571428571428292e+00,1.007658301058465655e+00,1.096580184941174999e-02
4.885714285714285232e+00,1.011877392473559345e+00,1.501836185329220169e-02
4.942857142857143060e+00,9.965236902084688708e-01,1.262854257936282115e-02
5.000000000000000000e+00,9.945956254803174357e-01,6.566466879265180599e-03
5.057142857142856940e+00,9.931319329501046012e-01,1.325562138049911007e-02
5.114285714285713880e+00,9.939124892244226572e-01,6.838130842318152283e-03
5.171428571428570820e+00,9.924183038037002191e-01,8.655658973124738878e-03
5.228571428571428648e+00,9.864764685182142445e-01,1.500529733009074544e-02
5.285714285714285587e+00,9.972604041205597181e-01,8.789751393242152544e-03
5.342857142857142527e+00,1.003008085468507948e+00,1.289973422942351268e-02
5.400000000000000355e+00,9.819976448130848246e-01,1.169853711540827339e-02
5.457142857142857295e+00,9.754654181021094050e-01,5.024406723316815655e-03
5.514285714285714235e+00,9.948749451704310687e-01,5.334145742219869972e-03
5.571428571428571175e+00,9.791563066222670475e-01,1.009432280001496332e-02
5.628571428571428115e+00,9.839283135407033143e-01,8.063916353637030215e-03
5.685714285714285054e+00,9.823370461025110467e-01,4.775471169470684764e-03
5.742857142857142883e+00,9.961242766791250647e-01,1.116773280120067144e-02
