r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,2.240489647587321637e-02,3.094081775263002061e-03
9.428571428571428381e-01,1.801926153667383179e+00,2.778915497785585179e-02
1.000000000000000000e+00,9.145257905857251401e+00,8.935254114351706689e-02
1.057142857142856940e+00,1.310067780805504256e+01,9.579294100249453880e-02
1.114285714285714324e+00,1.074500685206343675e+01,7.449419278850701043e-02
1.171428571428571264e+00,7.609931338829744263e+00,6.239117490442836617e-02
1.228571428571428648e+00,5.023123819316788641e+00,2.706645988683211573e-02
1.285714285714285587e+00,3.372859164221437389e+00,3.784210476432223191e-02
1.342857142857142971e+00,2.480725068062619609e+00,2.060234041612978365e-02
1.399999999999999911e+00,1.905415878568289756e+00,2.241227335133384041e-02
1.457142857142857295e+00,1.599668004391641807e+00,1.422503373479462770e-02
1.514285714285714235e+00,1.342258534898443267e+00,1.747726851840140927e-02
1.571428571428571175e+00,1.214465839267191427e+00,1.756099280109157598e-02
1.628571428571428559e+00,1.151037561526877528e+00,1.255823375614921293e-02
1.685714285714285499e+00,1.138207135665555203e+00,2.610123438460727752e-02
1.742857142857142883e+00,1.140896735017748354e+00,1.380154881050569063e-02
1.799999999999999822e+00,1.178451480942941831e+00,1.595339924681212634e-02
1.857142857142857206e+00,1.234875370773306225e+00,1.578967892946647744e-02
1.914285714285714146e+00,1.316251793444238372e+00,1.254551102003872466e-02
1.971428571428571530e+00,1.368254775033049375e+00,1.341286130191596780e-02
2.028571428571428470e+00,1.413682953891081784e+00,1.147041706938957059e-02
2.085714285714285410e+00,1.408683207796465053e+00,1.131931847468295449e-02
2.142857142857142794e+00,1.378482426089162605e+00,1.655344710131490676e-02
2.200000000000000178e+00,1.277681602404895145e+00,1.243088455532192181e-02
2.257142857142857117e+00,1.202341890489851517e+00,9.483761559733591348e-03
2.314285714285714057e+00,1.136854779870135612e+00,1.495369962211084286e-02
2.371428571428571441e+00,1.063456610894049970e+00,9.234699037884092424e-03
2.428571428571428381e+00,1.006617296608373291e+00,9.171650905402508117e-03
2.485714285714285765e+00,9.888127481274452402e-01,1.036629309770244201e-02
2.542857142857142705e+00,9.720519744236117976e-01,6.484826734028934815e-03
2.599999999999999645e+00,9.574238180717840052e-01,1.041520505919797841e-02
2.657142857142857029e+00,9.502736807799371244e-01,1.025500527314063097e-02
2.714285714285714413e+00,9.912184391319451837e-01,8.280421771167367426e-03
2.771428571428571352e+00,1.023389297972428391e+00,5.885704477235485788e-03
2.828571428571428292e+00,1.038373497392245826e+00,9.269535083982946219e-03
2.885714285714285676e+00,1.061166908343478266e+00,1.036410330247459349e-02
2.942857142857143060e+00,1.084018163645580124e+00,4.946939425473870569e-03
3.000000000000000000e+00,1.081678731161093143e+00,1.058370383612754900e-02
3.057142857142856940e+00,1.072299621158731453e+00,7.766456208182890772e-03
3.114285714285713880e+00,1.074515743228320774e+00,8.917002129261825463e-03
3.171428571428571264e+00,1.057605802858342381e+00,1.265544938146456397e-02
3.228571428571428648e+00,1.050473345443206252e+00,7.246952182878050458e-03
3.285714285714285587e+00,9.932177787504891109e-01,5.957375310109693997e-03
3.342857142857142527e+00,1.001119513492805035e+00,6.851600464081445373e-03
3.399999999999999911e+00,9.998288498532399426e-01,9.475493944406167615e-03
3.457142857142857295e+00,9.751591403673595115e-01,7.591334697543083120e-03
3.514285714285714235e+00,9.644713379018069466e-01,1.005174984692009353e-02
3.571428571428571175e+00,9.835344350628554277e-01,7.678162431751752066e-03
3.628571428571428559e+00,9.760098250631928929e-01,1.076301576298576909e-02
3.685714285714285499e+00,9.828442205596296111e-01,4.294255827641879804e-03
3.742857142857142883e+00,1.002937772610333900e+00,9.204057589542432097e-03
3.799999999999999822e+00,1.006024183802499028e+00,7.417775992965439623e-03
3.857142857142856762e+00,1.007287062065024053e+00,1.033163303241391509e-02
3.914285714285714146e+00,1.002643753280320515e+00,6.533802270468310087e-03
3.971428571428571530e+00,1.017673455241596248e+00,6.800450541326442423e-03
4.028571428571428470e+00,1.025550459250644142e+00,4.235760290585685595e-03
4.085714285714285410e+00,1.027095958371504469e+00,8.312419191346740246e-03
4.142857142857142350e+00,9.935893694569939427e-01,4.410748172667796653e-03
4.200000000000000178e+00,9.963670448920064482e-01,2.235263853684123746e-03
4.257142857142857117e+00,9.922895397086671787e-01,5.208904701008156349e-03
4.314285714285714057e+00,9.940404913591558422e-01,5.441519617802167627e-03
4.371428571428570997e+00,9.855883026894265431e-01,5.885230472700568767e-03
4.428571428571428825e+00,9.836735977834850653e-01,4.566330975182899231e-03
4.485714285714285765e+00,9.983046586788482113e-01,4.788456925233957988e-03
4.542857142857142705e+00,9.878700256611001596e-01,5.078791688883339296e-03
4.599999999999999645e+00,9.878276178164094867e-01,4.507276225982358858e-03
4.657142857142856585e+00,9.923217769729939519e-01,3.821162989214104203e-03
4.714285714285714413e+00,9.960634162093311428e-01,7.329429929284159324e-03
4.771428571428571352e+00,9.977108063123697468e-01,6.767694287494617836e-03
4.828571428571428292e+00,1.001829944043187481e+00,4.944736188061865483e-03
4.885714285714285232e+00,9.868524481841014495e-01,5.946546161182690929e-03
4.942857142857143060e+00,9.914834943299496439e-01,3.427386870001165008e-03
5.000000000000000000e+00,9.970229725322876657e-01,3.446900501623992915e-03
5.057142857142856940e+00,1.001175796639915516e+00,5.022092101317121929e-03
5.114285714285713880e+00,1.003340703349459684e+00,3.470754667354338397e-03
5.171428571428570820e+00,9.874269018513700535e-01,7.014259292322173531e-03
5.228571428571428648e+00,9.930705287924042057e-01,3.678188425355915624e-03
5.285714285714285587e+00,9.833114039834794928e-01,3.494078730358427236e-03
5.342857142857142527e+00,9.926547678374134653e-01,4.149996066912509801e-03
5.400000000000000355e+00,9.881926347118206166e-01,6.960724991566542147e-03
5.457142857142857295e+00,9.887655242963895308e-01,4.697896627046158936e-03
5.514285714285714235e+00,9.795744522864977544e-01,4.503338872839179365e-03
5.571428571428571175e+00,9.846307666362562605e-01,4.492918938062078794e-03
5.628571428571428115e+00,9.906504661089992059e-01,3.458596363530392400e-03
5.685714285714285054e+00,9.937738286244164332e-01,4.555122210900690999e-03
5.742857142857142883e+00,9.998274624286505041e-01,5.908103889185649209e-03
