r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,1.706101272934525473e-03,1.618549782415705518e-03
9.428571428571428381e-01,4.212673157819574743e-01,2.141246510940290546e-02
1.000000000000000000e+00,2.463545785512079700e+00,5.613386807955664942e-02
1.057142857142856940e+00,4.220838766349671367e+00,5.307140615858156607e-02
1.114285714285714324e+00,4.328297461437696114e+00,3.949797213302990578e-02
1.171428571428571264e+00,3.203204568953174736e+00,6.543423621010147073e-02
1.228571428571428648e+00,2.481971185020609205e+00,4.307414451695451563e-02
1.285714285714285587e+00,1.911343801189214542e+00,3.128489029964669210e-02
1.342857142857142971e+00,1.501046609860981818e+00,2.332452420522880890e-02
1.399999999999999911e+00,1.221491835675028836e+00,1.709757071545474350e-02
1.457142857142857295e+00,1.125093596187619616e+00,1.660569880198477580e-02
1.514285714285714235e+00,9.793974821159133759e-01,2.541123309551741524e-02
1.571428571428571175e+00,9.384840244448463542e-01,1.208370061359574296e-02
1.628571428571428559e+00,9.401704606835370459e-01,2.317329599763750039e-02
1.685714285714285499e+00,9.681940697552064989e-01,2.272503669079306565e-02
1.742857142857142883e+00,1.017647943338687133e+00,2.061801194510190505e-02
1.799999999999999822e+00,1.081309374462762873e+00,1.623268067738174378e-02
1.857142857142857206e+00,1.191076215503308999e+00,2.649791718497277598e-02
1.914285714285714146e+00,1.323322319984699735e+00,2.068796813882053595e-02
1.971428571428571530e+00,1.331469286421232301e+00,1.982835656469511543e-02
2.028571428571428470e+00,1.351437957023697845e+00,2.051398128807232352e-02
2.085714285714285410e+00,1.423577264543206544e+00,1.673634203863948525e-02
2.142857142857142794e+00,1.361760426363914922e+00,1.774052240815509468e-02
2.200000000000000178e+00,1.336053525264504049e+00,2.209466372834624492e-02
2.257142857142857117e+00,1.238146833248689571e+00,1.310367939172968690e-02
2.314285714285714057e+00,1.222445841973606395e+00,8.521756749697283542e-03
2.371428571428571441e+00,1.096373162519547195e+00,1.532782126762454247e-02
2.428571428571428381e+00,1.063059187155714458e+00,1.222885876200091419e-02
2.485714285714285765e+00,1.001645709270199358e+00,1.577533529710376664e-02
2.542857142857142705e+00,1.014346958842264446e+00,1.645644164976966042e-02
2.599999999999999645e+00,1.004331103990977914e+00,8.719163099046418897e-03
2.657142857142857029e+00,1.032718260862873327e+00,1.005425563455127416e-02
2.714285714285714413e+00,1.035485156600161050e+00,1.246131561706373923e-02
2.771428571428571352e+00,1.060571010747953347e+00,1.194540105861164117e-02
2.828571428571428292e+00,1.086584627621110855e+00,1.117721638178753758e-02
2.885714285714285676e+00,1.099024299730698928e+00,1.675388012517867523e-02
2.942857142857143060e+00,1.103216052479545795e+00,9.904048264059587062e-03
3.000000000000000000e+00,1.101356402016802294e+00,1.663575300628953799e-02
3.057142857142856940e+00,1.124526614313866135e+00,5.311691919669881377e-03
3.114285714285713880e+00,1.112984565864888031e+00,1.173058303387037281e-02
3.171428571428571264e+00,1.112062870527303904e+00,1.041211301381873150e-02
3.228571428571428648e+00,1.075402874056948566e+00,1.090869858730414942e-02
3.285714285714285587e+00,1.068865094535079496e+00,9.345387716638705114e-03
3.342857142857142527e+00,1.042271474483254412e+00,7.286744160871212565e-03
3.399999999999999911e+00,1.028447475125793931e+00,8.872444607885977830e-03
3.457142857142857295e+00,1.021713653411847389e+00,8.573449645871153782e-03
3.514285714285714235e+00,9.857902951075724340e-01,1.048612077285934405e-02
3.571428571428571175e+00,1.017875729760062242e+00,7.198281081783259802e-03
3.628571428571428559e+00,9.993658697410428005e-01,9.109057492363263273e-03
3.685714285714285499e+00,1.024757114199545960e+00,1.052699558629070428e-02
3.742857142857142883e+00,1.026540393993298661e+00,1.076719506362658688e-02
3.799999999999999822e+00,1.017790285852129717e+00,7.648803766506034885e-03
3.857142857142856762e+00,1.043145839678088160e+00,6.647930180675280104e-03
3.914285714285714146e+00,1.024331600214935634e+00,1.098437350490750163e-02
3.971428571428571530e+00,1.047241888026003931e+00,1.140799534448331924e-02
4.028571428571428470e+00,1.033197212786080232e+00,7.317929728293258961e-03
4.085714285714285410e+00,1.025695413891615226e+00,5.388464028876554721e-03
4.142857142857142350e+00,1.034691381884705441e+00,3.271038142125062571e-03
4.200000000000000178e+00,1.024583505070376654e+00,8.819613953272067639e-03
4.257142857142857117e+00,1.034092209101525217e+00,9.197737980659774840e-03
4.314285714285714057e+00,1.022867540709813117e+00,6.656751707506782141e-03
4.371428571428570997e+00,1.002811064409854236e+00,4.428038052313670349e-03
4.428571428571428825e+00,1.018989303316429451e+00,4.019745475210880110e-03
4.485714285714285765e+00,1.002583786825090417e+00,1.209905370359502103e-02
4.542857142857142705e+00,9.956807152283829732e-01,7.829952471209242898e-03
4.599999999999999645e+00,1.002681553947258886e+00,7.194719092414160119e-03
4.657142857142856585e+00,1.009450277678733743e+00,7.626908522636310916e-03
4.714285714285714413e+00,9.955470578811702609e-01,8.349502663087978588e-03
4.771428571428571352e+00,1.010276766245328028e+00,7.091347741839703830e-03
4.828571428571428292e+00,1.023240706331328909e+00,9.097948994357583918e-03
4.885714285714285232e+00,1.016309530855765697e+00,5.466205511067687324e-03
4.942857142857143060e+00,1.016449047847848730e+00,4.172718678584162559e-03
5.000000000000000000e+00,1.013213050779374624e+00,6.426059314872722972e-03
5.057142857142856940e+00,1.015600325808472926e+00,4.685299596753256593e-03
5.114285714285713880e+00,1.019422542833591239e+00,6.075105816257230992e-03
5.171428571428570820e+00,1.002196945657092719e+00,5.146823011454383472e-03
5.228571428571428648e+00,1.019531053356887318e+00,5.214850191558852155e-03
5.285714285714285587e+00,9.991275170283826501e-01,8.892734095820861023e-03
5.342857142857142527e+00,1.013104230026995678e+00,4.892065307643080410e-03
5.400000000000000355e+00,1.006150641643472010e+00,6.126910137838912328e-03
5.457142857142857295e+00,1.007630254872657227e+00,7.524019903156670824e-03
5.514285714285714235e+00,1.000248052820885913e+00,6.813655480306007699e-03
5.571428571428571175e+00,1.000851744500641516e+00,4.623528024956764966e-03
5.628571428571428115e+00,9.929171564556200646e-01,5.417764591917035612e-03
5.685714285714285054e+00,9.985904602655335527e-01,6.472238007534682029e-03
5.742857142857142883e+00,1.002682572305226616e+00,8.544431022016114527e-03
