r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,2.543121787665715821e-03,6.935505715994076431e-05
9.428571428571428381e-01,2.293204645990032930e-01,3.238945047875824742e-04
1.000000000000000000e+00,1.447485112691042186e+00,8.859679070971148524e-04
1.057142857142856940e+00,2.572183599455958092e+00,1.293839891863193944e-03
1.114285714285714324e+00,2.600046071891644495e+00,7.195281955195226503e-04
1.171428571428571264e+00,2.120851112686252371e+00,9.852479986532471957e-04
1.228571428571428648e+00,1.643704808050353794e+00,9.261376074685212859e-04
1.285714285714285587e+00,1.288766855442173398e+00,1.081286383328821255e-03
1.342857142857142971e+00,1.047590823187732667e+00,6.787293507893006964e-04
1.399999999999999911e+00,8.918629635096080310e-01,5.464711588527343313e-04
1.457142857142857295e+00,7.945561460025383216e-01,4.097203763501037241e-04
1.514285714285714235e+00,7.393012182646141461e-01,6.101398281054871715e-04
1.571428571428571175e+00,7.164843217212756299e-01,5.616434633631012686e-04
1.628571428571428559e+00,7.243875077670278717e-01,3.944822730635049487e-04
1.685714285714285499e+00,7.551363256832757109e-01,2.841207744324580594e-04
1.742857142857142883e+00,8.101865330136568399e-01,6.725669255097761149e-04
1.799999999999999822e+00,8.861528624210924798e-01,4.982774040281006756e-04
1.857142857142857206e+00,9.681336825638652277e-01,4.486031027357216235e-04
1.914285714285714146e+00,1.051760902401910780e+00,4.965162288986617583e-04
1.971428571428571530e+00,1.127901694096995477e+00,4.379317703853933012e-04
2.028571428571428470e+00,1.185283199192642023e+00,3.056746049756908280e-04
2.085714285714285410e+00,1.210902903058897362e+00,4.815500213735833730e-04
2.142857142857142794e+00,1.198217491267127732e+00,4.442698932004865669e-04
2.200000000000000178e+00,1.157680789862696846e+00,4.959228673633836850e-04
2.257142857142857117e+00,1.097815291150866734e+00,4.463935412812369071e-04
2.314285714285714057e+00,1.040541073133580241e+00,4.437908360238416853e-04
2.371428571428571441e+00,9.876066116714561360e-01,3.908066043963310502e-04
2.428571428571428381e+00,9.470120177389540483e-01,3.907042414813976681e-04
2.485714285714285765e+00,9.203902620207609075e-01,4.203052512973343363e-04
2.542857142857142705e+00,9.092711545131940687e-01,3.791893661218193761e-04
2.599999999999999645e+00,9.118989543866359293e-01,4.819881493659718824e-04
2.657142857142857029e+00,9.256572703860073137e-01,3.050596187131489594e-04
2.714285714285714413e+00,9.474236297480433944e-01,2.154046614815504019e-04
2.771428571428571352e+00,9.731545207996180613e-01,3.291589788074115552e-04
2.828571428571428292e+00,9.998140794167291734e-01,4.147278152110673135e-04
2.885714285714285676e+00,1.023924738664045098e+00,3.483144648973134755e-04
2.942857142857143060e+00,1.042597453460497814e+00,3.485335263793564895e-04
3.000000000000000000e+00,1.052853691279356463e+00,1.696014928043805732e-04
3.057142857142856940e+00,1.056459311024279035e+00,3.341776371133493373e-04
3.114285714285713880e+00,1.051525330958496873e+00,4.009666232704989014e-04
3.171428571428571264e+00,1.040327058219151946e+00,3.395259840292200594e-04
3.228571428571428648e+00,1.026761265076032270e+00,3.080964896404188129e-04
3.285714285714285587e+00,1.011011027412016094e+00,2.290203429291812263e-04
3.342857142857142527e+00,9.962749480407764313e-01,2.651801105054098955e-04
3.399999999999999911e+00,9.832609415681238252e-01,3.179906051745704865e-04
3.457142857142857295e+00,9.741325921983896574e-01,4.284900356404586414e-04
3.514285714285714235e+00,9.704647679627781409e-01,2.834386222486437305e-04
3.571428571428571175e+00,9.718096656076596895e-01,1.097210198912214573e-04
3.628571428571428559e+00,9.763815882527755452e-01,1.580749740613608581e-04
3.685714285714285499e+00,9.834748941816323642e-01,2.927737866369329710e-04
3.742857142857142883e+00,9.916237246334599353e-01,3.097061157927327485e-04
3.799999999999999822e+00,1.000968927089208815e+00,2.545284921354697052e-04
3.857142857142856762e+00,1.008427949854054262e+00,2.989953242002978259e-04
3.914285714285714146e+00,1.013692408435870274e+00,2.365979388791443635e-04
3.971428571428571530e+00,1.016975790307324434e+00,2.466302374608964477e-04
4.028571428571428470e+00,1.018386885033893297e+00,1.891296733981792709e-04
4.085714285714285410e+00,1.016280821272349311e+00,2.534521992465291998e-04
4.142857142857142350e+00,1.013229699523825911e+00,3.033800779736799884e-04
4.200000000000000178e+00,1.007637343501080140e+00,1.783121806332972159e-04
4.257142857142857117e+00,1.003115935413940729e+00,2.258261916186851280e-04
4.314285714285714057e+00,9.973070273937760799e-01,2.684552135647935256e-04
4.371428571428570997e+00,9.939511315498095190e-01,1.376590568585935894e-04
4.428571428571428825e+00,9.915654940604026191e-01,1.213378917690763017e-04
4.485714285714285765e+00,9.905372067267270708e-01,2.128995156860489125e-04
4.542857142857142705e+00,9.902812522042925281e-01,1.743940213506709575e-04
4.599999999999999645e+00,9.922480730517341252e-01,2.288346817930975358e-04
4.657142857142856585e+00,9.948327764537209239e-01,2.979104158961420955e-04
4.714285714285714413e+00,9.976481788654408822e-01,2.440104333699979447e-04
4.771428571428571352e+00,1.000174118194528949e+00,1.491462788664634344e-04
4.828571428571428292e+00,1.003105663947275072e+00,1.970831979139112491e-04
4.885714285714285232e+00,1.004828710954481563e+00,1.963932069227790702e-04
4.942857142857143060e+00,1.006151230661797680e+00,2.013342636315742335e-04
5.000000000000000000e+00,1.006139966924766149e+00,6.049037768817617670e-05
5.057142857142856940e+00,1.004815401123652752e+00,1.369334695187144333e-04
5.114285714285713880e+00,1.003606291145633378e+00,2.609075917503932618e-04
5.171428571428570820e+00,1.002618354135548895e+00,1.719652962641275132e-04
5.228571428571428648e+00,1.000683194174323054e+00,2.062005148144175747e-04
5.285714285714285587e+00,9.985680057343921945e-01,1.121658024070215995e-04
5.342857142857142527e+00,9.974804115806085170e-01,1.496699825420443140e-04
5.400000000000000355e+00,9.966902325928858053e-01,2.288611875686488348e-04
5.457142857142857295e+00,9.966143211715209338e-01,2.091050748803963556e-04
5.514285714285714235e+00,9.967058162329394122e-01,1.679285498483087252e-04
5.571428571428571175e+00,9.973052487892681839e-01,1.128540810812725967e-04
5.628571428571428115e+00,9.981991564172532083e-01,1.527090035458072612e-04
5.685714285714285054e+00,9.992087961830456999e-01,1.067086314935360066e-04
5.742857142857142883e+00,1.000420246974340621e+00,1.330332465504213127e-04
