r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,1.072582060730325852e-02,1.628376753560517760e-03
9.428571428571428381e-01,8.179839166342338652e-01,1.322299842560746043e-02
1.000000000000000000e+00,4.865984162013996084e+00,3.293188628568921583e-02
1.057142857142856940e+00,7.709809268318482012e+00,4.164602007025821478e-02
1.114285714285714324e+00,7.070536299236418465e+00,4.098286944292653389e-02
1.171428571428571264e+00,5.510706686942739019e+00,4.175221961449030600e-02
1.228571428571428648e+00,4.415910478434853736e+00,2.036651043722059393e-02
1.285714285714285587e+00,3.549993452231504421e+00,1.987777776085972170e-02
1.342857142857142971e+00,2.962689516736323636e+00,2.003830912565790143e-02
1.399999999999999911e+00,2.499273897292708213e+00,2.169191489088759944e-02
1.457142857142857295e+00,2.160247171145754042e+00,1.494597981305359480e-02
1.514285714285714235e+00,1.911688259442509308e+00,1.258742915302346957e-02
1.571428571428571175e+00,1.707774693040903013e+00,1.330058640043750746e-02
1.628571428571428559e+00,1.543027080639963300e+00,9.954768651392336895e-03
1.685714285714285499e+00,1.451870363711290191e+00,1.067450505967355162e-02
1.742857142857142883e+00,1.323343296201168640e+00,8.820449968385483952e-03
1.799999999999999822e+00,1.280996515552246473e+00,9.669074902266174693e-03
1.857142857142857206e+00,1.222235515713629095e+00,6.265738375233379821e-03
1.914285714285714146e+00,1.185122446859520506e+00,8.691424037000065883e-03
1.971428571428571530e+00,1.171599101051673752e+00,7.051829076747381797e-03
2.028571428571428470e+00,1.151598244919861846e+00,6.931330949361979958e-03
2.085714285714285410e+00,1.156861485188144911e+00,6.511853907077548229e-03
2.142857142857142794e+00,1.123482885435731937e+00,7.641802861996308156e-03
2.200000000000000178e+00,1.138747316936004506e+00,4.993153735999384876e-03
2.257142857142857117e+00,1.111623762172093688e+00,6.466390751070329873e-03
2.314285714285714057e+00,1.097519692235424671e+00,9.803978488287857715e-03
2.371428571428571441e+00,1.081526192622067173e+00,5.891675115620477465e-03
2.428571428571428381e+00,1.066901956855461631e+00,5.853493620369988430e-03
2.485714285714285765e+00,1.061797923983447856e+00,7.605323567405595370e-03
2.542857142857142705e+00,1.053764302664206287e+00,4.810724847589657044e-03
2.599999999999999645e+00,1.038806039936422065e+00,9.052631366034126839e-03
2.657142857142857029e+00,1.040793671007680832e+00,7.069716093923412645e-03
2.714285714285714413e+00,1.025350560078323925e+00,6.615109998173338349e-03
2.771428571428571352e+00,1.017433489233615651e+00,5.491396275721733590e-03
2.828571428571428292e+00,1.021800336651173202e+00,5.281537141703821631e-03
2.885714285714285676e+00,1.012506057777639912e+00,5.894276202163472970e-03
2.942857142857143060e+00,1.007816652947210567e+00,6.263690805002984120e-03
3.000000000000000000e+00,1.022635639547821551e+00,7.915045797919666865e-03
3.057142857142856940e+00,1.005128502235379750e+00,3.866687441205496345e-03
3.114285714285713880e+00,1.010568300604290926e+00,6.380201888096126428e-03
3.171428571428571264e+00,1.006691997355002810e+00,4.450733182344990789e-03
3.228571428571428648e+00,1.009451857514110262e+00,3.918047228490746312e-03
3.285714285714285587e+00,1.009737695907687138e+00,4.142564133609557067e-03
3.342857142857142527e+00,1.016628057527519058e+00,5.160504792194739281e-03
3.399999999999999911e+00,1.002104240972574889e+00,5.502326622900526390e-03
3.457142857142857295e+00,1.000354094685337758e+00,2.481983491290162304e-03
3.514285714285714235e+00,9.991278339106676176e-01,2.637351732742022458e-03
3.571428571428571175e+00,1.011260051473806154e+00,4.718426181012969761e-03
3.628571428571428559e+00,1.011299347104730906e+00,4.202761659439788536e-03
3.685714285714285499e+00,9.961314024168897996e-01,5.549228287287029035e-03
3.742857142857142883e+00,1.000018578887937659e+00,2.896913592840976489e-03
3.799999999999999822e+00,9.961155663676002359e-01,3.528140940675402945e-03
3.857142857142856762e+00,9.995814988214639651e-01,1.721232959808765292e-03
3.914285714285714146e+00,1.003098173883840927e+00,2.597339413777371032e-03
3.971428571428571530e+00,1.001722461752892368e+00,2.777928288924551639e-03
4.028571428571428470e+00,9.992588836375405625e-01,2.279560961677214777e-03
4.085714285714285410e+00,9.978931323071253967e-01,4.309076473972045865e-03
4.142857142857142350e+00,1.002038097542662154e+00,3.354227509484321041e-03
4.200000000000000178e+00,9.970256121182575759e-01,4.268239480522475170e-03
4.257142857142857117e+00,9.963029337271048780e-01,3.167571858835204011e-03
4.314285714285714057e+00,9.968515758580120956e-01,5.397417398780682794e-03
4.371428571428570997e+00,9.940118254681354903e-01,3.248941592340846927e-03
4.428571428571428825e+00,9.966792142071971838e-01,2.530766467584323089e-03
4.485714285714285765e+00,9.976983105172674282e-01,2.401047193294213872e-03
4.542857142857142705e+00,1.001067117982414212e+00,2.332720808299125915e-03
4.599999999999999645e+00,9.984191836530005304e-01,4.371597154463812036e-03
4.657142857142856585e+00,9.958170350388340086e-01,3.609360941968770171e-03
4.714285714285714413e+00,9.962767020088871828e-01,3.678438737497766002e-03
4.771428571428571352e+00,9.916841913385973095e-01,2.024366253930217231e-03
4.828571428571428292e+00,1.001523705242126416e+00,3.117962035963426411e-03
4.885714285714285232e+00,9.985278771679055865e-01,4.136011142530822415e-03
4.942857142857143060e+00,9.945075817288717701e-01,3.107184729642471690e-03
5.000000000000000000e+00,9.960800792782646962e-01,3.638836727797054287e-03
5.057142857142856940e+00,9.991161500307104149e-01,3.205901173165780042e-03
5.114285714285713880e+00,9.959373269357998382e-01,3.352445405062724152e-03
5.171428571428570820e+00,1.002820274623668961e+00,2.977103698673851453e-03
5.228571428571428648e+00,9.974575508431477999e-01,3.032253110337855551e-03
5.285714285714285587e+00,9.980521923248135696e-01,3.205331697670432776e-03
5.342857142857142527e+00,9.989686752016690985e-01,4.012704040739739457e-03
5.400000000000000355e+00,9.950218004561449670e-01,3.231960682932559763e-03
5.457142857142857295e+00,9.986281569913302292e-01,3.173844423278183221e-03
5.514285714285714235e+00,9.979088200758612359e-01,2.442404668902609533e-03
5.571428571428571175e+00,9.941115450637145745e-01,1.792666091524339807e-03
5.628571428571428115e+00,9.944629549554333536e-01,2.883219999748875065e-03
5.685714285714285054e+00,9.997806776041621157e-01,2.932152205600054712e-03
5.742857142857142883e+00,9.969112961705025588e-01,2.542041330571465259e-03
