r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,1.457543685787785880e-03,2.298443903853447548e-04
9.428571428571428381e-01,1.635435263996620203e-01,2.135323786459514435e-03
1.000000000000000000e+00,1.139221287286305451e+00,4.932850824782348230e-03
1.057142857142856940e+00,2.156010272327539390e+00,6.663072405074133009e-03
1.114285714285714324e+00,2.311820442275222209e+00,6.723290676026410888e-03
1.171428571428571264e+00,2.062745581784767079e+00,5.160306680699388270e-03
1.228571428571428648e+00,1.856934285876630231e+00,6.068888757263737541e-03
1.285714285714285587e+00,1.689430239539699841e+00,4.508182279870305217e-03
1.342857142857142971e+00,1.556214796144368417e+00,5.869149299439367119e-03
1.399999999999999911e+00,1.413386122230787967e+00,3.987964665562093378e-03
1.457142857142857295e+00,1.333124583315154155e+00,3.776625200605595103e-03
1.514285714285714235e+00,1.245503661866948164e+00,3.828606035731688898e-03
1.571428571428571175e+00,1.186964813763776494e+00,3.450222227851177347e-03
1.628571428571428559e+00,1.138747909665725144e+00,2.218595002927872210e-03
1.685714285714285499e+00,1.098998066790825012e+00,3.231717120193823047e-03
1.742857142857142883e+00,1.067643946239751340e+00,4.102200800108069499e-03
1.799999999999999822e+00,1.049663755353911432e+00,2.733572543091328071e-03
1.857142857142857206e+00,1.043558067070520012e+00,3.241490757641627904e-03
1.914285714285714146e+00,1.041067225839856780e+00,2.890361121443869863e-03
1.971428571428571530e+00,1.038082177236098191e+00,2.020579097654186165e-03
2.028571428571428470e+00,1.052476067308482754e+00,3.061718958892614348e-03
2.085714285714285410e+00,1.063092001872857795e+00,3.178141079672520963e-03
2.142857142857142794e+00,1.069407902967360879e+00,2.507907717176580467e-03
2.200000000000000178e+00,1.072277742737794748e+00,2.973994750139480250e-03
2.257142857142857117e+00,1.071699312334227328e+00,3.243798333011976062e-03
2.314285714285714057e+00,1.067616707823118904e+00,1.459397838006779935e-03
2.371428571428571441e+00,1.065746116359426399e+00,2.816075234942673304e-03
2.428571428571428381e+00,1.053752828333518909e+00,3.096745830317794261e-03
2.485714285714285765e+00,1.048696470654918222e+00,3.076328939264698272e-03
2.542857142857142705e+00,1.042984009917292676e+00,2.255158534496498873e-03
2.599999999999999645e+00,1.034868619815743296e+00,1.960527897425764880e-03
2.657142857142857029e+00,1.026301706103750933e+00,1.951263274137098611e-03
2.714285714285714413e+00,1.024770452326827508e+00,2.405683621601483000e-03
2.771428571428571352e+00,1.015176028262840147e+00,1.335358834480138016e-03
2.828571428571428292e+00,1.014501780793381602e+00,1.985563257444415263e-03
2.885714285714285676e+00,1.015620565189507385e+00,1.938433927740153620e-03
2.942857142857143060e+00,1.012724704397708786e+00,1.520815633522753368e-03
3.000000000000000000e+00,1.011329191365952784e+00,2.429537577060293489e-03
3.057142857142856940e+00,1.011793687351139948e+00,2.676990437754052377e-03
3.114285714285713880e+00,1.011345605321786190e+00,2.712426023135370776e-03
3.171428571428571264e+00,1.013293185541898955e+00,1.418096722859053631e-03
3.228571428571428648e+00,1.007917086308849797e+00,8.620402477078934833e-04
3.285714285714285587e+00,1.009421375715697788e+00,1.266191218176981534e-03
3.342857142857142527e+00,1.009885328336020516e+00,1.602025705342625863e-03
3.399999999999999911e+00,1.010071580907885958e+00,1.808221550781498798e-03
3.457142857142857295e+00,1.007573195520903742e+00,1.244899635878133183e-03
3.514285714285714235e+00,1.006685113539584231e+00,1.102480715254860848e-03
3.571428571428571175e+00,1.005612174816455262e+00,8.065843826329523961e-04
3.628571428571428559e+00,1.004082233597033635e+00,1.950103067284364401e-03
3.685714285714285499e+00,1.004074146412758051e+00,1.785041114207715999e-03
3.742857142857142883e+00,1.006805701201691772e+00,1.208971379026169048e-03
3.799999999999999822e+00,1.003052416210907349e+00,9.934513361051352728e-04
3.857142857142856762e+00,1.004681364429348411e+00,1.247091065950133677e-03
3.914285714285714146e+00,1.003059917203504181e+00,9.580170720287024735e-04
3.971428571428571530e+00,1.000331838175627208e+00,1.601289285458304661e-03
4.028571428571428470e+00,1.000530906955487076e+00,1.649044971203587071e-03
4.085714285714285410e+00,1.000931995709437361e+00,1.824728157606738278e-03
4.142857142857142350e+00,1.002437948574217197e+00,1.031658012075564908e-03
4.200000000000000178e+00,1.004642257082563495e+00,1.224784330667895004e-03
4.257142857142857117e+00,1.002035175089765584e+00,1.200929502612582949e-03
4.314285714285714057e+00,1.003326953390434317e+00,1.472511587803042700e-03
4.371428571428570997e+00,9.992959230328178899e-01,1.051238444466342766e-03
4.428571428571428825e+00,9.989551327803114500e-01,1.495301695889589104e-03
4.485714285714285765e+00,1.002225807626631937e+00,1.179708126804524795e-03
4.542857142857142705e+00,1.001537672575706361e+00,1.369409350394044760e-03
4.599999999999999645e+00,1.001010416970161465e+00,1.454063340718502904e-03
4.657142857142856585e+00,1.000025645505217664e+00,1.494514214780423003e-03
4.714285714285714413e+00,9.983090420688023325e-01,1.045001650910565945e-03
4.771428571428571352e+00,9.992809171853096473e-01,7.347184343833182505e-04
4.828571428571428292e+00,1.002393612991418381e+00,9.155803490387872789e-04
4.885714285714285232e+00,9.997358068700057387e-01,1.182385800851020905e-03
4.942857142857143060e+00,1.001579526802931497e+00,1.163100936312987457e-03
5.000000000000000000e+00,9.982291272622452194e-01,1.231809576292121171e-03
5.057142857142856940e+00,1.001733836977983128e+00,1.184562588112930649e-03
5.114285714285713880e+00,9.987187757730164872e-01,1.275897330293871692e-03
5.171428571428570820e+00,1.001000682380381201e+00,1.059063024421505461e-03
5.228571428571428648e+00,9.981974773133395207e-01,9.579517372920029125e-04
5.285714285714285587e+00,9.996516438729813325e-01,1.049181901670386084e-03
5.342857142857142527e+00,9.992846437897190404e-01,9.249564966353465614e-04
5.400000000000000355e+00,9.986077082663717963e-01,7.205737642170463760e-04
5.457142857142857295e+00,1.000491275401230951e+00,8.508190626301897173e-04
5.514285714285714235e+00,9.988751833781762679e-01,8.119258105800030920e-04
5.571428571428571175e+00,9.996884066417370818e-01,1.131636923562521916e-03
5.628571428571428115e+00,9.998059105319716533e-01,1.068715283478709720e-03
5.685714285714285054e+00,9.993799660026707610e-01,7.371563784474625914e-04
5.742857142857142883e+00,1.000343398025679509e+00,1.078290055421496580e-03
