r,gCA_mean,gCA_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.428571428571428381e-01,1.172216966584913173e-01,2.730634207414971495e-02
1.000000000000000000e+00,7.811080455407755085e-01,5.643208143777098118e-02
1.057142857142856940e+00,1.661978530544616417e+00,7.603131151295494661e-02
1.114285714285714324e+00,1.799139299737201325e+00,8.608513631683401002e-02
1.171428571428571264e+00,1.644668398160943568e+00,6.965564507620254642e-02
1.228571428571428648e+00,1.552753561325023623e+00,5.221846331369857375e-02
1.285714285714285587e+00,1.481076455003794701e+00,8.586830443310948524e-02
1.342857142857142971e+00,1.371144917427690846e+00,2.809162803621472956e-02
1.399999999999999911e+00,1.302375726280272206e+00,5.351814523394874540e-02
1.457142857142857295e+00,1.183747142870328783e+00,7.586155290934001871e-02
1.514285714285714235e+00,1.118019632471293656e+00,6.193902022980100897e-02
1.571428571428571175e+00,1.108676584209041804e+00,5.176058196017855467e-02
1.628571428571428559e+00,1.115046800722548692e+00,4.602219150896427052e-02
1.685714285714285499e+00,1.039176025607989828e+00,2.264084452819986951e-02
1.742857142857142883e+00,1.053264366566519339e+00,5.602840222277508803e-02
1.799999999999999822e+00,1.071789410126485764e+00,3.584558417104695416e-02
1.857142857142857206e+00,1.023914344315146163e+00,4.662413265710522309e-02
1.914285714285714146e+00,1.028541099713053741e+00,4.321966106245327816e-02
1.971428571428571530e+00,1.051436023865168767e+00,3.628015993281088342e-02
2.028571428571428470e+00,1.096251285719993307e+00,2.259260882917494412e-02
2.085714285714285410e+00,1.082949143594396313e+00,3.328029288014570930e-02
2.142857142857142794e+00,1.052491286805808501e+00,3.611629373399133369e-02
2.200000000000000178e+00,1.042981299603096046e+00,2.775037550760891050e-02
2.257142857142857117e+00,1.132692419974348219e+00,4.468152462692527582e-02
2.314285714285714057e+00,1.091553581851386179e+00,2.790918844817762492e-02
2.371428571428571441e+00,1.116154764301557467e+00,3.242282479275011148e-02
2.428571428571428381e+00,1.071506358907124090e+00,2.563435915177442528e-02
2.485714285714285765e+00,1.066325918134164663e+00,2.727150641997016373e-02
2.542857142857142705e+00,1.089241758706764207e+00,2.122543072089810509e-02
2.599999999999999645e+00,1.062535534290645955e+00,3.064993957858567694e-02
2.657142857142857029e+00,1.006800580679663604e+00,2.833857990771309135e-02
2.714285714285714413e+00,1.054307771124419313e+00,2.481812233439656054e-02
2.771428571428571352e+00,1.075459060453380022e+00,2.132308411401936596e-02
2.828571428571428292e+00,1.005077565778367710e+00,2.678632122589694187e-02
2.885714285714285676e+00,1.017792252126374919e+00,2.859699037687280648e-02
2.942857142857143060e+00,1.041459904540477988e+00,3.057351384733481697e-02
3.000000000000000000e+00,1.065773029219481582e+00,2.539316206367426415e-02
3.057142857142856940e+00,1.028369784133244647e+00,2.867967524521630035e-02
3.114285714285713880e+00,9.997495307566582889e-01,3.447991889243957886e-02
3.171428571428571264e+00,1.008937210440151500e+00,1.848388658680937338e-02
3.228571428571428648e+00,1.023626568890174005e+00,1.501027698581549816e-02
3.285714285714285587e+00,1.016689692852152938e+00,1.686156728848754727e-02
3.342857142857142527e+00,1.010934277734302222e+00,3.232835589901531664e-02
3.399999999999999911e+00,9.874115049905529684e-01,2.662473648825623360e-02
3.457142857142857295e+00,1.097687695769455685e+00,3.280675779487242372e-02
3.514285714285714235e+00,1.032500758005875152e+00,2.620453110559632301e-02
3.571428571428571175e+00,1.032784608489839995e+00,1.979090300870776920e-02
3.628571428571428559e+00,1.003774396926553347e+00,1.934273781627892513e-02
3.685714285714285499e+00,1.040528397726141252e+00,2.027298494577209689e-02
3.742857142857142883e+00,9.974149905620504075e-01,1.903865289173400574e-02
3.799999999999999822e+00,1.017827008277619072e+00,2.328515458092703105e-02
3.857142857142856762e+00,9.955192926010628662e-01,1.375761439696590420e-02
3.914285714285714146e+00,1.014901626652950473e+00,1.407001016057502114e-02
3.971428571428571530e+00,1.050771731114520824e+00,1.310256792951394224e-02
4.028571428571428470e+00,1.014536021589894421e+00,1.956211947312492400e-02
4.085714285714285410e+00,9.957834488372032666e-01,2.982867302191595862e-02
4.142857142857142350e+00,1.020993959267246787e+00,1.276978952255030005e-02
4.200000000000000178e+00,1.014504495394173755e+00,1.981426934675363516e-02
4.257142857142857117e+00,1.011812330227112255e+00,1.303751107619913717e-02
4.314285714285714057e+00,1.002008647743858116e+00,1.103254574829186027e-02
4.371428571428570997e+00,1.032114709418506804e+00,1.516809792782001717e-02
4.428571428571428825e+00,1.015711949334419106e+00,1.438867538864727763e-02
4.485714285714285765e+00,1.039098777308009591e+00,1.495167866057260306e-02
4.542857142857142705e+00,1.027848446436707253e+00,1.556958590830496460e-02
4.599999999999999645e+00,1.045910050015100401e+00,1.448838423947493466e-02
4.657142857142856585e+00,1.012427264840105590e+00,1.996161728701477747e-02
4.714285714285714413e+00,1.025426025330253621e+00,1.159086421073920320e-02
4.771428571428571352e+00,1.050573689261541377e+00,1.374963113615817675e-02
4.828571428571428292e+00,1.043320651551662204e+00,1.499111308605156033e-02
4.885714285714285232e+00,1.028852354991774076e+00,1.613385377632206227e-02
4.942857142857143060e+00,1.012310631155522334e+00,1.799668166777362160e-02
5.000000000000000000e+00,1.002028047754506046e+00,7.455853703796989571e-03
5.057142857142856940e+00,1.024344788768158931e+00,1.456998108668224046e-02
5.114285714285713880e+00,1.027504339859831362e+00,1.608657753054674316e-02
5.171428571428570820e+00,9.935720812678103808e-01,1.070063186416212939e-02
5.228571428571428648e+00,9.904456381611742577e-01,1.768445721495206374e-02
5.285714285714285587e+00,9.940644542447584220e-01,1.327332189217550647e-02
5.342857142857142527e+00,1.015626946227576211e+00,1.195315905695814619e-02
5.400000000000000355e+00,1.004363374094384254e+00,1.344926245684361504e-02
5.457142857142857295e+00,9.962452268659444110e-01,1.008023734358297514e-02
5.514285714285714235e+00,9.965734996065400697e-01,1.129925943490310385e-02
5.571428571428571175e+00,1.006844108696133056e+00,1.933471957833258342e-02
5.628571428571428115e+00,1.016279780678031930e+00,8.839886961787965167e-03
5.685714285714285054e+00,1.010939627976689126e+00,7.746334420307720604e-03
5.742857142857142883e+00,1.009747001875534345e+00,1.840994181905026422e-02
