r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.834026404339105648e-04,1.091227284624326752e-05
9.499999999999999556e-01,3.926059219426925595e-01,5.372903968931993504e-04
1.050000000000000044e+00,2.114235668201674745e+00,1.228248557393429299e-03
1.150000000000000133e+00,2.056329695344523589e+00,7.431459914659499901e-04
1.250000000000000000e+00,1.360477178465919534e+00,7.492083176824958831e-04
1.350000000000000089e+00,9.470701013176562322e-01,5.663277096705212829e-04
1.450000000000000178e+00,7.544225849347825363e-01,5.146678501916705480e-04
1.550000000000000044e+00,6.881138666981190255e-01,2.527936811617858474e-04
1.650000000000000133e+00,7.093691620648728824e-01,4.033099954928058887e-04
1.750000000000000000e+00,8.059069853737312883e-01,4.743871240278505408e-04
1.850000000000000089e+00,9.498432665281176801e-01,3.710775446639732501e-04
1.950000000000000178e+00,1.094505763505654539e+00,4.806506006456811968e-04
2.049999999999999822e+00,1.188786342624682080e+00,3.099349951547190917e-04
2.150000000000000355e+00,1.179317812470397353e+00,2.836985001047553846e-04
2.250000000000000000e+00,1.089202734133399186e+00,3.961722407782920265e-04
2.350000000000000533e+00,9.886178498424090799e-01,3.320764635006041594e-04
2.450000000000000178e+00,9.220874020758611511e-01,1.809418394823915615e-04
2.549999999999999822e+00,9.008137813585828102e-01,3.468086431093588343e-04
2.650000000000000355e+00,9.186727232692559753e-01,2.119314831886481918e-04
2.750000000000000000e+00,9.627104752552499978e-01,3.332200272129086957e-04
2.850000000000000533e+00,1.012081728182625096e+00,2.374842872636339600e-04
2.950000000000000178e+00,1.045132102271573160e+00,1.482317005077925850e-04
3.049999999999999822e+00,1.055631126653367335e+00,1.673884564461082633e-04
3.150000000000000355e+00,1.042354031578156093e+00,1.389143684657485997e-04
3.250000000000000000e+00,1.016332483686588350e+00,2.743799899882126605e-04
3.350000000000000533e+00,9.890472870596825894e-01,1.922354122842350366e-04
3.450000000000000178e+00,9.720890584877596163e-01,2.179222697231580929e-04
3.549999999999999822e+00,9.686468755919557250e-01,2.079571696866288309e-04
3.650000000000000355e+00,9.783223697951856090e-01,1.020319313516326290e-04
3.750000000000000000e+00,9.938365027033067012e-01,1.878307364952748915e-04
3.850000000000000533e+00,1.009503797418638937e+00,2.399985695381794506e-04
3.950000000000000178e+00,1.017745810069711210e+00,2.292928304281171669e-04
4.050000000000000711e+00,1.017760923305546239e+00,2.501548006324092106e-04
4.150000000000000355e+00,1.011105275081232602e+00,1.256387019199630903e-04
4.250000000000000000e+00,1.001985804028239446e+00,1.411502210524244818e-04
4.349999999999999645e+00,9.939083526844234573e-01,1.606634757450024103e-04
4.450000000000000178e+00,9.895365922607111120e-01,1.845647802809815272e-04
4.550000000000000711e+00,9.902579914607347877e-01,1.437539052255816855e-04
4.650000000000000355e+00,9.943790028233425726e-01,1.285429942614604794e-04
4.750000000000000000e+00,1.000225888562236598e+00,1.813559366117207855e-04
4.850000000000000533e+00,1.004774086177253167e+00,1.299239325320536344e-04
4.950000000000000178e+00,1.006500049237200045e+00,1.558112183905601149e-04
5.050000000000000711e+00,1.005727915650347359e+00,1.494669882946478149e-04
5.150000000000000355e+00,1.002817633105245188e+00,1.209463365477153049e-04
5.250000000000000000e+00,9.994942585430427462e-01,1.604646492985437511e-04
5.350000000000000533e+00,9.973030713615249621e-01,1.092522440440352551e-04
5.450000000000000178e+00,9.964266761757555324e-01,1.019790193608456977e-04
5.550000000000000711e+00,9.970607679578187277e-01,1.580401607736681125e-04
5.650000000000000355e+00,9.986849054055145780e-01,1.345612605105432332e-04
5.750000000000000000e+00,1.001061088347618533e+00,1.001935090048559993e-04
5.850000000000000533e+00,1.001950842144733844e+00,1.078307286550578840e-04
5.950000000000000178e+00,1.002587311603021947e+00,7.869534677845475194e-05
6.050000000000000711e+00,1.001739610495812727e+00,1.281238593125026443e-04
6.150000000000000355e+00,1.001066266839761854e+00,1.019186079680658064e-04
6.250000000000000000e+00,9.994484659360454160e-01,5.457830074124652022e-05
6.350000000000000533e+00,9.986220888651329286e-01,1.061584959954944412e-04
6.450000000000000178e+00,9.987284294755360836e-01,6.759590602903415234e-05
6.550000000000000711e+00,9.994031168223370676e-01,9.053120456838717738e-05
6.650000000000000355e+00,9.999270295868424308e-01,6.461001419156104590e-05
6.750000000000000000e+00,1.000691891004864997e+00,1.078674462075048126e-04
6.850000000000000533e+00,1.001071615722471941e+00,6.644932026864207840e-05
6.950000000000000178e+00,1.000923065902487696e+00,1.333702621202505862e-04
7.050000000000000711e+00,1.000718191819939928e+00,7.440629657756572064e-05
7.150000000000000355e+00,1.000120721184075023e+00,1.275186881014100200e-04
7.250000000000000000e+00,9.997461748966778305e-01,8.281085737989184344e-05
7.350000000000000533e+00,9.996138363763152901e-01,9.473166918579654981e-05
7.450000000000000178e+00,9.999112948627816300e-01,7.353877507879869545e-05
7.550000000000000711e+00,9.998480328255585636e-01,6.848572077977048303e-05
7.650000000000000355e+00,1.000225408101635516e+00,6.513304943507119092e-05
7.750000000000000000e+00,1.000433975126640895e+00,5.453579392401225836e-05
7.850000000000000533e+00,1.000585573794955607e+00,6.974819498529581001e-05
7.950000000000000178e+00,1.000241865071341163e+00,1.013655115411287404e-04
8.050000000000000711e+00,1.000308409313381608e+00,5.299624417650540276e-05
8.150000000000000355e+00,1.000198710209100117e+00,1.067569891295516135e-04
8.250000000000000000e+00,1.000085938461572566e+00,5.895996985841098480e-05
8.350000000000001421e+00,9.999282182175571743e-01,8.920166822717273474e-05
8.449999999999999289e+00,1.000076165718730925e+00,4.765978702466852515e-05
8.550000000000000711e+00,1.000232191201965382e+00,7.678823146883904764e-05
8.650000000000000355e+00,1.000327046271111353e+00,9.308478704010946783e-05
8.750000000000000000e+00,1.000140622967134574e+00,6.727706946983471042e-05
8.850000000000001421e+00,1.000331932912726263e+00,7.675841060611963398e-05
8.949999999999999289e+00,1.000338094914936971e+00,7.508950589962325812e-05
9.050000000000000711e+00,1.000272408794820045e+00,6.722545190363024678e-05
9.150000000000000355e+00,1.000201967886432453e+00,9.195896371882101618e-05
9.250000000000000000e+00,1.000121873564098429e+00,5.380355839734251802e-05
9.350000000000001421e+00,1.000204661209051604e+00,9.249844258681277421e-05
9.449999999999999289e+00,1.000136772405569863e+00,6.314777787654414010e-05
9.550000000000000711e+00,1.000138823121959009e+00,9.226761801708472223e-05
9.650000000000002132e+00,1.000232591842303176e+00,5.376891277260140319e-05
9.750000000000000000e+00,1.000122265083994488e+00,8.756716098103251055e-05
9.850000000000001421e+00,1.000266309651396623e+00,7.824055676878116769e-05
9.949999999999999289e+00,1.000173719449375387e+00,7.328181452259783948e-05
