r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.023922046357843881e-04,4.135156559901072602e-05
9.499999999999999556e-01,4.064186318445800472e-01,2.304419181474994579e-03
1.050000000000000044e+00,2.196305402433839760e+00,3.928769737054213160e-03
1.150000000000000133e+00,2.137511167648718402e+00,5.203756344316312794e-03
1.250000000000000000e+00,1.413109869735093893e+00,2.647849913054960494e-03
1.350000000000000089e+00,9.787099376995328504e-01,1.822615115049515356e-03
1.450000000000000178e+00,7.748197908166523096e-01,1.974420759050514885e-03
1.550000000000000044e+00,6.979350169176887775e-01,1.788507863231698523e-03
1.650000000000000133e+00,7.145878151948306112e-01,1.565653686747002548e-03
1.750000000000000000e+00,8.036018853094709646e-01,1.689652893477503609e-03
1.850000000000000089e+00,9.390175592169371921e-01,1.234479897302501747e-03
1.950000000000000178e+00,1.082576104950579099e+00,1.584300409577784740e-03
2.049999999999999822e+00,1.181371846698645367e+00,1.238697858734001201e-03
2.150000000000000355e+00,1.179347296434921422e+00,1.282818915679901283e-03
2.250000000000000000e+00,1.094151271498714273e+00,1.027294627418794647e-03
2.350000000000000533e+00,9.973445161943098602e-01,9.640949650324465072e-04
2.450000000000000178e+00,9.310153622514782956e-01,7.524322563906027947e-04
2.549999999999999822e+00,9.050530185312130049e-01,1.059188653054073679e-03
2.650000000000000355e+00,9.218395692781828910e-01,1.059882139252234148e-03
2.750000000000000000e+00,9.587362079696356565e-01,8.955588235364698871e-04
2.850000000000000533e+00,1.006589616799008269e+00,7.655864942889393805e-04
2.950000000000000178e+00,1.040098048864249503e+00,1.661966065910683559e-03
3.049999999999999822e+00,1.052697085200882121e+00,7.289723085259232739e-04
3.150000000000000355e+00,1.042719838168951307e+00,1.098674877032409809e-03
3.250000000000000000e+00,1.019994652717204797e+00,5.761719091305813603e-04
3.350000000000000533e+00,9.924470156370936991e-01,8.592055288771969579e-04
3.450000000000000178e+00,9.741837213010822172e-01,5.681277171162268371e-04
3.549999999999999822e+00,9.708547349873557497e-01,6.212124495056936275e-04
3.650000000000000355e+00,9.784722156841378915e-01,6.705055313091922310e-04
3.750000000000000000e+00,9.918974209208248904e-01,5.328983118971624680e-04
3.850000000000000533e+00,1.006864884164651475e+00,5.086944750535445352e-04
3.950000000000000178e+00,1.016744999707936525e+00,4.402735638955119677e-04
4.050000000000000711e+00,1.016265940279076796e+00,6.921829479996495461e-04
4.150000000000000355e+00,1.011614336076708920e+00,9.478203724593248182e-04
4.250000000000000000e+00,1.004194073212209659e+00,3.633905458094770983e-04
4.349999999999999645e+00,9.954550497618329663e-01,5.842844687028898865e-04
4.450000000000000178e+00,9.907053725055925408e-01,7.402420308082051674e-04
4.550000000000000711e+00,9.898397385837613971e-01,5.420622192455081976e-04
4.650000000000000355e+00,9.946181749118603310e-01,5.950686937667011263e-04
4.750000000000000000e+00,9.992484715098839398e-01,4.264981095051636529e-04
4.850000000000000533e+00,1.004479296150694312e+00,6.021693116469941818e-04
4.950000000000000178e+00,1.005337947164676837e+00,6.052686457260272879e-04
5.050000000000000711e+00,1.005670859369373504e+00,5.700762537708752801e-04
5.150000000000000355e+00,1.003279845799980086e+00,4.114819319986532200e-04
5.250000000000000000e+00,1.000100245647161934e+00,5.434830485109199858e-04
5.350000000000000533e+00,9.976183457884901795e-01,4.391841880287338743e-04
5.450000000000000178e+00,9.974285346659177431e-01,2.769768850787221849e-04
5.550000000000000711e+00,9.969289390939307660e-01,4.439763768315039411e-04
5.650000000000000355e+00,9.979427445156729970e-01,3.814251137538604585e-04
5.750000000000000000e+00,1.000133150468108134e+00,3.716765739701858163e-04
5.850000000000000533e+00,1.002710767887320609e+00,6.007944815352610820e-04
5.950000000000000178e+00,1.002334871552718054e+00,6.064342345371913053e-04
6.050000000000000711e+00,1.001306616589600074e+00,5.245720886122096430e-04
6.150000000000000355e+00,1.001490422206726461e+00,4.405959000443190822e-04
6.250000000000000000e+00,9.997459414861431526e-01,4.425871044923281841e-04
6.350000000000000533e+00,9.989932144567855721e-01,5.192377789651045263e-04
6.450000000000000178e+00,9.993879126120907008e-01,3.428393957997860142e-04
6.550000000000000711e+00,9.989493490978729184e-01,3.910959787969110844e-04
6.650000000000000355e+00,9.998691093490222892e-01,3.814488255841697105e-04
6.750000000000000000e+00,1.000919953227852321e+00,3.683570411932051889e-04
6.850000000000000533e+00,1.000365621054835508e+00,4.736094083179258557e-04
6.950000000000000178e+00,1.000934476054353039e+00,4.672041423983529099e-04
7.050000000000000711e+00,1.000711519075039080e+00,3.794702502244281161e-04
7.150000000000000355e+00,1.000171887694792927e+00,4.548981286252757076e-04
7.250000000000000000e+00,9.997674290679852138e-01,2.546276165988653364e-04
7.350000000000000533e+00,9.995298871066790047e-01,2.682450184816164286e-04
7.450000000000000178e+00,9.997214292520999468e-01,4.180980075826424072e-04
7.550000000000000711e+00,1.000123735869593578e+00,3.394111180466701698e-04
7.650000000000000355e+00,1.000200559640359588e+00,4.044846753420229036e-04
7.750000000000000000e+00,1.000573452175853584e+00,3.790509068990339223e-04
7.850000000000000533e+00,1.000523768627030519e+00,2.346957349228388280e-04
7.950000000000000178e+00,1.000358106823406423e+00,3.634389951110636452e-04
8.050000000000000711e+00,1.000525598775918512e+00,3.519086050967371536e-04
8.150000000000000355e+00,9.997134158324352260e-01,3.327106312837113992e-04
8.250000000000000000e+00,9.999478172534775888e-01,4.385354464902502507e-04
8.350000000000001421e+00,9.998113203059878495e-01,1.884123118632210635e-04
8.449999999999999289e+00,1.000347462685685640e+00,3.626126821958632258e-04
8.550000000000000711e+00,1.000237874339677591e+00,2.231970468740674101e-04
8.650000000000000355e+00,1.000315413208247239e+00,3.838755435218703534e-04
8.750000000000000000e+00,1.000395879919121267e+00,4.058486574708069583e-04
8.850000000000001421e+00,9.995871150995945253e-01,1.999719274696663211e-04
8.949999999999999289e+00,1.000074809073492110e+00,3.675793593735124875e-04
9.050000000000000711e+00,1.000691879935215578e+00,2.697791788925741415e-04
9.150000000000000355e+00,1.000145985827444406e+00,3.257886941149209007e-04
9.250000000000000000e+00,9.998333950305277051e-01,2.499178584339558631e-04
9.350000000000001421e+00,9.997732763298809999e-01,2.859830366060283919e-04
9.449999999999999289e+00,9.984336719724848930e-01,2.200670872713366474e-04
9.550000000000000711e+00,9.743719861064826793e-01,2.810248376154771935e-04
9.650000000000002132e+00,9.433829325449751835e-01,2.622561703221578983e-04
9.750000000000000000e+00,9.128551919447545071e-01,2.930026128994493977e-04
9.850000000000001421e+00,8.836884835679897909e-01,2.598511754005003471e-04
9.949999999999999289e+00,8.549205238215600300e-01,2.369743272992329210e-04
