r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.085930372842415849e-04,4.697562994294069620e-05
9.499999999999999556e-01,4.102128726333520992e-01,1.372476158664791236e-03
1.050000000000000044e+00,2.208211013546297785e+00,2.934621662662837468e-03
1.150000000000000133e+00,2.142108368123461393e+00,2.062926781766303251e-03
1.250000000000000000e+00,1.413753494923789322e+00,2.954729755948270684e-03
1.350000000000000089e+00,9.807674510868850115e-01,1.255469906418288243e-03
1.450000000000000178e+00,7.754524934440244488e-01,1.227615527779027339e-03
1.550000000000000044e+00,7.017130264057016564e-01,1.310636940009105066e-03
1.650000000000000133e+00,7.147135437133551594e-01,9.872860997484531834e-04
1.750000000000000000e+00,8.038063037002007860e-01,1.013935451433909665e-03
1.850000000000000089e+00,9.414583445629964853e-01,1.630009270766979773e-03
1.950000000000000178e+00,1.082433129582494491e+00,1.420634831337919341e-03
2.049999999999999822e+00,1.181310598067545570e+00,1.136432751437206666e-03
2.150000000000000355e+00,1.178825931831001039e+00,8.805792611880159174e-04
2.250000000000000000e+00,1.095030576685940504e+00,1.005035387061607201e-03
2.350000000000000533e+00,9.980562800031730353e-01,8.727890280225925014e-04
2.450000000000000178e+00,9.301261230790865975e-01,7.999726310200303133e-04
2.549999999999999822e+00,9.055674474583879086e-01,7.545615096298146415e-04
2.650000000000000355e+00,9.193848280499473669e-01,6.097936044333038307e-04
2.750000000000000000e+00,9.599153884506492762e-01,9.529079297541787194e-04
2.850000000000000533e+00,1.005869052529931640e+00,8.058375446964381305e-04
2.950000000000000178e+00,1.040321318826398223e+00,7.029428655248832298e-04
3.049999999999999822e+00,1.051712312519122561e+00,6.427416112789427786e-04
3.150000000000000355e+00,1.042796226715166252e+00,7.003674889626837355e-04
3.250000000000000000e+00,1.019549744908217148e+00,8.700005128412909234e-04
3.350000000000000533e+00,9.932030551704509325e-01,4.916372135713828646e-04
3.450000000000000178e+00,9.759648460744368981e-01,5.933033359914067833e-04
3.549999999999999822e+00,9.705908999093599832e-01,6.573579578769430352e-04
3.650000000000000355e+00,9.773232074731377228e-01,4.808687559837069680e-04
3.750000000000000000e+00,9.919592856316773455e-01,6.316265339742072309e-04
3.850000000000000533e+00,1.006489937965267645e+00,6.336940852767755173e-04
3.950000000000000178e+00,1.015551903882734974e+00,4.364716331036455339e-04
4.050000000000000711e+00,1.017131048731735321e+00,4.671675830924094746e-04
4.150000000000000355e+00,1.011720561327216217e+00,5.043660600661714535e-04
4.250000000000000000e+00,1.003541059387168755e+00,4.335182867307011724e-04
4.349999999999999645e+00,9.943801639108601487e-01,4.566002885779853865e-04
4.450000000000000178e+00,9.908252394963279475e-01,6.994441678267004740e-04
4.550000000000000711e+00,9.915352883117225513e-01,4.886650929155463485e-04
4.650000000000000355e+00,9.941503661967985295e-01,5.902357916282559378e-04
4.750000000000000000e+00,9.989601896289868055e-01,3.941789688287295553e-04
4.850000000000000533e+00,1.004254611424679755e+00,6.259265496623789369e-04
4.950000000000000178e+00,1.005253846616980029e+00,4.278322616206475153e-04
5.050000000000000711e+00,1.005685095831918563e+00,4.997262760182062625e-04
5.150000000000000355e+00,1.003432545703513146e+00,4.754718882077730528e-04
5.250000000000000000e+00,1.000435135265636655e+00,4.778232423689205018e-04
5.350000000000000533e+00,9.972972946553981810e-01,2.961015058914885341e-04
5.450000000000000178e+00,9.967246354250146601e-01,3.043833868876801799e-04
5.550000000000000711e+00,9.973569774393095111e-01,3.139191220995657698e-04
5.650000000000000355e+00,9.982654603665208626e-01,3.342226421517645557e-04
5.750000000000000000e+00,1.000165363372926608e+00,3.158173504091448718e-04
5.850000000000000533e+00,1.001786861170730125e+00,3.458665914064489445e-04
5.950000000000000178e+00,1.002359166814428493e+00,3.777954828369514077e-04
6.050000000000000711e+00,1.001998223684651412e+00,3.134641755858641053e-04
6.150000000000000355e+00,1.000865044541139781e+00,4.523687095177232500e-04
6.250000000000000000e+00,9.998008664793861522e-01,4.059054165971191308e-04
6.350000000000000533e+00,9.988014553420500041e-01,3.389938381281945036e-04
6.450000000000000178e+00,9.993183788972050952e-01,3.953810170656359472e-04
6.550000000000000711e+00,9.998303438530807830e-01,3.409874034622633341e-04
6.650000000000000355e+00,9.995024661621385587e-01,2.010535095685554838e-04
6.750000000000000000e+00,1.000226216808779878e+00,1.900391644804129334e-04
6.850000000000000533e+00,1.000458221649324742e+00,1.494636154848844826e-04
6.950000000000000178e+00,1.001430294026567136e+00,1.970672482169841461e-04
7.050000000000000711e+00,1.000757555360871187e+00,3.164526786680789275e-04
7.150000000000000355e+00,1.000289516173561433e+00,2.498283388724197160e-04
7.250000000000000000e+00,1.000052559170639288e+00,3.598696324641712245e-04
7.350000000000000533e+00,9.996817502086274843e-01,4.112610657566840113e-04
7.450000000000000178e+00,9.995116708151938756e-01,2.730536035012578544e-04
7.550000000000000711e+00,1.000074585986063358e+00,3.378548646495632191e-04
7.650000000000000355e+00,1.000407187873309844e+00,2.958600911207149263e-04
7.750000000000000000e+00,1.000088884073992990e+00,3.425060755825495677e-04
7.850000000000000533e+00,1.000252304613292953e+00,3.106236305068001960e-04
7.950000000000000178e+00,1.000726859791909673e+00,2.050956904665089740e-04
8.050000000000000711e+00,1.000291047171235181e+00,3.433402550696394305e-04
8.150000000000000355e+00,1.000825023070030628e+00,2.462385955635761265e-04
8.250000000000000000e+00,9.997730459850299178e-01,2.204634618487194043e-04
8.350000000000001421e+00,9.999782594725949991e-01,1.883823392719539416e-04
8.449999999999999289e+00,9.996574149463655079e-01,2.289214752769532500e-04
8.550000000000000711e+00,1.000069294075103477e+00,2.694644223620638011e-04
8.650000000000000355e+00,9.999388509054181196e-01,2.762727193069231479e-04
8.750000000000000000e+00,1.000154032246188152e+00,1.776548349821366454e-04
8.850000000000001421e+00,1.000423325157033361e+00,1.907948763534393773e-04
8.949999999999999289e+00,1.000519672359723611e+00,2.932834659539145352e-04
9.050000000000000711e+00,1.000259755934565620e+00,2.562090563624256582e-04
9.150000000000000355e+00,1.000268808951127575e+00,1.871907004745101575e-04
9.250000000000000000e+00,9.999375785567050645e-01,2.059317357382997561e-04
9.350000000000001421e+00,1.000020879125961049e+00,2.307420337518299247e-04
9.449999999999999289e+00,9.999695809459815399e-01,1.805303154227601574e-04
9.550000000000000711e+00,9.841578214692454640e-01,1.710401440586680052e-04
9.650000000000002132e+00,9.531150456635572032e-01,2.140649643035598296e-04
9.750000000000000000e+00,9.229424521744087340e-01,2.223865975979034352e-04
9.850000000000001421e+00,8.932860141978240520e-01,2.113711800585205494e-04
9.949999999999999289e+00,8.636461745394253819e-01,2.574828364761275255e-04
