r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,7.210084344529607277e-05,7.405839165488139134e-06
9.499999999999999556e-01,1.977220023618455058e-01,2.743420617088764631e-04
1.050000000000000044e+00,1.250272592374185532e+00,1.058487761639214254e-03
1.150000000000000133e+00,1.447192266539301775e+00,6.100066760583853403e-04
1.250000000000000000e+00,1.278188667157656333e+00,3.060531624688010320e-04
1.350000000000000089e+00,1.148651869372406598e+00,3.494511898960395656e-04
1.450000000000000178e+00,1.053678773645222000e+00,4.329661832043897162e-04
1.550000000000000044e+00,9.879240386795737905e-01,2.499471123602095535e-04
1.650000000000000133e+00,9.474445058159328692e-01,4.496040828632812190e-04
1.750000000000000000e+00,9.287853855557048899e-01,4.462132970163897733e-04
1.850000000000000089e+00,9.322306023086914806e-01,4.449804517996771907e-04
1.950000000000000178e+00,9.560200629803257133e-01,2.619493511380847363e-04
2.049999999999999822e+00,9.897899918562812482e-01,3.186214110683636448e-04
2.150000000000000355e+00,1.013239150501688668e+00,2.966459016998490138e-04
2.250000000000000000e+00,1.021270257281295946e+00,3.545286398818806137e-04
2.350000000000000533e+00,1.018352285269189528e+00,3.264530322238593093e-04
2.450000000000000178e+00,1.012326874714248870e+00,3.586298497416740092e-04
2.549999999999999822e+00,1.004847322064038595e+00,2.428295179421234508e-04
2.650000000000000355e+00,9.996421086310247617e-01,2.564517710556698756e-04
2.750000000000000000e+00,9.956847513679487616e-01,2.238931224252923896e-04
2.850000000000000533e+00,9.948054775803122363e-01,2.275381354460958292e-04
2.950000000000000178e+00,9.952399846476807088e-01,2.181842784160784780e-04
3.049999999999999822e+00,9.973820453486041959e-01,3.207990363261095765e-04
3.150000000000000355e+00,9.993381847422142528e-01,2.010186214664471977e-04
3.250000000000000000e+00,1.001320963631258776e+00,2.009155089603215029e-04
3.350000000000000533e+00,1.001714399531984157e+00,2.054133187842495877e-04
3.450000000000000178e+00,1.002028242619233733e+00,1.652620147653472880e-04
3.549999999999999822e+00,1.000928355686625082e+00,1.484231253213196585e-04
3.650000000000000355e+00,1.000653586112578264e+00,1.995736828631689051e-04
3.750000000000000000e+00,9.997631821405867925e-01,1.956752157097209994e-04
3.850000000000000533e+00,9.995836414132188708e-01,1.576305681759979430e-04
3.950000000000000178e+00,9.995292786925910056e-01,1.897969601785862409e-04
4.050000000000000711e+00,9.998953347632181243e-01,1.254315834408333918e-04
4.150000000000000355e+00,1.000071881485025571e+00,1.226885516732323801e-04
4.250000000000000000e+00,9.997269113790825390e-01,2.023440798421141207e-04
4.349999999999999645e+00,1.000086640694751949e+00,1.115273426424359541e-04
4.450000000000000178e+00,1.000338832138290224e+00,1.008737480088842380e-04
4.550000000000000711e+00,1.000168245865029171e+00,7.949445826059903177e-05
4.650000000000000355e+00,1.000249627332891134e+00,1.389762626851282531e-04
4.750000000000000000e+00,9.999487539662826885e-01,1.216725556304297377e-04
4.850000000000000533e+00,9.999605954298175226e-01,1.001816624499328895e-04
4.950000000000000178e+00,1.000230209537936732e+00,1.365860690491595207e-04
5.050000000000000711e+00,1.000211980115908172e+00,9.823653201468860970e-05
5.150000000000000355e+00,1.000069467153442915e+00,1.199022492629320502e-04
5.250000000000000000e+00,9.999422235794815927e-01,6.816213028072272211e-05
5.350000000000000533e+00,1.000018786738159360e+00,1.051088272710458806e-04
5.450000000000000178e+00,1.000047759258679614e+00,1.093724438064744086e-04
5.550000000000000711e+00,9.999841720223683339e-01,9.994409255217258131e-05
5.650000000000000355e+00,9.999345891719256807e-01,1.458073708229599530e-04
5.750000000000000000e+00,1.000122781625401469e+00,1.544993859894733203e-04
5.850000000000000533e+00,1.000148267749776609e+00,1.243865322181454615e-04
5.950000000000000178e+00,1.000135121735754362e+00,1.175782728638251269e-04
6.050000000000000711e+00,1.000003428634789859e+00,1.099204782789259900e-04
6.150000000000000355e+00,1.000094593684119459e+00,8.379041344045562705e-05
6.250000000000000000e+00,1.000008053922951001e+00,1.242996610463679237e-04
6.350000000000000533e+00,1.000009987496122577e+00,9.056114797996780020e-05
6.450000000000000178e+00,1.000085468221648899e+00,6.797078029466192036e-05
6.550000000000000711e+00,1.000269005092225383e+00,1.098663398723466375e-04
6.650000000000000355e+00,1.000016655144723599e+00,1.107630842562640580e-04
6.750000000000000000e+00,9.997645455393193714e-01,7.488144440150950535e-05
6.850000000000000533e+00,1.000133579587477728e+00,1.486719169419324714e-04
6.950000000000000178e+00,9.999993928301049717e-01,1.104261603351291960e-04
7.050000000000000711e+00,1.000157575360087314e+00,9.735620140087435201e-05
7.150000000000000355e+00,1.000019856821093622e+00,8.300882403627598454e-05
7.250000000000000000e+00,1.000066007931319723e+00,1.147729925154409870e-04
7.350000000000000533e+00,1.000122928267964229e+00,7.794009248680356435e-05
7.450000000000000178e+00,1.000212591238629267e+00,7.701136411831820464e-05
7.550000000000000711e+00,9.999857969944994096e-01,6.076380457520858208e-05
7.650000000000000355e+00,1.000243560482334093e+00,9.974763920406105216e-05
7.750000000000000000e+00,1.000088098130024861e+00,7.842932333348336398e-05
7.850000000000000533e+00,1.000206740447830089e+00,6.488335586504725072e-05
7.950000000000000178e+00,1.000006871621279991e+00,6.938912720125965303e-05
8.050000000000000711e+00,1.000049829993854722e+00,9.685748815014100742e-05
8.150000000000000355e+00,9.999327569094479395e-01,9.060125182380742109e-05
8.250000000000000000e+00,1.000110929089386813e+00,6.607220909611306436e-05
8.350000000000001421e+00,1.000128937425228681e+00,7.276537017623556987e-05
8.449999999999999289e+00,1.000033060692793185e+00,7.785681494698608221e-05
8.550000000000000711e+00,9.999871423615139809e-01,8.476554202879763792e-05
8.650000000000000355e+00,1.000149508518784591e+00,7.921984561983462774e-05
8.750000000000000000e+00,1.000024358262467938e+00,5.330973051708819409e-05
8.850000000000001421e+00,9.999985372831330377e-01,3.979664652911974756e-05
8.949999999999999289e+00,1.000106956870887576e+00,7.673628221458310178e-05
9.050000000000000711e+00,1.000026412268621101e+00,5.247868178348814682e-05
9.150000000000000355e+00,9.999511719729590187e-01,9.164323352773748842e-05
9.250000000000000000e+00,9.999785855936348389e-01,4.816688306151894051e-05
9.350000000000001421e+00,1.000232596272540464e+00,9.071853956566616175e-05
9.449999999999999289e+00,1.000169635685763003e+00,5.699545297402884987e-05
9.550000000000000711e+00,9.999980686709186717e-01,8.524960896212513428e-05
9.650000000000002132e+00,1.000140796860706782e+00,5.196167880825908647e-05
9.750000000000000000e+00,1.000020210505366824e+00,7.799935355970918894e-05
9.850000000000001421e+00,9.999352034553716795e-01,5.225006063848774388e-05
9.949999999999999289e+00,9.999019050901951644e-01,4.594857754765972258e-05
