r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.080227214661408206e-04,2.236461465707024132e-05
9.499999999999999556e-01,2.024317385850006590e-01,1.207685209384369660e-03
1.050000000000000044e+00,1.293086139967091874e+00,3.887454942484313072e-03
1.150000000000000133e+00,1.497984376502118353e+00,2.293562379563048818e-03
1.250000000000000000e+00,1.318264241594464092e+00,2.498778960293648529e-03
1.350000000000000089e+00,1.182104681564022597e+00,2.460868060550613304e-03
1.450000000000000178e+00,1.078064540068025323e+00,1.965625181972733681e-03
1.550000000000000044e+00,1.002663601127181447e+00,1.534132564136742212e-03
1.650000000000000133e+00,9.582593495482504276e-01,1.561005280343594551e-03
1.750000000000000000e+00,9.380026405417487556e-01,1.251610902934740003e-03
1.850000000000000089e+00,9.316810096955222553e-01,1.304612035084971736e-03
1.950000000000000178e+00,9.525211389762180403e-01,1.230268955914023358e-03
2.049999999999999822e+00,9.815130939716516512e-01,1.641669098704714004e-03
2.150000000000000355e+00,1.007114703420334267e+00,1.161963956049427357e-03
2.250000000000000000e+00,1.017019321868983139e+00,1.333356081144178567e-03
2.350000000000000533e+00,1.017554062537241233e+00,1.465796780204218185e-03
2.450000000000000178e+00,1.014027168625900810e+00,8.108816889262623418e-04
2.549999999999999822e+00,1.007262785269027017e+00,1.118738365118638646e-03
2.650000000000000355e+00,1.000081442234190154e+00,1.275957253028337521e-03
2.750000000000000000e+00,9.971137221320021116e-01,9.110599888274747418e-04
2.850000000000000533e+00,9.971269808710798710e-01,7.993924700390586799e-04
2.950000000000000178e+00,9.958584015705553849e-01,8.228872777791867077e-04
3.049999999999999822e+00,9.962315197613978990e-01,9.777943867733233669e-04
3.150000000000000355e+00,9.981005516077885442e-01,7.651772127531180972e-04
3.250000000000000000e+00,9.991632725251307079e-01,8.580315297749682366e-04
3.350000000000000533e+00,9.992754161023539305e-01,8.735882072344969360e-04
3.450000000000000178e+00,1.001137121395542895e+00,7.083640800082217914e-04
3.549999999999999822e+00,1.000602710395811723e+00,6.059733605748065513e-04
3.650000000000000355e+00,1.002975162653883645e+00,9.586180070909773848e-04
3.750000000000000000e+00,9.991310411756357812e-01,6.655509654295892414e-04
3.850000000000000533e+00,1.001395455346358876e+00,6.934170199678065883e-04
3.950000000000000178e+00,1.000251059400299125e+00,1.072607380805678384e-03
4.050000000000000711e+00,9.990550659756131102e-01,4.947305531160476211e-04
4.150000000000000355e+00,1.000022325364193110e+00,7.936451842116738504e-04
4.250000000000000000e+00,9.992568669074948229e-01,7.575785193738380618e-04
4.349999999999999645e+00,1.000304432786543574e+00,6.915164165491639609e-04
4.450000000000000178e+00,9.993229205870675091e-01,5.306488524304685435e-04
4.550000000000000711e+00,1.001104160890503358e+00,5.462552909478480016e-04
4.650000000000000355e+00,1.001102762886731501e+00,6.976755149705039880e-04
4.750000000000000000e+00,9.993694339556891126e-01,7.644577844801508319e-04
4.850000000000000533e+00,1.000733182230198137e+00,5.508937042691521100e-04
4.950000000000000178e+00,9.997076293486720777e-01,5.435713261426838947e-04
5.050000000000000711e+00,1.000016189050745741e+00,8.007724157720331722e-04
5.150000000000000355e+00,1.000098791083478655e+00,6.790765813971399870e-04
5.250000000000000000e+00,9.997941393620444206e-01,4.308323554076297834e-04
5.350000000000000533e+00,1.000085784883996576e+00,5.217093990372426767e-04
5.450000000000000178e+00,1.000369550223930482e+00,4.972148627216196751e-04
5.550000000000000711e+00,9.994624375206362377e-01,6.801641398608668405e-04
5.650000000000000355e+00,1.000044234984670322e+00,6.204460330929719141e-04
5.750000000000000000e+00,1.001420485137473282e+00,4.606623598175796233e-04
5.850000000000000533e+00,1.000848220746211492e+00,4.879566598600006805e-04
5.950000000000000178e+00,9.995124514635795876e-01,6.137431563248889419e-04
6.050000000000000711e+00,1.000630287180695133e+00,2.959021252277347172e-04
6.150000000000000355e+00,1.000523991405847690e+00,3.939446512124806631e-04
6.250000000000000000e+00,9.999152688846887349e-01,4.984498249616535525e-04
6.350000000000000533e+00,9.998828190338311384e-01,2.837552989241986633e-04
6.450000000000000178e+00,1.000563748852323354e+00,4.535216511389795102e-04
6.550000000000000711e+00,9.995459765210419345e-01,5.636487085390575391e-04
6.650000000000000355e+00,1.000004765399100215e+00,4.764136696239400313e-04
6.750000000000000000e+00,1.000844277311557562e+00,4.993234695250870804e-04
6.850000000000000533e+00,1.001405816309746344e+00,3.343928291183406948e-04
6.950000000000000178e+00,9.993989218614200976e-01,3.657009264032404683e-04
7.050000000000000711e+00,1.000799922670690290e+00,4.347712578455905567e-04
7.150000000000000355e+00,1.000102594504428399e+00,2.798351968478289238e-04
7.250000000000000000e+00,9.999442428064646560e-01,1.998137958880061814e-04
7.350000000000000533e+00,1.000193526364856034e+00,5.186234645220494724e-04
7.450000000000000178e+00,9.998894132032702942e-01,4.292954985827027951e-04
7.550000000000000711e+00,9.999531956880624017e-01,3.235840683559774783e-04
7.650000000000000355e+00,9.997626904563432504e-01,2.998467236821967304e-04
7.750000000000000000e+00,9.998788414588080098e-01,1.930111236990018193e-04
7.850000000000000533e+00,1.000527844312942394e+00,3.825007454040234723e-04
7.950000000000000178e+00,1.000427615943347393e+00,3.809152747994120204e-04
8.050000000000000711e+00,1.000646588793124625e+00,3.164580330208925370e-04
8.150000000000000355e+00,9.997172085852543688e-01,4.200113084595681373e-04
8.250000000000000000e+00,9.997597822825436964e-01,4.371600383350262025e-04
8.350000000000001421e+00,9.997868999375059129e-01,3.184309916128955000e-04
8.449999999999999289e+00,9.999244839667487117e-01,3.475030574809842565e-04
8.550000000000000711e+00,1.000712996367934426e+00,2.692793434851187468e-04
8.650000000000000355e+00,1.000540020241802663e+00,3.356166486698745487e-04
8.750000000000000000e+00,1.000337408609486278e+00,4.532193773698765978e-04
8.850000000000001421e+00,9.998656107226249201e-01,2.109591097289444746e-04
8.949999999999999289e+00,1.000445697625318431e+00,4.130348378996052255e-04
9.050000000000000711e+00,1.000303431129606180e+00,2.482062685702021579e-04
9.150000000000000355e+00,1.000288590640540765e+00,1.915833935232368903e-04
9.250000000000000000e+00,1.000075418271712202e+00,3.127160377121592340e-04
9.350000000000001421e+00,1.000112166571417882e+00,4.139779162123268159e-04
9.449999999999999289e+00,1.000252790962010918e+00,3.741568110904733768e-04
9.550000000000000711e+00,9.999791504771927686e-01,3.371594609876995261e-04
9.650000000000002132e+00,1.000666077405092391e+00,2.125829084330042818e-04
9.750000000000000000e+00,9.998908782726791955e-01,2.559084815761974345e-04
9.850000000000001421e+00,1.000247840927742216e+00,2.896010923180801088e-04
9.949999999999999289e+00,1.000010693201469181e+00,2.454069126374375611e-04
