r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,4.621650009122726488e-05,2.232706860332222976e-05
9.499999999999999556e-01,2.048144428058079058e-01,1.788314328292261697e-03
1.050000000000000044e+00,1.302547522648504597e+00,3.119901400888015069e-03
1.150000000000000133e+00,1.501351379135872133e+00,3.993448577678871021e-03
1.250000000000000000e+00,1.319574944564953611e+00,1.721460375536050351e-03
1.350000000000000089e+00,1.184011185203435401e+00,1.884422542499269645e-03
1.450000000000000178e+00,1.083703115486076118e+00,1.635646207737127562e-03
1.550000000000000044e+00,1.006531033735704517e+00,1.971673674625054346e-03
1.650000000000000133e+00,9.605140232216387020e-01,2.020103079863318739e-03
1.750000000000000000e+00,9.388834249353157357e-01,1.867135518964148149e-03
1.850000000000000089e+00,9.329905084960895545e-01,1.887943237707482820e-03
1.950000000000000178e+00,9.550103464465721226e-01,1.576925208080675374e-03
2.049999999999999822e+00,9.816374554369013961e-01,1.041572284133043640e-03
2.150000000000000355e+00,1.007283922185370439e+00,7.812666621390049453e-04
2.250000000000000000e+00,1.015274808335189238e+00,1.796303557837463033e-03
2.350000000000000533e+00,1.018070601262728969e+00,1.166675808996850460e-03
2.450000000000000178e+00,1.014178645679714386e+00,1.232136557058116427e-03
2.549999999999999822e+00,1.008870215871439990e+00,1.710049355567567087e-03
2.650000000000000355e+00,1.001617603998873340e+00,1.395802777270931669e-03
2.750000000000000000e+00,9.978110652023104432e-01,1.197883918596306290e-03
2.850000000000000533e+00,9.964734504666369341e-01,1.605916037263909173e-03
2.950000000000000178e+00,9.940380341029569911e-01,1.260505049668342011e-03
3.049999999999999822e+00,9.969324523868395849e-01,1.077524779946624055e-03
3.150000000000000355e+00,9.989436555696313835e-01,8.893997161990720808e-04
3.250000000000000000e+00,9.985032398352438054e-01,1.305709626892710001e-03
3.350000000000000533e+00,1.002217190318055895e+00,1.163845264760459373e-03
3.450000000000000178e+00,1.000984139048012311e+00,7.545500700006540270e-04
3.549999999999999822e+00,1.002333401943380498e+00,9.109491079126161078e-04
3.650000000000000355e+00,1.000290467831236096e+00,5.492684375064842747e-04
3.750000000000000000e+00,9.997548017438880885e-01,4.134297871519279914e-04
3.850000000000000533e+00,1.002054196031379574e+00,5.905660329025959549e-04
3.950000000000000178e+00,9.999894925214649621e-01,9.175742603906298419e-04
4.050000000000000711e+00,1.000093902156766745e+00,3.952678212668664522e-04
4.150000000000000355e+00,1.000093605899598170e+00,3.778063505967895635e-04
4.250000000000000000e+00,1.000038771017857320e+00,7.177861151660706786e-04
4.349999999999999645e+00,9.995212443212032616e-01,4.161130392633285015e-04
4.450000000000000178e+00,9.996352022166157258e-01,6.827329143608872660e-04
4.550000000000000711e+00,1.000726969793028331e+00,3.894550111579030832e-04
4.650000000000000355e+00,9.997119182515040725e-01,5.141982042343510011e-04
4.750000000000000000e+00,1.001594606959113287e+00,4.636120480424617924e-04
4.850000000000000533e+00,9.998181554188072528e-01,6.730134068825983354e-04
4.950000000000000178e+00,9.997234658442131217e-01,6.934519376531876091e-04
5.050000000000000711e+00,1.000633003293770917e+00,6.676927121396601791e-04
5.150000000000000355e+00,9.994699351886442429e-01,6.746322915126474508e-04
5.250000000000000000e+00,9.999165263564341322e-01,5.227736746841526528e-04
5.350000000000000533e+00,1.000510563574976919e+00,3.858786034768088699e-04
5.450000000000000178e+00,9.996361140670468881e-01,6.076395257919625821e-04
5.550000000000000711e+00,1.000897380102588663e+00,6.592634392166976188e-04
5.650000000000000355e+00,9.999462916438108806e-01,7.099538431661211622e-04
5.750000000000000000e+00,1.000218560275262236e+00,4.578382165697479915e-04
5.850000000000000533e+00,1.000324394487568824e+00,4.214477103899067628e-04
5.950000000000000178e+00,1.000941785944209572e+00,6.684394432843280285e-04
6.050000000000000711e+00,9.997640893262893513e-01,4.233120576248205666e-04
6.150000000000000355e+00,1.000990897258855705e+00,4.179076127758675594e-04
6.250000000000000000e+00,9.990534755814499679e-01,2.906918416898331592e-04
6.350000000000000533e+00,9.995703356717958732e-01,4.307360164577325604e-04
6.450000000000000178e+00,1.000642177467392591e+00,5.096811279402270987e-04
6.550000000000000711e+00,1.000397636792859313e+00,4.420385138988865105e-04
6.650000000000000355e+00,1.000266481880312641e+00,4.819544180830160566e-04
6.750000000000000000e+00,9.996531211849599696e-01,6.019555577609439229e-04
6.850000000000000533e+00,1.001022130968267643e+00,6.791664325854441728e-04
6.950000000000000178e+00,1.000719985547561253e+00,2.870281180520959209e-04
7.050000000000000711e+00,9.997554301137849819e-01,3.662506451025820692e-04
7.150000000000000355e+00,9.998063845830668095e-01,4.401239629188454091e-04
7.250000000000000000e+00,1.001048002624575162e+00,4.249179015607915414e-04
7.350000000000000533e+00,1.000202542861360122e+00,2.227480015714383894e-04
7.450000000000000178e+00,1.000112824188125860e+00,3.475058251692502722e-04
7.550000000000000711e+00,9.992233646019015314e-01,4.693955589067614763e-04
7.650000000000000355e+00,1.000011673583862670e+00,2.997420733815624140e-04
7.750000000000000000e+00,9.998151932798251540e-01,4.198915321243416963e-04
7.850000000000000533e+00,1.000391737456356678e+00,4.611613435566215991e-04
7.950000000000000178e+00,1.000555562541626919e+00,4.962270764591938119e-04
8.050000000000000711e+00,1.000346731651017507e+00,3.389305566517667638e-04
8.150000000000000355e+00,1.000115882749409213e+00,3.209957456895911015e-04
8.250000000000000000e+00,9.998580106825109004e-01,3.366919157944688154e-04
8.350000000000001421e+00,1.000064452892127864e+00,4.571821904998381683e-04
8.449999999999999289e+00,9.998404210239403289e-01,4.354661261970979862e-04
8.550000000000000711e+00,1.000013094400309388e+00,2.426564988471544503e-04
8.650000000000000355e+00,1.000429158559545950e+00,4.077624941705317962e-04
8.750000000000000000e+00,1.000589406146708438e+00,4.209208340576237766e-04
8.850000000000001421e+00,1.000530611083712662e+00,3.467583626085688387e-04
8.949999999999999289e+00,1.000507902480282763e+00,3.167762532336052591e-04
9.050000000000000711e+00,1.000394238367974697e+00,3.022818744807210189e-04
9.150000000000000355e+00,1.000344297254976977e+00,3.851898138199139933e-04
9.250000000000000000e+00,9.999047628213624250e-01,5.156900034975480263e-04
9.350000000000001421e+00,9.993789589494843639e-01,4.703684645967675044e-04
9.449999999999999289e+00,1.000264517069886505e+00,2.430111596036077092e-04
9.550000000000000711e+00,9.999739794045501284e-01,2.278493078962521884e-04
9.650000000000002132e+00,1.000013296168074550e+00,2.836573260865677803e-04
9.750000000000000000e+00,1.000259415644811245e+00,3.611746767905290234e-04
9.850000000000001421e+00,1.000078446229204054e+00,4.174770092170073939e-04
9.949999999999999289e+00,1.000432178414187190e+00,2.554497563112631694e-04
