r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-2.440569841432219111e-03,9.489640601173294934e-05
9.499999999999999556e-01,-4.031750440408362834e+00,4.568358208212986576e-02
1.050000000000000044e+00,-1.724110734372718667e+01,1.581864476221201687e-01
1.150000000000000133e+00,-1.216510352561981456e+01,7.787786407427589597e-02
1.250000000000000000e+00,-5.075087687303084572e+00,1.566043453358102050e-02
1.350000000000000089e+00,-1.672186722818757687e+00,1.871595293405647203e-02
1.450000000000000178e+00,-1.106853929506892847e-01,2.371422774507189746e-02
1.550000000000000044e+00,6.908440073110602153e-01,2.362566389910180503e-02
1.650000000000000133e+00,1.166333217496166696e+00,2.626119311922469474e-02
1.750000000000000000e+00,1.467308700830528334e+00,2.684028399370753937e-02
1.850000000000000089e+00,1.607276330685455834e+00,2.675576823156710846e-02
1.950000000000000178e+00,1.566994563910712568e+00,2.603596654228161958e-02
2.049999999999999822e+00,1.308420181631960277e+00,1.710168293735410405e-02
2.150000000000000355e+00,8.201231941215775256e-01,8.139278343417976139e-03
2.250000000000000000e+00,3.121805852771637468e-01,3.092755818569213697e-03
2.350000000000000533e+00,-6.702201839915256087e-02,7.093716199225310638e-03
2.450000000000000178e+00,-2.982469665071206810e-01,9.397317168120282102e-03
2.549999999999999822e+00,-4.027415727907207033e-01,1.002844929234304044e-02
2.650000000000000355e+00,-4.303317089837508935e-01,1.044585427954024086e-02
2.750000000000000000e+00,-4.000357802372981331e-01,8.733509052388442953e-03
2.850000000000000533e+00,-3.278129806842735583e-01,6.364816344816036538e-03
2.950000000000000178e+00,-2.302297545988739869e-01,5.079588985872390133e-03
3.049999999999999822e+00,-1.257463036557796288e-01,2.065887374538792967e-03
3.150000000000000355e+00,-2.534341943315778639e-02,3.171818685374155292e-03
3.250000000000000000e+00,4.895753191252358999e-02,3.577356569397678598e-03
3.350000000000000533e+00,9.705894961876122828e-02,4.044236751414505802e-03
3.450000000000000178e+00,1.120562131059789357e-01,3.813757577561794048e-03
3.549999999999999822e+00,1.094183600515895860e-01,4.119694305630306787e-03
3.650000000000000355e+00,9.014684356791562159e-02,3.034563666008296360e-03
3.750000000000000000e+00,6.901830165421998786e-02,2.480594098097021853e-03
3.850000000000000533e+00,3.760565841268341536e-02,1.832710989563978484e-03
3.950000000000000178e+00,9.057228958976626040e-03,1.301550471218190178e-03
4.050000000000000711e+00,-9.307253294716311826e-03,2.165249094186075338e-03
4.150000000000000355e+00,-2.507775156802862643e-02,2.093380276654140722e-03
4.250000000000000000e+00,-3.376084861102253420e-02,1.929242989493976622e-03
4.349999999999999645e+00,-3.012742371783527773e-02,1.804168365449670399e-03
4.450000000000000178e+00,-2.923013599924453171e-02,1.234102738044817260e-03
4.550000000000000711e+00,-2.354096465648352135e-02,1.407772095399192512e-03
4.650000000000000355e+00,-1.331608519011608961e-02,1.203000507028480258e-03
4.750000000000000000e+00,-7.190605231093672063e-03,1.320770714104163145e-03
4.850000000000000533e+00,4.890183724238550194e-04,1.163032843616898819e-03
4.950000000000000178e+00,7.003314436341901046e-03,1.707244614415793105e-03
5.050000000000000711e+00,8.982777006102126566e-03,1.439481329029185241e-03
5.150000000000000355e+00,6.910840730826528326e-03,9.557649668432475045e-04
5.250000000000000000e+00,9.671078968943503176e-03,1.170059122749374670e-03
5.350000000000000533e+00,6.311235854849783951e-03,1.012335643753615793e-03
5.450000000000000178e+00,5.180902954487675779e-03,1.174045603492455308e-03
5.550000000000000711e+00,1.761020227511522719e-03,1.025379003878297730e-03
5.650000000000000355e+00,-4.847965795602426908e-04,1.013358497860905290e-03
5.750000000000000000e+00,-4.297951254792042983e-04,7.244832522448166638e-04
5.850000000000000533e+00,-2.520664291021734640e-03,7.243625279311319580e-04
5.950000000000000178e+00,-3.294889365875608520e-03,9.116897799916930112e-04
6.050000000000000711e+00,-1.705414014609285501e-03,1.188369248793872323e-03
6.150000000000000355e+00,-1.756554847879954195e-03,8.489458196933110951e-04
6.250000000000000000e+00,-1.966481274747522434e-03,7.735118698502866904e-04
6.350000000000000533e+00,-1.667129160189251237e-03,8.193536350085841137e-04
6.450000000000000178e+00,-9.582662100556138974e-04,9.461447206434254673e-04
6.550000000000000711e+00,-3.079363316025318653e-04,6.297281387991260273e-04
6.650000000000000355e+00,-4.885104115306404537e-04,4.514946257600204989e-04
6.750000000000000000e+00,9.973248049433892405e-04,8.611411800064986940e-04
6.850000000000000533e+00,6.833699355137667366e-05,8.579387229406037953e-04
6.950000000000000178e+00,1.216236118455959981e-03,7.295558125426489455e-04
7.050000000000000711e+00,1.438119557084149933e-03,4.102088531633167005e-04
7.150000000000000355e+00,-2.060679499066076002e-04,4.842953792778366059e-04
7.250000000000000000e+00,7.745612149049563517e-04,6.184923134217734523e-04
7.350000000000000533e+00,2.060868126909643074e-05,6.392685067476509136e-04
7.450000000000000178e+00,4.024195116350437365e-04,8.122162287692024111e-04
7.550000000000000711e+00,-5.716251977582853094e-04,3.088130258927294339e-04
7.650000000000000355e+00,-2.836665316875653037e-04,5.704747002738982898e-04
7.750000000000000000e+00,-9.913091120019811540e-04,4.672706537971380004e-04
7.850000000000000533e+00,-1.965715928049727114e-04,4.513372302156716726e-04
7.950000000000000178e+00,1.478001345893709061e-05,3.723703655970042365e-04
8.050000000000000711e+00,-1.963982959070298352e-04,3.372684548653592969e-04
8.150000000000000355e+00,3.432647804095801107e-05,3.749587025188577541e-04
8.250000000000000000e+00,-2.547184880584696387e-04,2.598823879880976669e-04
8.350000000000001421e+00,-4.832539824898063113e-04,3.118696391137389741e-04
8.449999999999999289e+00,8.008728870515958043e-04,3.350349481780042155e-04
8.550000000000000711e+00,3.412102649938075988e-04,4.033653340676712426e-04
8.650000000000000355e+00,-2.960655042238968804e-05,4.154282788249178738e-04
8.750000000000000000e+00,-2.091593029258653825e-05,4.616040342764519099e-04
8.850000000000001421e+00,-2.813262522697090656e-04,3.203322146311672722e-04
8.949999999999999289e+00,-2.148144407859264968e-04,4.134643020403392429e-04
9.050000000000000711e+00,2.617672043100149675e-04,4.202481621543391831e-04
9.150000000000000355e+00,-8.652783270779451853e-07,2.709371943460726667e-04
9.250000000000000000e+00,-1.614467724205592757e-04,2.074441210596677848e-04
9.350000000000001421e+00,-9.769433594684074338e-05,3.925231357514068426e-04
9.449999999999999289e+00,3.906628848924231654e-05,3.802483060742661608e-04
9.550000000000000711e+00,2.168892287688350962e-04,3.228123891021024384e-04
9.650000000000002132e+00,4.282332435424640593e-04,3.640777535901309212e-04
9.750000000000000000e+00,-1.788836091715984066e-04,4.876496084599491929e-04
9.850000000000001421e+00,-1.476039979706245174e-04,3.124656821628585875e-04
9.949999999999999289e+00,3.999882462063064745e-04,3.950298667098811395e-04
