r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,-8.601687383891782890e-01,1.250404172774041874e-02
1.050000000000000044e+00,-5.269027777192980544e+00,8.717254398604790122e-02
1.150000000000000133e+00,-5.808344357337809072e+00,6.150111201680184825e-02
1.250000000000000000e+00,-4.247184644344339510e+00,4.455645227681803017e-02
1.350000000000000089e+00,-2.964470965600081609e+00,4.332827781798177791e-02
1.450000000000000178e+00,-2.197125374031815515e+00,3.692313705846734379e-02
1.550000000000000044e+00,-1.743998578870981975e+00,2.681105638158309129e-02
1.650000000000000133e+00,-1.460862494374890463e+00,2.884749841706868087e-02
1.750000000000000000e+00,-1.214734704355662220e+00,1.960848509498983386e-02
1.850000000000000089e+00,-1.072983788738597344e+00,2.435194992887780574e-02
1.950000000000000178e+00,-9.171042554175811157e-01,2.186921272536970773e-02
2.049999999999999822e+00,-8.057273045200569195e-01,2.210914786160138312e-02
2.150000000000000355e+00,-7.232809106205653205e-01,1.426623029523279955e-02
2.250000000000000000e+00,-6.785602378190475070e-01,1.622892487133776457e-02
2.350000000000000533e+00,-5.901728670293765466e-01,2.065647900606935525e-02
2.450000000000000178e+00,-5.229426561939394258e-01,1.443053594426528877e-02
2.549999999999999822e+00,-4.850952952882118252e-01,1.387326797895133482e-02
2.650000000000000355e+00,-4.337084510765988332e-01,9.990905886586283133e-03
2.750000000000000000e+00,-4.199368334472650122e-01,1.201891721071462159e-02
2.850000000000000533e+00,-3.822120756983112821e-01,1.233180938051557825e-02
2.950000000000000178e+00,-3.688036568506612989e-01,1.369655468858691459e-02
3.049999999999999822e+00,-3.175497413837791161e-01,1.345721979972304763e-02
3.150000000000000355e+00,-3.122510803488497411e-01,9.934819012528265866e-03
3.250000000000000000e+00,-3.064411022746332813e-01,1.178271159781869512e-02
3.350000000000000533e+00,-2.470581014931648167e-01,1.243544778734894524e-02
3.450000000000000178e+00,-2.400220694737661975e-01,7.025647989844289315e-03
3.549999999999999822e+00,-2.319872359677166429e-01,9.984939411627254818e-03
3.650000000000000355e+00,-2.286598242707156281e-01,9.311667349757041939e-03
3.750000000000000000e+00,-2.046775454077727208e-01,8.838988621125993400e-03
3.850000000000000533e+00,-1.818258193915148757e-01,7.964716683247174273e-03
3.950000000000000178e+00,-1.730548915910501140e-01,7.602550152394540149e-03
4.050000000000000711e+00,-1.654313949355009083e-01,6.576711034223735666e-03
4.150000000000000355e+00,-1.604524844412894280e-01,7.528273507632947219e-03
4.250000000000000000e+00,-1.477050957304250622e-01,5.709534157258059489e-03
4.349999999999999645e+00,-1.429330394662245984e-01,5.318515331686597680e-03
4.450000000000000178e+00,-1.302656834000463226e-01,6.427396000828379183e-03
4.550000000000000711e+00,-1.150974927230914713e-01,5.536267907481614257e-03
4.650000000000000355e+00,-1.252455302270118198e-01,7.401410187502538429e-03
4.750000000000000000e+00,-1.113059324576690379e-01,7.423903114559540599e-03
4.850000000000000533e+00,-9.998630113409001652e-02,6.817160170063177142e-03
4.950000000000000178e+00,-7.694507416254137144e-02,3.599966715510283417e-03
5.050000000000000711e+00,-8.557455684195584833e-02,5.698496218142258540e-03
5.150000000000000355e+00,-8.627443462881775882e-02,8.373432813372208225e-03
5.250000000000000000e+00,-7.989215668351870581e-02,7.342484775691823090e-03
5.350000000000000533e+00,-8.006551366883143950e-02,7.390791791287033147e-03
5.450000000000000178e+00,-7.099452656595746369e-02,8.616229805446897969e-03
5.550000000000000711e+00,-5.600448956638557491e-02,7.012175820042518964e-03
5.650000000000000355e+00,-6.109739213796709645e-02,7.633907238285670381e-03
5.750000000000000000e+00,-5.599846371890863928e-02,5.992490971891806240e-03
5.850000000000000533e+00,-6.175688607545928160e-02,5.861317100687476155e-03
5.950000000000000178e+00,-5.733717952742854035e-02,6.135727738127989828e-03
6.050000000000000711e+00,-5.496170783296951828e-02,6.847502509633187316e-03
6.150000000000000355e+00,-5.398277002999438828e-02,5.486281560099966377e-03
6.250000000000000000e+00,-5.223046781805129601e-02,4.522081934030896741e-03
6.350000000000000533e+00,-5.096804484329120477e-02,5.061547458617109141e-03
6.450000000000000178e+00,-4.470085524140136879e-02,5.296362187331024596e-03
6.550000000000000711e+00,-4.792321193794839285e-02,3.188085388578076624e-03
6.650000000000000355e+00,-4.036733577419109043e-02,4.943406367218195971e-03
6.750000000000000000e+00,-4.008569116354885470e-02,4.365771631640581046e-03
6.850000000000000533e+00,-3.193552732014472845e-02,3.448592818393912858e-03
6.950000000000000178e+00,-2.648393750228186100e-02,4.107174970381230125e-03
7.050000000000000711e+00,-2.881069643741973607e-02,5.854764912405767407e-03
7.150000000000000355e+00,-3.153024423826498307e-02,7.364031213749589258e-03
7.250000000000000000e+00,-3.824060301524687816e-02,3.543735124698328600e-03
7.350000000000000533e+00,-2.461948869989476554e-02,4.467843013507046164e-03
7.450000000000000178e+00,-2.828312201671288190e-02,4.188382742662841857e-03
7.550000000000000711e+00,-2.251389068860227757e-02,4.948919122043696738e-03
7.650000000000000355e+00,-1.847791835678442782e-02,4.950131584967660224e-03
7.750000000000000000e+00,-1.438965474265618827e-02,5.156123749876056518e-03
7.850000000000000533e+00,-1.407445595008110020e-02,4.454691223874244002e-03
7.950000000000000178e+00,-1.219484024182053775e-02,2.765014008350313163e-03
8.050000000000000711e+00,-1.539053730892130448e-02,5.861099603454231720e-03
8.150000000000000355e+00,-8.666980118185429668e-03,4.895602474152765428e-03
8.250000000000000000e+00,-1.741140597362298564e-02,3.628903081044928744e-03
8.350000000000001421e+00,-1.802238135421836349e-02,3.833789246137115671e-03
8.449999999999999289e+00,-1.538077816453697899e-02,4.964944041880104200e-03
8.550000000000000711e+00,-1.256751625324632402e-02,4.932829135288327969e-03
8.650000000000000355e+00,-8.461941519973991549e-03,4.159737045601250363e-03
8.750000000000000000e+00,-7.070522142112211847e-03,3.006768660392720484e-03
8.850000000000001421e+00,-1.394463516108921351e-02,3.447008302511695051e-03
8.949999999999999289e+00,-9.775718230030917139e-03,1.961348413950307970e-03
9.050000000000000711e+00,-1.030200875856319628e-02,1.819428252783369645e-03
9.150000000000000355e+00,-1.454429842503366342e-02,3.161138275849018509e-03
9.250000000000000000e+00,-1.111104550737602656e-02,2.226517190179811041e-03
9.350000000000001421e+00,-9.384666674038056114e-03,3.533167312179963555e-03
9.449999999999999289e+00,-1.675110115097884142e-02,3.498344194886299392e-03
9.550000000000000711e+00,-6.785864258466167698e-03,3.858563410506415936e-03
9.650000000000002132e+00,-1.048970555968855613e-02,3.522900632513234747e-03
9.750000000000000000e+00,-7.178403069597427515e-03,2.911545929297145070e-03
9.850000000000001421e+00,-8.460551209382249568e-03,3.614318887601532682e-03
9.949999999999999289e+00,-1.097948749472326194e-02,3.137994293388731131e-03
