r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-1.124184973552501984e-04,3.575754347769463426e-05
9.499999999999999556e-01,-1.684147964646046103e-01,2.183523203914720760e-03
1.050000000000000044e+00,-1.010270499308822512e+00,1.035021777534473643e-02
1.150000000000000133e+00,-1.054916321828268888e+00,7.514238250511196329e-03
1.250000000000000000e+00,-7.239885985059684170e-01,5.339464817399914610e-03
1.350000000000000089e+00,-4.895868012190104368e-01,4.231299833450543821e-03
1.450000000000000178e+00,-3.592484295664796212e-01,3.905988207961271028e-03
1.550000000000000044e+00,-2.805858255192487105e-01,2.393313410869096769e-03
1.650000000000000133e+00,-2.274799602912599694e-01,2.121741426536656160e-03
1.750000000000000000e+00,-1.935226785380074477e-01,1.940475411011133213e-03
1.850000000000000089e+00,-1.692939515121564820e-01,1.651945161389503256e-03
1.950000000000000178e+00,-1.506556146627434922e-01,2.106409230269154498e-03
2.049999999999999822e+00,-1.350251016248043001e-01,1.762281416171855531e-03
2.150000000000000355e+00,-1.197601567227684488e-01,1.856531951144291606e-03
2.250000000000000000e+00,-1.070219076139002495e-01,1.765647265737887170e-03
2.350000000000000533e+00,-9.528074011944069610e-02,1.133144187133589432e-03
2.450000000000000178e+00,-8.406161996848574014e-02,1.572974210985425515e-03
2.549999999999999822e+00,-7.558086338591492315e-02,1.616436610011738346e-03
2.650000000000000355e+00,-6.690483228459828680e-02,1.593646411112499724e-03
2.750000000000000000e+00,-6.056000461882526942e-02,8.233485949683741608e-04
2.850000000000000533e+00,-5.490334660694329294e-02,1.189052260104485597e-03
2.950000000000000178e+00,-4.986466740689521338e-02,9.693022201244033079e-04
3.049999999999999822e+00,-4.661815290242064119e-02,1.534303934224633950e-03
3.150000000000000355e+00,-4.161591776940616605e-02,9.029883218820846475e-04
3.250000000000000000e+00,-3.584383549425371879e-02,8.735243024307489355e-04
3.350000000000000533e+00,-3.294875725590466764e-02,1.216197708300754011e-03
3.450000000000000178e+00,-3.182627454270048339e-02,7.577610363260563371e-04
3.549999999999999822e+00,-2.954125026456901754e-02,9.945195791519296710e-04
3.650000000000000355e+00,-2.728872273035212043e-02,9.620004307069764506e-04
3.750000000000000000e+00,-2.494230952780918109e-02,7.040824484743118039e-04
3.850000000000000533e+00,-2.202825777693297876e-02,6.707183820770732654e-04
3.950000000000000178e+00,-2.065396744641887633e-02,9.952028924907845540e-04
4.050000000000000711e+00,-1.867394873432846186e-02,7.073865860728880892e-04
4.150000000000000355e+00,-1.700794080799940960e-02,1.040749247373870838e-03
4.250000000000000000e+00,-1.615920082368726973e-02,7.937229565610337935e-04
4.349999999999999645e+00,-1.457251195859101713e-02,8.527068256838940367e-04
4.450000000000000178e+00,-1.441371748595381488e-02,7.821592882390317539e-04
4.550000000000000711e+00,-1.340124055962466088e-02,8.403699484398063912e-04
4.650000000000000355e+00,-1.137125686525202253e-02,7.557271758110479945e-04
4.750000000000000000e+00,-1.132041988942598075e-02,8.899256851195337659e-04
4.850000000000000533e+00,-1.028189381768784827e-02,6.842877033853891075e-04
4.950000000000000178e+00,-8.833931755314106127e-03,8.650257210906492746e-04
5.050000000000000711e+00,-7.617301373331342336e-03,7.580666918444790067e-04
5.150000000000000355e+00,-6.751246359061946652e-03,4.684370053640420973e-04
5.250000000000000000e+00,-6.888975676521846662e-03,6.889360024828392569e-04
5.350000000000000533e+00,-6.915906310615093852e-03,6.334470978548071380e-04
5.450000000000000178e+00,-5.524233810913115224e-03,8.712507976923473518e-04
5.550000000000000711e+00,-5.162383217003308107e-03,9.691188367307446280e-04
5.650000000000000355e+00,-4.850799982516296009e-03,5.398647525290776062e-04
5.750000000000000000e+00,-4.312946658846161449e-03,6.130045065920711363e-04
5.850000000000000533e+00,-4.424040016997388483e-03,5.006887787524020835e-04
5.950000000000000178e+00,-3.575832180892213243e-03,1.902393026825967119e-04
6.050000000000000711e+00,-3.404035695853568910e-03,5.719815845249131159e-04
6.150000000000000355e+00,-3.288594305954850583e-03,5.106810459826021916e-04
6.250000000000000000e+00,-2.378996554981993496e-03,4.336283695359200146e-04
6.350000000000000533e+00,-2.821601943477025642e-03,7.834808814909722564e-04
6.450000000000000178e+00,-3.205532984274883472e-03,4.812718408627023503e-04
6.550000000000000711e+00,-2.750777773601464828e-03,4.515060862787211569e-04
6.650000000000000355e+00,-2.124398568019669926e-03,2.921752465207116544e-04
6.750000000000000000e+00,-2.357229875539390736e-03,5.067984524930377582e-04
6.850000000000000533e+00,-1.968745705470853653e-03,4.039728531681817739e-04
6.950000000000000178e+00,-1.734790956512233294e-03,5.967142266617306507e-04
7.050000000000000711e+00,-2.095445148661134651e-03,3.736819975099742001e-04
7.150000000000000355e+00,-2.328766681984539930e-03,4.972384491501087057e-04
7.250000000000000000e+00,-1.216724025167526023e-03,4.727725361065138838e-04
7.350000000000000533e+00,-1.526510335703079504e-03,3.764187013532958067e-04
7.450000000000000178e+00,-1.605025583685648584e-03,5.047394938110272592e-04
7.550000000000000711e+00,-1.647489800061841024e-03,5.730554307081261144e-04
7.650000000000000355e+00,-1.123381389717747992e-03,5.428907690941089026e-04
7.750000000000000000e+00,-1.049605518294649499e-03,1.634301180107471422e-04
7.850000000000000533e+00,-1.247319622628362268e-03,4.953505689276071523e-04
7.950000000000000178e+00,-1.821111585595036695e-03,3.690723017106521415e-04
8.050000000000000711e+00,-7.999823165383724167e-04,3.635113087281668476e-04
8.150000000000000355e+00,-1.320768548928463824e-03,3.516106081460992645e-04
8.250000000000000000e+00,-4.063139109986346536e-04,3.714315368287719483e-04
8.350000000000001421e+00,-1.008128776846928211e-03,5.040556087840345747e-04
8.449999999999999289e+00,-6.710538306297974881e-04,4.083930065222428200e-04
8.550000000000000711e+00,-2.146476106763550717e-04,5.258602039388028671e-04
8.650000000000000355e+00,-6.259478096641401656e-04,4.709610151980266404e-04
8.750000000000000000e+00,-2.391993338380693555e-04,3.809362363946769046e-04
8.850000000000001421e+00,-6.013829836487127444e-04,3.743677592635138388e-04
8.949999999999999289e+00,-3.401985775460136699e-04,3.401810063247554992e-04
9.050000000000000711e+00,-1.030432929204505620e-03,3.562865688441456532e-04
9.150000000000000355e+00,-6.296109458753696309e-04,3.093135263199010983e-04
9.250000000000000000e+00,-4.931185116629377852e-04,2.573770997338502872e-04
9.350000000000001421e+00,-8.148037137000851537e-04,3.918581287980341696e-04
9.449999999999999289e+00,-5.265597958519663713e-04,3.300359393036900115e-04
9.550000000000000711e+00,-5.264564630459211752e-04,3.284633184836249190e-04
9.650000000000002132e+00,-7.891345079213962777e-04,3.267358735129586699e-04
9.750000000000000000e+00,-7.571254138046157756e-04,4.752917523408856895e-04
9.850000000000001421e+00,-5.430155086510346941e-04,3.692125106201433918e-04
9.949999999999999289e+00,-6.410609834448299576e-04,4.013741823063934205e-04
