r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-4.652407031741060848e-04,9.450450788465364325e-06
9.499999999999999556e-01,-8.690635363069206809e-01,5.096629117990141402e-04
1.050000000000000044e+00,-4.247669306335922990e+00,9.469835234132920748e-04
1.150000000000000133e+00,-3.662267602820834522e+00,9.096843463375378722e-04
1.250000000000000000e+00,-2.347754188742880999e+00,8.128020650152085504e-04
1.350000000000000089e+00,-1.477847436386224844e+00,6.933203237633557342e-04
1.450000000000000178e+00,-8.751538726294599835e-01,6.522332140474062113e-04
1.550000000000000044e+00,-4.491010355428460832e-01,4.695232366401379427e-04
1.650000000000000133e+00,-1.437511659742373438e-01,5.689866247228276717e-04
1.750000000000000000e+00,7.503961356319004128e-02,4.729753883321581955e-04
1.850000000000000089e+00,2.283111768799543084e-01,6.023979139389736134e-04
1.950000000000000178e+00,3.293879770185835776e-01,4.868521523430903658e-04
2.049999999999999822e+00,3.806106129735113974e-01,4.679831768392580756e-04
2.150000000000000355e+00,3.689387608205737523e-01,2.343666911591247909e-04
2.250000000000000000e+00,3.137086044872323676e-01,2.435065798483817894e-04
2.350000000000000533e+00,2.392709393466942169e-01,2.058641188632638966e-04
2.450000000000000178e+00,1.647981731500157421e-01,2.613516367187125296e-04
2.549999999999999822e+00,9.675439978028761712e-02,2.608439395605347574e-04
2.650000000000000355e+00,4.013447479445524102e-02,1.869411935647165128e-04
2.750000000000000000e+00,-2.868359515824847692e-03,2.557879439112001200e-04
2.850000000000000533e+00,-3.358053531073914438e-02,2.388188828409229688e-04
2.950000000000000178e+00,-5.279952270627985556e-02,2.439503681586285225e-04
3.049999999999999822e+00,-6.129160137393278862e-02,1.808895625112037092e-04
3.150000000000000355e+00,-6.078835649459708723e-02,2.521122967200899330e-04
3.250000000000000000e+00,-5.408960683229642463e-02,1.766862591809326925e-04
3.350000000000000533e+00,-4.478611034312583034e-02,1.878279586511958634e-04
3.450000000000000178e+00,-3.245807320072487123e-02,1.581896636608836942e-04
3.549999999999999822e+00,-2.077675755301133798e-02,2.306394193329097978e-04
3.650000000000000355e+00,-9.766925338968879960e-03,1.287384451160622403e-04
3.750000000000000000e+00,-1.371449042724859303e-03,2.317941686245893456e-04
3.850000000000000533e+00,4.746529518999009767e-03,2.529010049443923178e-04
3.950000000000000178e+00,9.155866491933251430e-03,1.793508545765627217e-04
4.050000000000000711e+00,1.108357516360993812e-02,1.200451069650392634e-04
4.150000000000000355e+00,1.155394254784789486e-02,2.787107043033496294e-04
4.250000000000000000e+00,1.038246245942124960e-02,1.345706139155889184e-04
4.349999999999999645e+00,8.922323918038821411e-03,2.055633038444991455e-04
4.450000000000000178e+00,6.656539927419413347e-03,9.028471534385053884e-05
4.550000000000000711e+00,4.476201535461887468e-03,1.304489148818777978e-04
4.650000000000000355e+00,2.289685039524847008e-03,1.756488029878872114e-04
4.750000000000000000e+00,7.973020035423106005e-04,1.628361245355248749e-04
4.850000000000000533e+00,-8.652828123070221977e-04,1.656228836378272778e-04
4.950000000000000178e+00,-1.501033547880936724e-03,1.128076459687530356e-04
5.050000000000000711e+00,-2.220657078602816976e-03,9.331822911920062554e-05
5.150000000000000355e+00,-1.939638383591635274e-03,1.138446222226402769e-04
5.250000000000000000e+00,-2.223484003452158662e-03,1.642745980686327644e-04
5.350000000000000533e+00,-1.856542770700997467e-03,1.086010646945072917e-04
5.450000000000000178e+00,-1.571021408792194676e-03,1.590174463381528378e-04
5.550000000000000711e+00,-6.263303526497399510e-04,1.557410974794778437e-04
5.650000000000000355e+00,-5.899120070516960862e-04,1.021259604264943314e-04
5.750000000000000000e+00,-3.274063209622424362e-04,9.015435232521649153e-05
5.850000000000000533e+00,1.401625932993644350e-04,1.179639683453218783e-04
5.950000000000000178e+00,3.169079713137623383e-04,8.331134933260653187e-05
6.050000000000000711e+00,4.559466294723702124e-04,1.593833729091310937e-04
6.150000000000000355e+00,3.548941207779376938e-04,1.169038034468238712e-04
6.250000000000000000e+00,4.821117500214411322e-04,1.490655223231109072e-04
6.350000000000000533e+00,3.110595759573175694e-04,7.570194651143568839e-05
6.450000000000000178e+00,3.229373336634422278e-04,8.755008496810496709e-05
6.550000000000000711e+00,1.365092768675468912e-04,9.592299154711541795e-05
6.650000000000000355e+00,1.230361809032576337e-05,8.673168114499061037e-05
6.750000000000000000e+00,2.484360531679330464e-04,1.046405440555081383e-04
6.850000000000000533e+00,-1.029703871237464013e-04,6.121168503382420185e-05
6.950000000000000178e+00,-1.152712748644368901e-04,1.130168454324245242e-04
7.050000000000000711e+00,-6.365230049540926958e-05,5.697224363651136575e-05
7.150000000000000355e+00,-8.086750830589295176e-05,1.203090967382794722e-04
7.250000000000000000e+00,-2.840902735404604368e-04,8.604779397768374128e-05
7.350000000000000533e+00,-2.742189951336904062e-05,8.286890884544159317e-05
7.450000000000000178e+00,-4.115691919861497319e-05,5.852440411795422617e-05
7.550000000000000711e+00,2.433556152925397953e-05,6.659547810527659620e-05
7.650000000000000355e+00,-1.077115154791474848e-04,1.389884364249662527e-04
7.750000000000000000e+00,5.571449405334938105e-05,6.584670168342881505e-05
7.850000000000000533e+00,5.895892859177909309e-05,7.871495234828644594e-05
7.950000000000000178e+00,1.713340290890652594e-04,8.890344293859514361e-05
8.050000000000000711e+00,4.260860345635108799e-05,1.272095979054702053e-04
8.150000000000000355e+00,6.202004811777239994e-05,8.966134486104530008e-05
8.250000000000000000e+00,8.136439114094783944e-05,6.762485141945088108e-05
8.350000000000001421e+00,-1.575992534517123289e-04,9.901316205477360779e-05
8.449999999999999289e+00,-2.337309153630506706e-05,8.239002073167179337e-05
8.550000000000000711e+00,9.214048871601932249e-05,5.277340388746531297e-05
8.650000000000000355e+00,-3.806399115353631131e-05,8.570045052140534767e-05
8.750000000000000000e+00,-1.200600863232814620e-04,6.996405445040334312e-05
8.850000000000001421e+00,-6.801592873448836772e-05,8.044328156074267283e-05
8.949999999999999289e+00,-5.041155479350578888e-05,7.010333824041187819e-05
9.050000000000000711e+00,-6.290584166313006875e-05,9.514092031794027841e-05
9.150000000000000355e+00,2.597501726482320873e-05,7.073305880266900767e-05
9.250000000000000000e+00,1.083288017989625347e-04,1.014658150326773126e-04
9.350000000000001421e+00,-3.470838964330092140e-05,5.710076080106069935e-05
9.449999999999999289e+00,1.236433056038377496e-04,8.112627275499387919e-05
9.550000000000000711e+00,5.865298086533687622e-05,8.252507668598400620e-05
9.650000000000002132e+00,1.481100893276021625e-04,8.639690766485586427e-05
9.750000000000000000e+00,1.789657079951378769e-05,6.707996996098090491e-05
9.850000000000001421e+00,-1.690971366795412988e-04,7.272030891069516858e-05
9.949999999999999289e+00,-1.355416385653285261e-04,1.038394839797622657e-04
