r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-1.736765952867570307e-04,1.055559075660217398e-04
9.499999999999999556e-01,-3.008668233568315697e-01,1.947215566718897475e-03
1.050000000000000044e+00,-1.887741810334111037e+00,8.871645409289998646e-03
1.150000000000000133e+00,-2.129843335035007001e+00,8.254676999145003566e-03
1.250000000000000000e+00,-1.817843297860905150e+00,6.493812968153542427e-03
1.350000000000000089e+00,-1.573222926529923793e+00,7.175874190872825846e-03
1.450000000000000178e+00,-1.371701878178546608e+00,5.707666029440475360e-03
1.550000000000000044e+00,-1.183369208955289631e+00,5.582006382325468627e-03
1.650000000000000133e+00,-1.046006728417354648e+00,4.847268380135697288e-03
1.750000000000000000e+00,-9.173788637215343211e-01,3.326897937350683284e-03
1.850000000000000089e+00,-8.091898664612040548e-01,4.077438372436084646e-03
1.950000000000000178e+00,-7.186638573625824256e-01,3.375966088180524724e-03
2.049999999999999822e+00,-6.233754339344010909e-01,2.997963788458527824e-03
2.150000000000000355e+00,-5.572510603294348330e-01,3.713497495332180286e-03
2.250000000000000000e+00,-4.962826432420492928e-01,3.882549014392667509e-03
2.350000000000000533e+00,-4.420707666562876947e-01,4.901556548492111594e-03
2.450000000000000178e+00,-3.941541631153974712e-01,1.772997491136792158e-03
2.549999999999999822e+00,-3.469724551567792137e-01,2.646915825305318562e-03
2.650000000000000355e+00,-3.134893867710084048e-01,3.391683284640632182e-03
2.750000000000000000e+00,-2.774443424508580835e-01,2.477861617168616165e-03
2.850000000000000533e+00,-2.507049803253586506e-01,2.700895345760837528e-03
2.950000000000000178e+00,-2.338781181672207055e-01,1.974440521623789351e-03
3.049999999999999822e+00,-2.028105174524094390e-01,2.065217862724602095e-03
3.150000000000000355e+00,-1.850698266091427846e-01,3.647385067305101546e-03
3.250000000000000000e+00,-1.691509197154079658e-01,3.376965778511665725e-03
3.350000000000000533e+00,-1.463619143863826300e-01,2.239894820394442571e-03
3.450000000000000178e+00,-1.342887764305423226e-01,3.137583873953388169e-03
3.549999999999999822e+00,-1.227235753262281570e-01,9.532382752013573860e-04
3.650000000000000355e+00,-1.121111317981526440e-01,2.117175582305080676e-03
3.750000000000000000e+00,-9.656953847442954764e-02,2.711295538725086527e-03
3.850000000000000533e+00,-9.586428631288754221e-02,2.299606518701932147e-03
3.950000000000000178e+00,-8.282993383825205946e-02,2.405863439772870302e-03
4.050000000000000711e+00,-7.394567799533617591e-02,2.338945401358124947e-03
4.150000000000000355e+00,-6.990205655877441970e-02,3.423083708147668918e-03
4.250000000000000000e+00,-5.923067374849200206e-02,1.567844842235011213e-03
4.349999999999999645e+00,-5.373352556076451542e-02,2.522391880822718278e-03
4.450000000000000178e+00,-5.147989443320035580e-02,1.819452411106297924e-03
4.550000000000000711e+00,-4.687031053320966922e-02,2.138400384175395425e-03
4.650000000000000355e+00,-4.345938867411922729e-02,1.672758429973727297e-03
4.750000000000000000e+00,-3.683675711080205278e-02,1.149238154757358096e-03
4.850000000000000533e+00,-3.690963583742586096e-02,2.353839374479167659e-03
4.950000000000000178e+00,-3.247303433030383768e-02,1.040264457746270955e-03
5.050000000000000711e+00,-2.938702877648704387e-02,1.596233818675202787e-03
5.150000000000000355e+00,-2.784483055503854734e-02,1.278300163992290676e-03
5.250000000000000000e+00,-2.552520867286451819e-02,1.381105091497750008e-03
5.350000000000000533e+00,-2.067441174362076931e-02,1.742288097447712699e-03
5.450000000000000178e+00,-1.849438424795866315e-02,2.211021716730351364e-03
5.550000000000000711e+00,-1.572661210191559494e-02,1.374616423459524119e-03
5.650000000000000355e+00,-1.366822291922402746e-02,1.709990000097400377e-03
5.750000000000000000e+00,-1.550437002731099891e-02,1.141671623121760055e-03
5.850000000000000533e+00,-1.488340926758471329e-02,1.632220453322556775e-03
5.950000000000000178e+00,-1.266331473802670936e-02,9.900191077748558485e-04
6.050000000000000711e+00,-1.296939188182315641e-02,1.319534863637484472e-03
6.150000000000000355e+00,-8.503234880423283029e-03,1.085290195462454421e-03
6.250000000000000000e+00,-6.582148818225453009e-03,8.328153736400605023e-04
6.350000000000000533e+00,-7.407693710054274842e-03,1.410960420545808846e-03
6.450000000000000178e+00,-8.112412753773546453e-03,1.864213452808204325e-03
6.550000000000000711e+00,-7.369657519121308384e-03,1.179683090864100913e-03
6.650000000000000355e+00,-6.523508656533882726e-03,1.236768277122638924e-03
6.750000000000000000e+00,-2.881247577017287224e-03,9.027522148880365565e-04
6.850000000000000533e+00,-5.892654287922849399e-03,1.279005217706704169e-03
6.950000000000000178e+00,-5.294805047437356645e-03,9.042640316491753604e-04
7.050000000000000711e+00,-5.010623935127145497e-03,9.213230435711957387e-04
7.150000000000000355e+00,-5.844896306790548293e-03,1.174307532407938134e-03
7.250000000000000000e+00,-2.691475085334382820e-03,1.396263669544818261e-03
7.350000000000000533e+00,-3.123681852898574363e-03,8.651347104006440599e-04
7.450000000000000178e+00,-4.073144327407729297e-03,7.837409204851251889e-04
7.550000000000000711e+00,-1.806202060811723520e-03,8.389540693845402592e-04
7.650000000000000355e+00,-2.360031178286781019e-03,1.006794040421166506e-03
7.750000000000000000e+00,-1.389991073833995918e-03,1.332426917707285868e-03
7.850000000000000533e+00,-2.352267088444914920e-03,1.214906333333810613e-03
7.950000000000000178e+00,-3.841274532578453551e-03,8.804937534184871994e-04
8.050000000000000711e+00,-7.870611284376937810e-04,6.075129988438352727e-04
8.150000000000000355e+00,-1.075065707432565267e-03,9.835567103995844409e-04
8.250000000000000000e+00,-1.349487303736163300e-03,1.331985957257173642e-03
8.350000000000001421e+00,-2.712965087935015514e-03,9.433747537743233111e-04
8.449999999999999289e+00,-2.218586550791212808e-03,5.182762554499068018e-04
8.550000000000000711e+00,-8.062091152520878268e-04,1.135032317061479947e-03
8.650000000000000355e+00,-3.531591743175499596e-03,8.334417282773058438e-04
8.750000000000000000e+00,-1.918344156499696227e-03,1.159985140896196932e-03
8.850000000000001421e+00,-4.543738069544333907e-04,9.074219911112717729e-04
8.949999999999999289e+00,-8.276143994315309903e-04,9.131984608567533064e-04
9.050000000000000711e+00,-6.588910171697603957e-04,6.068290300233819198e-04
9.150000000000000355e+00,-4.936613913852250669e-04,7.251027608952661033e-04
9.250000000000000000e+00,-2.083408712861722911e-03,9.855671949852925790e-04
9.350000000000001421e+00,-4.633252122798303782e-04,6.901710437656042620e-04
9.449999999999999289e+00,-2.414358145985162456e-03,7.276502339996125885e-04
9.550000000000000711e+00,8.343281196971918674e-05,7.805260478937540948e-04
9.650000000000002132e+00,-6.997605770879822273e-04,6.966281920396672888e-04
9.750000000000000000e+00,-9.578977656710784949e-04,7.953003112889244115e-04
9.850000000000001421e+00,-2.213557642134933445e-03,9.790585667226806010e-04
9.949999999999999289e+00,-2.505185918250551927e-04,7.108223175972329692e-04
