r,gZZ_mean,gZZ_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,-2.045912528934677366e-05,2.820095804134778962e-05
9.499999999999999556e-01,-7.299997091064622246e-02,1.575557602295031990e-03
1.050000000000000044e+00,-4.481813380962324511e-01,5.088320232798601052e-03
1.150000000000000133e+00,-5.195485614469833591e-01,5.486012609735336186e-03
1.250000000000000000e+00,-4.692850033253471165e-01,4.595424584139259395e-03
1.350000000000000089e+00,-4.075856467465280852e-01,4.513079268522011619e-03
1.450000000000000178e+00,-3.600849660312528955e-01,3.612112982227109765e-03
1.550000000000000044e+00,-3.248565462096385525e-01,3.100702674264231573e-03
1.650000000000000133e+00,-2.901871621458352868e-01,4.659929270977838413e-03
1.750000000000000000e+00,-2.657570359907678315e-01,2.654479657106522793e-03
1.850000000000000089e+00,-2.409417995584766936e-01,2.300403996859896188e-03
1.950000000000000178e+00,-2.203764721830492879e-01,2.285911994976747540e-03
2.049999999999999822e+00,-1.972959684998917274e-01,2.193480390391922170e-03
2.150000000000000355e+00,-1.854369831788804934e-01,2.384805988404920668e-03
2.250000000000000000e+00,-1.664569047202204555e-01,3.360201046263932949e-03
2.350000000000000533e+00,-1.579149932546576873e-01,2.286665059073054833e-03
2.450000000000000178e+00,-1.428569953596305342e-01,2.688949121604197572e-03
2.549999999999999822e+00,-1.345155608870965969e-01,1.743733788861102007e-03
2.650000000000000355e+00,-1.236227352242766225e-01,8.727419444045440540e-04
2.750000000000000000e+00,-1.146496830557296454e-01,1.696097951504347461e-03
2.850000000000000533e+00,-1.061876832995070907e-01,1.618267372095435683e-03
2.950000000000000178e+00,-9.570710247604383158e-02,1.301468635346036051e-03
3.049999999999999822e+00,-9.125977194682299842e-02,2.398082767787441429e-03
3.150000000000000355e+00,-8.713724953726691147e-02,2.115723388146658387e-03
3.250000000000000000e+00,-8.378698726445263367e-02,1.491470100129943998e-03
3.350000000000000533e+00,-7.333630881628008802e-02,1.219502990906910908e-03
3.450000000000000178e+00,-7.064681198710928700e-02,1.372525297351987091e-03
3.549999999999999822e+00,-6.827296415071441860e-02,9.891691254403235222e-04
3.650000000000000355e+00,-5.974062792971843866e-02,1.425415291103654825e-03
3.750000000000000000e+00,-5.770151261370222440e-02,1.284392230342814136e-03
3.850000000000000533e+00,-5.382614827742186747e-02,1.868850881061784536e-03
3.950000000000000178e+00,-5.144270915841662323e-02,1.052790418014222691e-03
4.050000000000000711e+00,-5.006650625305575364e-02,1.628612960775589497e-03
4.150000000000000355e+00,-4.422402669835243799e-02,1.341968974989891147e-03
4.250000000000000000e+00,-4.166362306419389011e-02,1.349112863265903824e-03
4.349999999999999645e+00,-3.909721183869816624e-02,9.862002222964778939e-04
4.450000000000000178e+00,-3.849647351016934060e-02,1.560000195442354329e-03
4.550000000000000711e+00,-3.500846045599694673e-02,1.244815963955109121e-03
4.650000000000000355e+00,-3.409419717358355001e-02,8.499312965561966506e-04
4.750000000000000000e+00,-3.212025545672277105e-02,1.370644873420319432e-03
4.850000000000000533e+00,-3.087924162354904745e-02,1.296814805042299183e-03
4.950000000000000178e+00,-2.863775873071106037e-02,1.202161898166962230e-03
5.050000000000000711e+00,-2.489639696863785862e-02,8.889818827691178468e-04
5.150000000000000355e+00,-2.649578214686483177e-02,6.896510934775476435e-04
5.250000000000000000e+00,-2.415783774332274161e-02,6.851521400670170826e-04
5.350000000000000533e+00,-2.179927185545962182e-02,1.041739354785935082e-03
5.450000000000000178e+00,-2.036819227215515976e-02,1.115181588482409532e-03
5.550000000000000711e+00,-1.887479396195037434e-02,1.023075514186890574e-03
5.650000000000000355e+00,-1.749312571277925749e-02,1.077556287973140039e-03
5.750000000000000000e+00,-1.722253353976774953e-02,6.740896612082292313e-04
5.850000000000000533e+00,-1.694319760719049592e-02,6.782374145482682627e-04
5.950000000000000178e+00,-1.492277541700721619e-02,9.875532179518125859e-04
6.050000000000000711e+00,-1.300151421352697609e-02,7.412835927786524687e-04
6.150000000000000355e+00,-1.458540003000798925e-02,9.273580199000727806e-04
6.250000000000000000e+00,-1.336870807080146016e-02,5.861332588194599711e-04
6.350000000000000533e+00,-1.294931896717492828e-02,5.992804753287902120e-04
6.450000000000000178e+00,-1.252067486419152810e-02,9.113112372880466773e-04
6.550000000000000711e+00,-1.197796426742852097e-02,7.525255489227967391e-04
6.650000000000000355e+00,-1.082718283906676168e-02,5.564883902098952681e-04
6.750000000000000000e+00,-1.153673745484211713e-02,1.039398240853872625e-03
6.850000000000000533e+00,-9.272383841451903308e-03,8.013142759255310324e-04
6.950000000000000178e+00,-1.120079082537051018e-02,8.877734298550748332e-04
7.050000000000000711e+00,-9.035128285394100622e-03,6.254760231292768409e-04
7.150000000000000355e+00,-8.887799795969719002e-03,5.643091494455524304e-04
7.250000000000000000e+00,-7.005600733258598653e-03,7.300256267091593176e-04
7.350000000000000533e+00,-6.430574360359963756e-03,6.161909311276634379e-04
7.450000000000000178e+00,-6.562792471455169627e-03,9.223108651568348148e-04
7.550000000000000711e+00,-7.304841495165947593e-03,1.159153709831751760e-03
7.650000000000000355e+00,-5.535187389394425131e-03,8.807782194181820040e-04
7.750000000000000000e+00,-6.490424453180420987e-03,1.151297016758169416e-03
7.850000000000000533e+00,-4.984887954928352016e-03,7.987209642823492241e-04
7.950000000000000178e+00,-4.877599085329586970e-03,9.780276676104233437e-04
8.050000000000000711e+00,-4.592634262982420515e-03,6.232462913247799894e-04
8.150000000000000355e+00,-6.037402451135975671e-03,8.014946729321355051e-04
8.250000000000000000e+00,-4.995372132053921277e-03,8.318937357481826465e-04
8.350000000000001421e+00,-3.646876984583102832e-03,7.450965917867905745e-04
8.449999999999999289e+00,-3.932474822983311746e-03,6.478755533183254162e-04
8.550000000000000711e+00,-4.626175225315854247e-03,8.064603960158005019e-04
8.650000000000000355e+00,-4.544850629716235338e-03,5.746543318260315678e-04
8.750000000000000000e+00,-4.643935517080755027e-03,6.677770534743455435e-04
8.850000000000001421e+00,-3.359434171975350745e-03,7.480780681638431705e-04
8.949999999999999289e+00,-3.050248188403004330e-03,5.740552067044420474e-04
9.050000000000000711e+00,-4.483627174100402075e-03,8.333821325646430982e-04
9.150000000000000355e+00,-2.902896308237057268e-03,7.894540067231777675e-04
9.250000000000000000e+00,-3.773313802325084336e-03,4.746165471769829471e-04
9.350000000000001421e+00,-3.523417948823248744e-03,5.147642413904166816e-04
9.449999999999999289e+00,-2.295546160141559607e-03,4.247949151420835718e-04
9.550000000000000711e+00,-2.258271011241119643e-03,9.921882481050542640e-04
9.650000000000002132e+00,-3.187930034799446588e-03,9.187626296153884138e-04
9.750000000000000000e+00,-3.423320861341450083e-03,4.579883956485392062e-04
9.850000000000001421e+00,-1.281005741992058498e-03,2.636971547190241250e-04
9.949999999999999289e+00,-1.731397477027663001e-03,4.105792007046097790e-04
