r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,3.874705058617811224e-04,9.284787022629681922e-06
9.499999999999999556e-01,7.389721027304443357e-01,6.611013132776123215e-03
1.050000000000000044e+00,3.918664106648554135e+00,3.218209484924669517e-02
1.150000000000000133e+00,3.913272807093959305e+00,2.915510395278272590e-02
1.250000000000000000e+00,2.732510626210388871e+00,1.844459370675960094e-02
1.350000000000000089e+00,2.000379110906375324e+00,1.280781306700201107e-02
1.450000000000000178e+00,1.636153545428302492e+00,1.031962202848365866e-02
1.550000000000000044e+00,1.479600065457353342e+00,9.593163103477717751e-03
1.650000000000000133e+00,1.457030692027697416e+00,1.038411338093463143e-02
1.750000000000000000e+00,1.535262655361274708e+00,1.213057905889797228e-02
1.850000000000000089e+00,1.687538648730775082e+00,1.501961584774861962e-02
1.950000000000000178e+00,1.870636118077760646e+00,1.802313062461934762e-02
2.049999999999999822e+00,2.016528019125721549e+00,2.027755300828981699e-02
2.150000000000000355e+00,2.035148639663633130e+00,2.058411148760919129e-02
2.250000000000000000e+00,1.939934596745029438e+00,1.934816946167444707e-02
2.350000000000000533e+00,1.814914936556851988e+00,1.780333365543829843e-02
2.450000000000000178e+00,1.715380737539006883e+00,1.676560592126885227e-02
2.549999999999999822e+00,1.662232228615395879e+00,1.659694227327084687e-02
2.650000000000000355e+00,1.650963233615231118e+00,1.714628811770987221e-02
2.750000000000000000e+00,1.668429445468686101e+00,1.815922940991980192e-02
2.850000000000000533e+00,1.699136116893257054e+00,1.931712991982844838e-02
2.950000000000000178e+00,1.726582822405014594e+00,2.045734723464653557e-02
3.049999999999999822e+00,1.737168063179576949e+00,2.108747770661517293e-02
3.150000000000000355e+00,1.725838411335201217e+00,2.131943356225252453e-02
3.250000000000000000e+00,1.697614352356085821e+00,2.115670257962713394e-02
3.350000000000000533e+00,1.663054321862222906e+00,2.084610592928637374e-02
3.450000000000000178e+00,1.632162730209631762e+00,2.068331978002143495e-02
3.549999999999999822e+00,1.611306925002888635e+00,2.090280098064612943e-02
3.650000000000000355e+00,1.600172923444414863e+00,2.125726397366047016e-02
3.750000000000000000e+00,1.596303385119788976e+00,2.174653267946152074e-02
3.850000000000000533e+00,1.595011852066225089e+00,2.230005708584149524e-02
3.950000000000000178e+00,1.591771613975075272e+00,2.273907822017236582e-02
4.050000000000000711e+00,1.584004572219192442e+00,2.308217012659745035e-02
4.150000000000000355e+00,1.571290167010485073e+00,2.328477632483911403e-02
4.250000000000000000e+00,1.554996045753330947e+00,2.332247105515632482e-02
4.349999999999999645e+00,1.537799232435826280e+00,2.337515086567837352e-02
4.450000000000000178e+00,1.521864300363894751e+00,2.349928764845004084e-02
4.550000000000000711e+00,1.507899033260361898e+00,2.359535356145521512e-02
4.650000000000000355e+00,1.496612534976033082e+00,2.380699696617210107e-02
4.750000000000000000e+00,1.487183605831739142e+00,2.410895079820160256e-02
4.850000000000000533e+00,1.478020871447544904e+00,2.436630874003211170e-02
4.950000000000000178e+00,1.468350095769725083e+00,2.459914731952537667e-02
5.050000000000000711e+00,1.457482655073490729e+00,2.480110453144948254e-02
5.150000000000000355e+00,1.445498062743818313e+00,2.484680283165523196e-02
5.250000000000000000e+00,1.432661139610537315e+00,2.489839355128090070e-02
5.350000000000000533e+00,1.419783152779133140e+00,2.499436326072032588e-02
5.450000000000000178e+00,1.407247511351699343e+00,2.506748565619812408e-02
5.550000000000000711e+00,1.395490116835266026e+00,2.516742899103751457e-02
5.650000000000000355e+00,1.384450305159398820e+00,2.522987826264997541e-02
5.750000000000000000e+00,1.373822804400598008e+00,2.529371599777324037e-02
5.850000000000000533e+00,1.363140717990403816e+00,2.538222722922501076e-02
5.950000000000000178e+00,1.352554872304401190e+00,2.543257521311485456e-02
6.050000000000000711e+00,1.341581556967037958e+00,2.550034636150486783e-02
6.150000000000000355e+00,1.330379356828412130e+00,2.550317876970328856e-02
6.250000000000000000e+00,1.319250589440800425e+00,2.547189084003049012e-02
6.350000000000000533e+00,1.307957070947046940e+00,2.546264714546152969e-02
6.450000000000000178e+00,1.297013125713854631e+00,2.536906257112130428e-02
6.550000000000000711e+00,1.286437890175569088e+00,2.534853237960611738e-02
6.650000000000000355e+00,1.275828930768919012e+00,2.531509494811273048e-02
6.750000000000000000e+00,1.265564699975768370e+00,2.522636117554097682e-02
6.850000000000000533e+00,1.255339883107269738e+00,2.515223217014073837e-02
6.950000000000000178e+00,1.245264691780390898e+00,2.506943173938887964e-02
7.050000000000000711e+00,1.235212495956444556e+00,2.495292447820651738e-02
7.150000000000000355e+00,1.224963365185152586e+00,2.483951108785366693e-02
7.250000000000000000e+00,1.214961340232999953e+00,2.468367515398394232e-02
7.350000000000000533e+00,1.205086709688437008e+00,2.450136596008458886e-02
7.450000000000000178e+00,1.195369421621790051e+00,2.432003860143993473e-02
7.550000000000000711e+00,1.185750855265943482e+00,2.410533912869632783e-02
7.650000000000000355e+00,1.176404946654457939e+00,2.391878906827982904e-02
7.750000000000000000e+00,1.167092134261147551e+00,2.371256370631989394e-02
7.850000000000000533e+00,1.157904539507941477e+00,2.349237542525065697e-02
7.950000000000000178e+00,1.148936271326916447e+00,2.324743136888417563e-02
8.050000000000000711e+00,1.139970798955931119e+00,2.298297424751665971e-02
8.150000000000000355e+00,1.131087311950603302e+00,2.269703443460100584e-02
8.250000000000000000e+00,1.122448917930501278e+00,2.242099409307422506e-02
8.350000000000001421e+00,1.113883262280516373e+00,2.208640482054197510e-02
8.449999999999999289e+00,1.105469771035145765e+00,2.177215769159601341e-02
8.550000000000000711e+00,1.097259294591681700e+00,2.143082918681818438e-02
8.650000000000000355e+00,1.089177840061467339e+00,2.109026188611351840e-02
8.750000000000000000e+00,1.081227360277873917e+00,2.069495566741281004e-02
8.850000000000001421e+00,1.073449749039877110e+00,2.036088078938958282e-02
8.949999999999999289e+00,1.065825529543808603e+00,1.999459627749654300e-02
9.050000000000000711e+00,1.058331341924834357e+00,1.956565707210663335e-02
9.150000000000000355e+00,1.050931874799897470e+00,1.916643404288488270e-02
9.250000000000000000e+00,1.043764060896220647e+00,1.872810339584986619e-02
9.350000000000001421e+00,1.036741716733426522e+00,1.830503528696032431e-02
9.449999999999999289e+00,1.029849832152330169e+00,1.784824188064530748e-02
9.550000000000000711e+00,1.023083184722488381e+00,1.737316123095731038e-02
9.650000000000002132e+00,1.016570349922098604e+00,1.691586651729667587e-02
9.750000000000000000e+00,1.010153401439100929e+00,1.643162139774303337e-02
9.850000000000001421e+00,1.003878734211132606e+00,1.593669612635407323e-02
9.949999999999999289e+00,9.978978037626913267e-01,1.545047459043575808e-02
