r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.926888105405775498e-04,9.101506145533691500e-06
9.499999999999999556e-01,4.879376828237149688e-01,4.692418278685651228e-03
1.050000000000000044e+00,3.052148557570034448e+00,2.629027292178640757e-02
1.150000000000000133e+00,3.448798455382535710e+00,2.627508996774600286e-02
1.250000000000000000e+00,2.587162251694281156e+00,1.799680000903381913e-02
1.350000000000000089e+00,1.955787996376842086e+00,1.274191620642111528e-02
1.450000000000000178e+00,1.608755433052194705e+00,1.005292042326232441e-02
1.550000000000000044e+00,1.437499251750992579e+00,8.889568332376076784e-03
1.650000000000000133e+00,1.376853095842048846e+00,9.251093431286026153e-03
1.750000000000000000e+00,1.394857754859989862e+00,1.019945179414913188e-02
1.850000000000000089e+00,1.471253541864748104e+00,1.200466554299481001e-02
1.950000000000000178e+00,1.580677343995623207e+00,1.426286633215042080e-02
2.049999999999999822e+00,1.681166850493150733e+00,1.600968706215710399e-02
2.150000000000000355e+00,1.717137718473194186e+00,1.647523974784272094e-02
2.250000000000000000e+00,1.678095855772398393e+00,1.593816122138845548e-02
2.350000000000000533e+00,1.605517801583280058e+00,1.492209009066328140e-02
2.450000000000000178e+00,1.537169610057816715e+00,1.407810157471904751e-02
2.549999999999999822e+00,1.491450012060309804e+00,1.348938361951687939e-02
2.650000000000000355e+00,1.470350528836346538e+00,1.353739349167476513e-02
2.750000000000000000e+00,1.466969247320429215e+00,1.385671016482144940e-02
2.850000000000000533e+00,1.474530491671205201e+00,1.452006446839057378e-02
2.950000000000000178e+00,1.484759495514274219e+00,1.496256551040627165e-02
3.049999999999999822e+00,1.490018920182343498e+00,1.525575725934559881e-02
3.150000000000000355e+00,1.486644365887762387e+00,1.556834748817797522e-02
3.250000000000000000e+00,1.473493183089829017e+00,1.539417796825317056e-02
3.350000000000000533e+00,1.455237859967178027e+00,1.523628689866570428e-02
3.450000000000000178e+00,1.436371199945793098e+00,1.490504234557415986e-02
3.549999999999999822e+00,1.420542920080961835e+00,1.473128035428209436e-02
3.650000000000000355e+00,1.408891506179718478e+00,1.484873917409268614e-02
3.750000000000000000e+00,1.401110973962975459e+00,1.481092323058219758e-02
3.850000000000000533e+00,1.395382247426531830e+00,1.488651938008054253e-02
3.950000000000000178e+00,1.390126852647712852e+00,1.499433650832558695e-02
4.050000000000000711e+00,1.384339569473452158e+00,1.508365435848994796e-02
4.150000000000000355e+00,1.376523615486763275e+00,1.506811802827416440e-02
4.250000000000000000e+00,1.367134366739887197e+00,1.501608024613332315e-02
4.349999999999999645e+00,1.356952846707476734e+00,1.488132651951611270e-02
4.450000000000000178e+00,1.346507059967100073e+00,1.468096139716234053e-02
4.550000000000000711e+00,1.336611265533950821e+00,1.463764087561426896e-02
4.650000000000000355e+00,1.327950221432577793e+00,1.456401306839909260e-02
4.750000000000000000e+00,1.319709826089872307e+00,1.448390864856613502e-02
4.850000000000000533e+00,1.311903136040771134e+00,1.444480502927469878e-02
4.950000000000000178e+00,1.304513175746374598e+00,1.438343762109941908e-02
5.050000000000000711e+00,1.296710103501905964e+00,1.425304838256682798e-02
5.150000000000000355e+00,1.288788197015430015e+00,1.422337974582966319e-02
5.250000000000000000e+00,1.280536924347654759e+00,1.414075138317585391e-02
5.350000000000000533e+00,1.272384587976497228e+00,1.395401874932865154e-02
5.450000000000000178e+00,1.263752511952226154e+00,1.374570794048237884e-02
5.550000000000000711e+00,1.255719726770430755e+00,1.360611626097594541e-02
5.650000000000000355e+00,1.247953752230923641e+00,1.352026272007349900e-02
5.750000000000000000e+00,1.240168342796439394e+00,1.338622357629498660e-02
5.850000000000000533e+00,1.232438337204103895e+00,1.325677087168944564e-02
5.950000000000000178e+00,1.225073374861844977e+00,1.309727770030478210e-02
6.050000000000000711e+00,1.217618770894305591e+00,1.295393663930010514e-02
6.150000000000000355e+00,1.210086188334338342e+00,1.277400507009681177e-02
6.250000000000000000e+00,1.202707282188502536e+00,1.258872188231618082e-02
6.350000000000000533e+00,1.195120280207190522e+00,1.248465807670040041e-02
6.450000000000000178e+00,1.187900007296930127e+00,1.227413640714411502e-02
6.550000000000000711e+00,1.180517558640190590e+00,1.206965976897784315e-02
6.650000000000000355e+00,1.173330211363454278e+00,1.192336840067289433e-02
6.750000000000000000e+00,1.166398765437310470e+00,1.173234429424769958e-02
6.850000000000000533e+00,1.159302530599338743e+00,1.151803847277686928e-02
6.950000000000000178e+00,1.152539204107673410e+00,1.131436145888042172e-02
7.050000000000000711e+00,1.145769236942237201e+00,1.111062997765020939e-02
7.150000000000000355e+00,1.139034504801969216e+00,1.087219372359477139e-02
7.250000000000000000e+00,1.132355696621759833e+00,1.070067930413711940e-02
7.350000000000000533e+00,1.125703754926147493e+00,1.048148815580113823e-02
7.450000000000000178e+00,1.119288280795091461e+00,1.028462852624450682e-02
7.550000000000000711e+00,1.112846442016462323e+00,1.006656576516953144e-02
7.650000000000000355e+00,1.106590483016816506e+00,9.808161826247302484e-03
7.750000000000000000e+00,1.100366502235089472e+00,9.626641421269368365e-03
7.850000000000000533e+00,1.094322448012421178e+00,9.357804542629742303e-03
7.950000000000000178e+00,1.088238546980669907e+00,9.128562049364572981e-03
8.050000000000000711e+00,1.082246440773358298e+00,8.889329018916834746e-03
8.150000000000000355e+00,1.076502884654737313e+00,8.641680125696974205e-03
8.250000000000000000e+00,1.070846953438642668e+00,8.439278992969494533e-03
8.350000000000001421e+00,1.065262600916897728e+00,8.166364615430280263e-03
8.449999999999999289e+00,1.059651376697514857e+00,7.917100709029392322e-03
8.550000000000000711e+00,1.054137446897149388e+00,7.675770762163572868e-03
8.650000000000000355e+00,1.048843028658169363e+00,7.449122599620228331e-03
8.750000000000000000e+00,1.043582841211674772e+00,7.156852100483301372e-03
8.850000000000001421e+00,1.038552624479479380e+00,6.931366795418140644e-03
8.949999999999999289e+00,1.033520280240848077e+00,6.652238460820752639e-03
9.050000000000000711e+00,1.028611324017763007e+00,6.399864345602424183e-03
9.150000000000000355e+00,1.023806487317434399e+00,6.129888061219480010e-03
9.250000000000000000e+00,1.019136539066295422e+00,5.886893267694859148e-03
9.350000000000001421e+00,1.014499890329710663e+00,5.627020413388173457e-03
9.449999999999999289e+00,1.010012044923166652e+00,5.362665493158868743e-03
9.550000000000000711e+00,1.005790240712318484e+00,5.067738417696378804e-03
9.650000000000002132e+00,1.001354566729514950e+00,4.813325020487576288e-03
9.750000000000000000e+00,9.971939878869526819e-01,4.543935590055070591e-03
9.850000000000001421e+00,9.931367365917129764e-01,4.322263038955541717e-03
9.949999999999999289e+00,9.892289722261976559e-01,4.048756053961332507e-03
