r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.229577314823048580e-04,5.956713634925015228e-06
9.499999999999999556e-01,3.560476821865376507e-01,5.543097209980545406e-03
1.050000000000000044e+00,2.403909460859639413e+00,3.290856553694800068e-02
1.150000000000000133e+00,2.913334427038698049e+00,3.602115227743771936e-02
1.250000000000000000e+00,2.307739563411231209e+00,2.542831601367944241e-02
1.350000000000000089e+00,1.802092665819003958e+00,1.788396805301962697e-02
1.450000000000000178e+00,1.507327547749262919e+00,1.454817182204973074e-02
1.550000000000000044e+00,1.344421277071671028e+00,1.248877263194716862e-02
1.650000000000000133e+00,1.259318118710332612e+00,1.243651267589689254e-02
1.750000000000000000e+00,1.227502607141871760e+00,1.337554845518374239e-02
1.850000000000000089e+00,1.231457466643324450e+00,1.495353502798950351e-02
1.950000000000000178e+00,1.257150041904148807e+00,1.704369843381989616e-02
2.049999999999999822e+00,1.289166951108806192e+00,1.862882521701767283e-02
2.150000000000000355e+00,1.302610732238406399e+00,1.927346860016825730e-02
2.250000000000000000e+00,1.286401728559305013e+00,1.861982529062973166e-02
2.350000000000000533e+00,1.254368413280944061e+00,1.731117413090235355e-02
2.450000000000000178e+00,1.220550124797843639e+00,1.627807479555807429e-02
2.549999999999999822e+00,1.194968327775667527e+00,1.534313407117133925e-02
2.650000000000000355e+00,1.177283683407513548e+00,1.498041619908408936e-02
2.750000000000000000e+00,1.165543055235313874e+00,1.495372810569427051e-02
2.850000000000000533e+00,1.158483855798185136e+00,1.490916079802362404e-02
2.950000000000000178e+00,1.153024886067427923e+00,1.509030399207155794e-02
3.049999999999999822e+00,1.148445710873983838e+00,1.504359307436773339e-02
3.150000000000000355e+00,1.143858238911425795e+00,1.487954507137485491e-02
3.250000000000000000e+00,1.136638464116745739e+00,1.447325477566303170e-02
3.350000000000000533e+00,1.128780558024022440e+00,1.402223872701640478e-02
3.450000000000000178e+00,1.120882747335671947e+00,1.371208759449412187e-02
3.549999999999999822e+00,1.113891908775897166e+00,1.318630986007844792e-02
3.650000000000000355e+00,1.107596103677124910e+00,1.287761145227003454e-02
3.750000000000000000e+00,1.101746540246068884e+00,1.246939347421628652e-02
3.850000000000000533e+00,1.097238501512371567e+00,1.231344615423963194e-02
3.950000000000000178e+00,1.093154978882785233e+00,1.200369626331213024e-02
4.050000000000000711e+00,1.088393053579518321e+00,1.159057837583661599e-02
4.150000000000000355e+00,1.084707845712497676e+00,1.126957287055920312e-02
4.250000000000000000e+00,1.081093385840148802e+00,1.110555515049331012e-02
4.349999999999999645e+00,1.077205290222002176e+00,1.060636910035612362e-02
4.450000000000000178e+00,1.073593931409070112e+00,1.022901176973624836e-02
4.550000000000000711e+00,1.069685686058238883e+00,1.001232052164540906e-02
4.650000000000000355e+00,1.066364226641040913e+00,9.590024965206233459e-03
4.750000000000000000e+00,1.063185805539346385e+00,9.333998385752507662e-03
4.850000000000000533e+00,1.059924817565344846e+00,8.879218080706701224e-03
4.950000000000000178e+00,1.057004232683896650e+00,8.649599360584060009e-03
5.050000000000000711e+00,1.054325694693545756e+00,8.260172388977523455e-03
5.150000000000000355e+00,1.051597876787230712e+00,8.012956447507125005e-03
5.250000000000000000e+00,1.049291789350275783e+00,7.690955806137742684e-03
5.350000000000000533e+00,1.046874887698760137e+00,7.260356620197673527e-03
5.450000000000000178e+00,1.044442901771945653e+00,6.992480219231094786e-03
5.550000000000000711e+00,1.041927538419733512e+00,6.726648621370989387e-03
5.650000000000000355e+00,1.039468212166145378e+00,6.391408473365911037e-03
5.750000000000000000e+00,1.037397612820714743e+00,6.094316701940419648e-03
5.850000000000000533e+00,1.035228408279946333e+00,5.738408214898660029e-03
5.950000000000000178e+00,1.033420040139560792e+00,5.530583135552873120e-03
6.050000000000000711e+00,1.031452546398768932e+00,5.211028156557293532e-03
6.150000000000000355e+00,1.029616877055857804e+00,4.987795261901464654e-03
6.250000000000000000e+00,1.027800719193461054e+00,4.811690507322070182e-03
6.350000000000000533e+00,1.025696482603450699e+00,4.496276792175831448e-03
6.450000000000000178e+00,1.023946511353890365e+00,4.203758925443355776e-03
6.550000000000000711e+00,1.022147616558196859e+00,3.944810902964681308e-03
6.650000000000000355e+00,1.020525437504485655e+00,3.692019005251118494e-03
6.750000000000000000e+00,1.019064032788602248e+00,3.526230476820916941e-03
6.850000000000000533e+00,1.017557812427496433e+00,3.287612361812732205e-03
6.950000000000000178e+00,1.015827950788840139e+00,3.125958095500269446e-03
7.050000000000000711e+00,1.014548552814472426e+00,2.899948988545379518e-03
7.150000000000000355e+00,1.012977681204233926e+00,2.738923772717993636e-03
7.250000000000000000e+00,1.011684441291307524e+00,2.510123733831350675e-03
7.350000000000000533e+00,1.010255939723583962e+00,2.315647116724799202e-03
7.450000000000000178e+00,1.008903517868356747e+00,2.169858917290512848e-03
7.550000000000000711e+00,1.007367628301775175e+00,1.983285161810606143e-03
7.650000000000000355e+00,1.006494233479570566e+00,1.863119063164477658e-03
7.750000000000000000e+00,1.004980434824480184e+00,1.694871006191619187e-03
7.850000000000000533e+00,1.003916072324388953e+00,1.706675049727326369e-03
7.950000000000000178e+00,1.002887265891258650e+00,1.544429849236980592e-03
8.050000000000000711e+00,1.001919708540589538e+00,1.461014887077531285e-03
8.150000000000000355e+00,1.000942019341684697e+00,1.433501951429807337e-03
8.250000000000000000e+00,9.997943762250471877e-01,1.336120451266516879e-03
8.350000000000001421e+00,9.987911029555807119e-01,1.273612664229740142e-03
8.449999999999999289e+00,9.977568293692826717e-01,1.281889935827553069e-03
8.550000000000000711e+00,9.968225046215730689e-01,1.308076255940754081e-03
8.650000000000000355e+00,9.959243559760470044e-01,1.280506212761998172e-03
8.750000000000000000e+00,9.950177595863711755e-01,1.332476565404173974e-03
8.850000000000001421e+00,9.942825044883477625e-01,1.341183234538117141e-03
8.949999999999999289e+00,9.934697972951115341e-01,1.346184912098409006e-03
9.050000000000000711e+00,9.927801647309204558e-01,1.443366956684693668e-03
9.150000000000000355e+00,9.918884588939513858e-01,1.428803116446629440e-03
9.250000000000000000e+00,9.913522814710530318e-01,1.471794049474903351e-03
9.350000000000001421e+00,9.904554922602392120e-01,1.515094144321998829e-03
9.449999999999999289e+00,9.898309812382762862e-01,1.555380264972617069e-03
9.550000000000000711e+00,9.893574900455064380e-01,1.590383987596800030e-03
9.650000000000002132e+00,9.887147744604988242e-01,1.662791040329228941e-03
9.750000000000000000e+00,9.881166817380183653e-01,1.697558919918628522e-03
9.850000000000001421e+00,9.874852461117992197e-01,1.741389149004170635e-03
9.949999999999999289e+00,9.869020134979189507e-01,1.807762485525656222e-03
