r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.240605993540391653e-04,2.506355427198012625e-06
9.499999999999999556e-01,2.534060912648073982e-01,1.054440966373469170e-04
1.050000000000000044e+00,1.388185554008779743e+00,1.831821541618895211e-04
1.150000000000000133e+00,1.449846959949867564e+00,2.099294723014298201e-04
1.250000000000000000e+00,1.224312404531542553e+00,1.576510411360066007e-04
1.350000000000000089e+00,1.098246398761385745e+00,1.644528434373126850e-04
1.450000000000000178e+00,1.026832694954117331e+00,8.935294931468019074e-05
1.550000000000000044e+00,9.876675272200113875e-01,1.075444959062310226e-04
1.650000000000000133e+00,9.681472478207743260e-01,1.499912954945833456e-04
1.750000000000000000e+00,9.623710493100890995e-01,1.529236245831614078e-04
1.850000000000000089e+00,9.670816171205982581e-01,8.449344188983478785e-05
1.950000000000000178e+00,9.804350985269112417e-01,1.020028561440472888e-04
2.049999999999999822e+00,9.972294731099167198e-01,8.203659103358162605e-05
2.150000000000000355e+00,1.007089544320434182e+00,8.663193023304104599e-05
2.250000000000000000e+00,1.008996287958931148e+00,9.979174194611505403e-05
2.350000000000000533e+00,1.006731750665547320e+00,7.375941313412258447e-05
2.450000000000000178e+00,1.003826194810941264e+00,4.230709990636504799e-05
2.549999999999999822e+00,1.001201866263073281e+00,7.983370432463739673e-05
2.650000000000000355e+00,9.993223462048606009e-01,7.948677852955347812e-05
2.750000000000000000e+00,9.985829341736660592e-01,5.347497248502182176e-05
2.850000000000000533e+00,9.984041044328728631e-01,7.099320556530206089e-05
2.950000000000000178e+00,9.988746493717559627e-01,5.658518024905848483e-05
3.049999999999999822e+00,9.993555622695723395e-01,6.808070267085436229e-05
3.150000000000000355e+00,9.998951517090993724e-01,5.387974851980607095e-05
3.250000000000000000e+00,1.000169135135015264e+00,5.731513968947093740e-05
3.350000000000000533e+00,1.000182329786216462e+00,5.681969661492495042e-05
3.450000000000000178e+00,1.000217037730469105e+00,3.680897698909207558e-05
3.549999999999999822e+00,1.000024444876472351e+00,4.915251306662127886e-05
3.650000000000000355e+00,9.999532595031599413e-01,5.492756120575813906e-05
3.750000000000000000e+00,9.998854932740368628e-01,5.366483240815439520e-05
3.850000000000000533e+00,9.999578945134210972e-01,5.016917659416024114e-05
3.950000000000000178e+00,9.998945864931745309e-01,6.049815854761518401e-05
4.050000000000000711e+00,9.998201970380693471e-01,5.611338272601431557e-05
4.150000000000000355e+00,9.998590315196794753e-01,4.322314273612823783e-05
4.250000000000000000e+00,9.999103473856731927e-01,4.515912811479091054e-05
4.349999999999999645e+00,9.999131036911919068e-01,5.340653231714128382e-05
4.450000000000000178e+00,9.999765003264380336e-01,4.471633634323407688e-05
4.550000000000000711e+00,9.999759711857991729e-01,3.954068481281221509e-05
4.650000000000000355e+00,9.999002009148471037e-01,3.970240030626281529e-05
4.750000000000000000e+00,9.999674669955848083e-01,3.165092792038490206e-05
4.850000000000000533e+00,9.999504519820954229e-01,4.013744347670119525e-05
4.950000000000000178e+00,9.999060755619954000e-01,4.217379761445263933e-05
5.050000000000000711e+00,9.998924688715602471e-01,3.837408323420419241e-05
5.150000000000000355e+00,9.999268610630306364e-01,5.731954543207520836e-05
5.250000000000000000e+00,9.999262746045898265e-01,2.439208655137937824e-05
5.350000000000000533e+00,9.999061457998600355e-01,3.848782480154391698e-05
5.450000000000000178e+00,9.999810257076664488e-01,4.100052207134719965e-05
5.550000000000000711e+00,9.999481658217277413e-01,3.411021140227511083e-05
5.650000000000000355e+00,9.999108935753140415e-01,3.937638020391090677e-05
5.750000000000000000e+00,9.999476473224392370e-01,3.488450877728320237e-05
5.850000000000000533e+00,9.999773504774547295e-01,3.594787420132581723e-05
5.950000000000000178e+00,9.998899872537169164e-01,3.707212226629120105e-05
6.050000000000000711e+00,9.999290738193600259e-01,2.682277376803389381e-05
6.150000000000000355e+00,9.999442243600784597e-01,4.859138983790187811e-05
6.250000000000000000e+00,9.999555267709927531e-01,3.081678782126974616e-05
6.350000000000000533e+00,9.999812782053558724e-01,2.691016717251742469e-05
6.450000000000000178e+00,9.999361837225902994e-01,3.889034228547469857e-05
6.550000000000000711e+00,9.999193761253237778e-01,1.747828978981519566e-05
6.650000000000000355e+00,9.999383024122321384e-01,2.638645966914521346e-05
6.750000000000000000e+00,9.999695550378170372e-01,2.734649095432487169e-05
6.850000000000000533e+00,9.998950650627520531e-01,2.504687656084970656e-05
6.950000000000000178e+00,9.999546144390041302e-01,3.112097943438597809e-05
7.050000000000000711e+00,9.999252645602225709e-01,4.111357487917552444e-05
7.150000000000000355e+00,9.999600857259902664e-01,2.331261445559231640e-05
7.250000000000000000e+00,9.999407743053108089e-01,3.074959960949924553e-05
7.350000000000000533e+00,9.999502723441364704e-01,2.684081560412569038e-05
7.450000000000000178e+00,9.998959684604175058e-01,2.878620708701260954e-05
7.550000000000000711e+00,9.999138808159179215e-01,2.866963482390399816e-05
7.650000000000000355e+00,9.999896351662378446e-01,3.702647313432632839e-05
7.750000000000000000e+00,9.999332860841183557e-01,1.977500130686168900e-05
7.850000000000000533e+00,9.999404134989557935e-01,2.244739245722453198e-05
7.950000000000000178e+00,9.999249644513723556e-01,1.409435102768744645e-05
8.050000000000000711e+00,9.998848095590492369e-01,2.256271821382163200e-05
8.150000000000000355e+00,9.999171977021152902e-01,3.002912527113781317e-05
8.250000000000000000e+00,9.999327904990620297e-01,2.164030904145307222e-05
8.350000000000001421e+00,9.999508604192142158e-01,2.263246304098298715e-05
8.449999999999999289e+00,9.999127208102456255e-01,1.846656688656762461e-05
8.550000000000000711e+00,9.999314897879095776e-01,2.756177960551965951e-05
8.650000000000000355e+00,9.999274482202897829e-01,2.495622473628448615e-05
8.750000000000000000e+00,9.999202540181519883e-01,1.566104487440778326e-05
8.850000000000001421e+00,9.999679698470054223e-01,1.964455455234179158e-05
8.949999999999999289e+00,9.999515238580910514e-01,2.196913162850368923e-05
9.050000000000000711e+00,9.999474578448094286e-01,1.940448567853946535e-05
9.150000000000000355e+00,9.999299172723938867e-01,1.923075747461742716e-05
9.250000000000000000e+00,9.999192720493639275e-01,2.273242669442159528e-05
9.350000000000001421e+00,9.999294379208647499e-01,2.231997740811296282e-05
9.449999999999999289e+00,9.998745976215431819e-01,2.316399611359763790e-05
9.550000000000000711e+00,9.999455094857676585e-01,1.259325038307992719e-05
9.650000000000002132e+00,9.999653295521339080e-01,2.448485415010383088e-05
9.750000000000000000e+00,9.999565970941650672e-01,1.627027785632864543e-05
9.850000000000001421e+00,9.999526218063866656e-01,2.633344747674092683e-05
9.949999999999999289e+00,9.999360685871458987e-01,1.187087040085729508e-05
