r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,6.458755353514728068e-05,6.127313330073765692e-05
9.499999999999999556e-01,1.385517421947712324e-01,2.571831757576784842e-03
1.050000000000000044e+00,9.380222113042708809e-01,5.956383101058859188e-03
1.150000000000000133e+00,1.191741067246482322e+00,4.878801437774700489e-03
1.250000000000000000e+00,1.154799429388338794e+00,4.873908372002830162e-03
1.350000000000000089e+00,1.108915514241577638e+00,3.719489997781296690e-03
1.450000000000000178e+00,1.097939995021713910e+00,5.266104568319883092e-03
1.550000000000000044e+00,1.074897419113246988e+00,5.606059447238321072e-03
1.650000000000000133e+00,1.055725619543573135e+00,5.190092796733209238e-03
1.750000000000000000e+00,1.047410733259160898e+00,3.490434840957537706e-03
1.850000000000000089e+00,1.036123407468003244e+00,4.520980904725876645e-03
1.950000000000000178e+00,1.027332400228675890e+00,4.184852061890613484e-03
2.049999999999999822e+00,1.025409926683490625e+00,3.427758572163103288e-03
2.150000000000000355e+00,1.023283009080734773e+00,3.647133384623360824e-03
2.250000000000000000e+00,1.019892831080148943e+00,3.451935647123393226e-03
2.350000000000000533e+00,1.016813042164334657e+00,4.043275586490972795e-03
2.450000000000000178e+00,1.011754056477949693e+00,3.029841858879860593e-03
2.549999999999999822e+00,1.010157580396221055e+00,2.205892515496171453e-03
2.650000000000000355e+00,1.008696868353227138e+00,3.683089991539289110e-03
2.750000000000000000e+00,9.999246351170159031e-01,3.070944384077876638e-03
2.850000000000000533e+00,9.997070909035492559e-01,2.802797973245799591e-03
2.950000000000000178e+00,1.001584819902561208e+00,2.824318594154457546e-03
3.049999999999999822e+00,9.984850472783760589e-01,3.059649841343969542e-03
3.150000000000000355e+00,1.002722571367281601e+00,2.662308450266528872e-03
3.250000000000000000e+00,9.980592157664374131e-01,3.052390648092757723e-03
3.350000000000000533e+00,1.001373486668387214e+00,2.450670899468340366e-03
3.450000000000000178e+00,1.000183067211477317e+00,1.376341085586145051e-03
3.549999999999999822e+00,9.976210771995497328e-01,2.284705320447927030e-03
3.650000000000000355e+00,9.957175821357842072e-01,2.039936321295090799e-03
3.750000000000000000e+00,9.983161289835607022e-01,2.274036604274052784e-03
3.850000000000000533e+00,9.969315605422451876e-01,2.310179129542078331e-03
3.950000000000000178e+00,9.944387356913753084e-01,2.122021535706368131e-03
4.050000000000000711e+00,9.988371442539515366e-01,1.677267469615187530e-03
4.150000000000000355e+00,9.957894128870787842e-01,2.056228605906721286e-03
4.250000000000000000e+00,9.956306416561162553e-01,1.926769687477459777e-03
4.349999999999999645e+00,9.977519515051647137e-01,3.089965370821038011e-03
4.450000000000000178e+00,9.913635999819945255e-01,1.319367543065592605e-03
4.550000000000000711e+00,9.949402214993454674e-01,2.011371768121456710e-03
4.650000000000000355e+00,9.924710458522536527e-01,1.619508999053350436e-03
4.750000000000000000e+00,9.953281969411932328e-01,2.200580913013530822e-03
4.850000000000000533e+00,9.937697891073622447e-01,1.922618110295757190e-03
4.950000000000000178e+00,9.950680249251874221e-01,1.408066145657931598e-03
5.050000000000000711e+00,9.938584417074004529e-01,1.701541083906706227e-03
5.150000000000000355e+00,9.943078050924706313e-01,2.045744336203108703e-03
5.250000000000000000e+00,9.945902589106223601e-01,1.887821346468984609e-03
5.350000000000000533e+00,9.954497230748483583e-01,1.569209184119084140e-03
5.450000000000000178e+00,9.927757927536624560e-01,1.519905280924212492e-03
5.550000000000000711e+00,9.937688056500896261e-01,1.510509862225322547e-03
5.650000000000000355e+00,9.938184515974535227e-01,1.760586213581278063e-03
5.750000000000000000e+00,9.931561559584961563e-01,1.550295972195203610e-03
5.850000000000000533e+00,9.953679972485083294e-01,1.366880698087187236e-03
5.950000000000000178e+00,9.959792926415020897e-01,1.356781283240497508e-03
6.050000000000000711e+00,9.951846758135702853e-01,1.223400589422104362e-03
6.150000000000000355e+00,9.944630884533738335e-01,1.256093563920892414e-03
6.250000000000000000e+00,9.951566476119868554e-01,1.317785121432875177e-03
6.350000000000000533e+00,9.936093281679841960e-01,1.699162598915495911e-03
6.450000000000000178e+00,9.922975620819549647e-01,1.453608775146490294e-03
6.550000000000000711e+00,9.924717825985256425e-01,1.096121993342167233e-03
6.650000000000000355e+00,9.942415693894164352e-01,1.061075314817373641e-03
6.750000000000000000e+00,9.944883038042021672e-01,1.373940316443854771e-03
6.850000000000000533e+00,9.930912537386742400e-01,7.324157085565471351e-04
6.950000000000000178e+00,9.935848561196515272e-01,8.888008981141969729e-04
7.050000000000000711e+00,9.934367371324327456e-01,7.224950376148301691e-04
7.150000000000000355e+00,9.940221111141376298e-01,9.171315554002406212e-04
7.250000000000000000e+00,9.925726879667069458e-01,1.081673988744536125e-03
7.350000000000000533e+00,9.934409233525591798e-01,1.632384555342362986e-03
7.450000000000000178e+00,9.930053933365232677e-01,1.758939786104327845e-03
7.550000000000000711e+00,9.940751528650656477e-01,1.148100599603585304e-03
7.650000000000000355e+00,9.926385247297444536e-01,9.311801777200324690e-04
7.750000000000000000e+00,9.930042183182472559e-01,1.184751702873715774e-03
7.850000000000000533e+00,9.954514502489530958e-01,1.203629676317192901e-03
7.950000000000000178e+00,9.931408841194805381e-01,7.607221563187628642e-04
8.050000000000000711e+00,9.927076878911058611e-01,9.235228517993996494e-04
8.150000000000000355e+00,9.921717205837442544e-01,1.179714288621392521e-03
8.250000000000000000e+00,9.921070688038575724e-01,9.363181337299488838e-04
8.350000000000001421e+00,9.922600825444216621e-01,8.896673286772049374e-04
8.449999999999999289e+00,9.930001734550384374e-01,7.617491949722468309e-04
8.550000000000000711e+00,9.925467035842207020e-01,9.782474911562938184e-04
8.650000000000000355e+00,9.933721483884635495e-01,9.595663940211423409e-04
8.750000000000000000e+00,9.916925152223636797e-01,1.170694008663471968e-03
8.850000000000001421e+00,9.922158582748522582e-01,1.131736400969149750e-03
8.949999999999999289e+00,9.933081844431861374e-01,9.473256021518734488e-04
9.050000000000000711e+00,9.938723485284537418e-01,6.203674910000056596e-04
9.150000000000000355e+00,9.929939552852173890e-01,9.572299463927944063e-04
9.250000000000000000e+00,9.931014992090416715e-01,6.091274425434278989e-04
9.350000000000001421e+00,9.936987270867063682e-01,6.399179478497142365e-04
9.449999999999999289e+00,9.920944629990087194e-01,8.151464150777697811e-04
9.550000000000000711e+00,9.941512497912727842e-01,5.425638936518152296e-04
9.650000000000002132e+00,9.919764614774397860e-01,5.849693357161721632e-04
9.750000000000000000e+00,9.916966943066125584e-01,8.993827706489207659e-04
9.850000000000001421e+00,9.916402601539708872e-01,4.693085879539649606e-04
9.949999999999999289e+00,9.930675505379117363e-01,8.379225852596137265e-04
