r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,4.442722262602523327e-05,3.490532265349650879e-06
9.499999999999999556e-01,1.256161631914831933e-01,1.368057904383201192e-04
1.050000000000000044e+00,8.781014468377511539e-01,3.572737200436533023e-04
1.150000000000000133e+00,1.127592290904646299e+00,6.212959641701189684e-04
1.250000000000000000e+00,1.099287075473464270e+00,4.672284564720804913e-04
1.350000000000000089e+00,1.073090818026196880e+00,5.113240372511532921e-04
1.450000000000000178e+00,1.050348525622859741e+00,4.332710713036975309e-04
1.550000000000000044e+00,1.031498779843619928e+00,4.815189254320796077e-04
1.650000000000000133e+00,1.016586822203322749e+00,3.574356067833069452e-04
1.750000000000000000e+00,1.004810558052998237e+00,2.976569122931120234e-04
1.850000000000000089e+00,9.979534938280197887e-01,3.977402963871829681e-04
1.950000000000000178e+00,9.957954081252513578e-01,2.360556309648159201e-04
2.049999999999999822e+00,9.952101561322083123e-01,3.547404935373210731e-04
2.150000000000000355e+00,9.967190793525281256e-01,1.922079944565307521e-04
2.250000000000000000e+00,9.983930170841837093e-01,2.037863800540488501e-04
2.350000000000000533e+00,9.992195874954228341e-01,2.965750175682918587e-04
2.450000000000000178e+00,9.995983046535575900e-01,2.804112929033808531e-04
2.549999999999999822e+00,1.000032946621777441e+00,2.714683089626755089e-04
2.650000000000000355e+00,1.000080092073821092e+00,1.916849970142915909e-04
2.750000000000000000e+00,9.999837702046121546e-01,3.223707704892686239e-04
2.850000000000000533e+00,9.993921674408842160e-01,1.010966799187344825e-04
2.950000000000000178e+00,9.997962408622885766e-01,1.341205743350957276e-04
3.049999999999999822e+00,9.998505779089790213e-01,1.099250413439413205e-04
3.150000000000000355e+00,9.998614925529126785e-01,1.843033459913159474e-04
3.250000000000000000e+00,1.000034716772606913e+00,2.210411004675817909e-04
3.350000000000000533e+00,9.996672841872834558e-01,1.538379383370459873e-04
3.450000000000000178e+00,9.995940331999880746e-01,1.871307430039986102e-04
3.549999999999999822e+00,9.997692255944153894e-01,1.865207363146910728e-04
3.650000000000000355e+00,9.997719802510562914e-01,9.983105836296077241e-05
3.750000000000000000e+00,9.998649448897978242e-01,1.815429885555450986e-04
3.850000000000000533e+00,9.994507273038679696e-01,1.780924169853282128e-04
3.950000000000000178e+00,9.996113452819470613e-01,1.511624221248648078e-04
4.050000000000000711e+00,9.998655328969533462e-01,1.171604299348294470e-04
4.150000000000000355e+00,9.994727109855725544e-01,1.447484876200910513e-04
4.250000000000000000e+00,9.997930592741870459e-01,1.517960282011844651e-04
4.349999999999999645e+00,9.995005048861222985e-01,1.514900405297857735e-04
4.450000000000000178e+00,9.996402872960477026e-01,1.163448194441173752e-04
4.550000000000000711e+00,9.995133817541044241e-01,1.429904192820393024e-04
4.650000000000000355e+00,9.997507438526735957e-01,7.555264969833356864e-05
4.750000000000000000e+00,9.996193219743740865e-01,1.464402397997060666e-04
4.850000000000000533e+00,9.997104130076526207e-01,1.540054371837863787e-04
4.950000000000000178e+00,9.996371434664663713e-01,1.460973585481473700e-04
5.050000000000000711e+00,9.997097905669735107e-01,1.082204470311656558e-04
5.150000000000000355e+00,9.997049326969978944e-01,9.574532380026267039e-05
5.250000000000000000e+00,9.996504219154184190e-01,1.007655030534575073e-04
5.350000000000000533e+00,9.997201662434566094e-01,6.521760455981648363e-05
5.450000000000000178e+00,9.997258529854594622e-01,9.091124793392628954e-05
5.550000000000000711e+00,9.998071541553326114e-01,7.461805759663711830e-05
5.650000000000000355e+00,9.996746069959308034e-01,8.863916415176577800e-05
5.750000000000000000e+00,9.997319093801163570e-01,1.137550651517164169e-04
5.850000000000000533e+00,9.997694345479425371e-01,1.044465465041359949e-04
5.950000000000000178e+00,9.996767196195073257e-01,1.075844894060871677e-04
6.050000000000000711e+00,9.997361779142345251e-01,9.014801715780275783e-05
6.150000000000000355e+00,9.995977423404018847e-01,1.171673847109292219e-04
6.250000000000000000e+00,9.997231216273565479e-01,5.531282467374743720e-05
6.350000000000000533e+00,9.998247975785353736e-01,6.651626653075903633e-05
6.450000000000000178e+00,9.998021812384740858e-01,1.064571983409181530e-04
6.550000000000000711e+00,9.996832735868093067e-01,9.694265149966325361e-05
6.650000000000000355e+00,9.998485558163009435e-01,9.035918229959254264e-05
6.750000000000000000e+00,9.999263161379531306e-01,7.784156945489982234e-05
6.850000000000000533e+00,9.995790753851931942e-01,1.226135987810165367e-04
6.950000000000000178e+00,9.998113142897038230e-01,9.363506350595987039e-05
7.050000000000000711e+00,9.997858881434918965e-01,6.060144635738582439e-05
7.150000000000000355e+00,9.997197105160605668e-01,7.270109197049924414e-05
7.250000000000000000e+00,9.998669032296401138e-01,8.023934814014341103e-05
7.350000000000000533e+00,9.996626562030801466e-01,4.647837052113343276e-05
7.450000000000000178e+00,9.997705675592761798e-01,8.649382399619289267e-05
7.550000000000000711e+00,9.998375239663301883e-01,8.771513008973407942e-05
7.650000000000000355e+00,9.998056364966465548e-01,6.749432045046305478e-05
7.750000000000000000e+00,9.997850837691799608e-01,7.151892340035103073e-05
7.850000000000000533e+00,9.995300535883867576e-01,5.886537853406977093e-05
7.950000000000000178e+00,9.998155194862015094e-01,1.207624007590369925e-04
8.050000000000000711e+00,9.997957202341110072e-01,6.740273499536951485e-05
8.150000000000000355e+00,9.997564318787220961e-01,5.257777124752136780e-05
8.250000000000000000e+00,9.997825137375576654e-01,6.940148519177488152e-05
8.350000000000001421e+00,9.997109386778131324e-01,6.825026319315466742e-05
8.449999999999999289e+00,9.996873409877355954e-01,5.424000294004611077e-05
8.550000000000000711e+00,9.996585434212615917e-01,4.810285971635902406e-05
8.650000000000000355e+00,9.997504770279075359e-01,4.809020420383744882e-05
8.750000000000000000e+00,9.997436705200668516e-01,8.258439630413941495e-05
8.850000000000001421e+00,9.998346582869747090e-01,3.820906790373019825e-05
8.949999999999999289e+00,9.996793036324934656e-01,5.011271634075821989e-05
9.050000000000000711e+00,9.996690663770234631e-01,7.633106097204941541e-05
9.150000000000000355e+00,9.996917313532938110e-01,6.402004025242655498e-05
9.250000000000000000e+00,9.996709856113377146e-01,4.036593690034630315e-05
9.350000000000001421e+00,9.996524082861506511e-01,3.480411569911953635e-05
9.449999999999999289e+00,9.996908692510860783e-01,6.546807710102332378e-05
9.550000000000000711e+00,9.996332072398080859e-01,5.731140005479948925e-05
9.650000000000002132e+00,9.996853326739778556e-01,4.943463974514776131e-05
9.750000000000000000e+00,9.997440411235665181e-01,5.331800918036957906e-05
9.850000000000001421e+00,9.996975355002108987e-01,4.208290114125167434e-05
9.949999999999999289e+00,9.997699626202184442e-01,5.892310765903514759e-05
