r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,7.221042123009955736e-04,1.365026656985520706e-04
9.499999999999999556e-01,1.210937069417781675e+00,9.557209568438420136e-03
1.050000000000000044e+00,6.434839019631493962e+00,3.983909409554894226e-02
1.150000000000000133e+00,6.281336358374368878e+00,4.825172456014284461e-02
1.250000000000000000e+00,4.221778873741522276e+00,3.255490182501475510e-02
1.350000000000000089e+00,2.939248837802171721e+00,2.623537032570659802e-02
1.450000000000000178e+00,2.266023339108743428e+00,2.055215565912340767e-02
1.550000000000000044e+00,1.912707571225249925e+00,1.898150948955874481e-02
1.650000000000000133e+00,1.714572675462758600e+00,1.665827828886603384e-02
1.750000000000000000e+00,1.615031375499612620e+00,1.726387925155927969e-02
1.850000000000000089e+00,1.552346851710774356e+00,1.601049758188801547e-02
1.950000000000000178e+00,1.527211937206775616e+00,1.679026087861031427e-02
2.049999999999999822e+00,1.512391454934059354e+00,1.773124293769394802e-02
2.150000000000000355e+00,1.468398244384316875e+00,1.729326563729107966e-02
2.250000000000000000e+00,1.408021773662245568e+00,1.734521126176367944e-02
2.350000000000000533e+00,1.337692261866383348e+00,1.551652964754279308e-02
2.450000000000000178e+00,1.274209205003276724e+00,1.398012010958354402e-02
2.549999999999999822e+00,1.231035806133780275e+00,1.284159625612367635e-02
2.650000000000000355e+00,1.198991543811496641e+00,1.283575377412900058e-02
2.750000000000000000e+00,1.169436306526427938e+00,1.201703182580176298e-02
2.850000000000000533e+00,1.149626843197313120e+00,1.146018794586782345e-02
2.950000000000000178e+00,1.132962098792317907e+00,1.091397590207318809e-02
3.049999999999999822e+00,1.115272171892001785e+00,1.128420173030566555e-02
3.150000000000000355e+00,1.104106787722355820e+00,1.129952312727562636e-02
3.250000000000000000e+00,1.091431955813062515e+00,9.960904811325938316e-03
3.350000000000000533e+00,1.078482394442044745e+00,9.555490520449953784e-03
3.450000000000000178e+00,1.070379515139585624e+00,9.081940395350445241e-03
3.549999999999999822e+00,1.057885912694815689e+00,8.384175946561531201e-03
3.650000000000000355e+00,1.048321662478213678e+00,7.698915112169240661e-03
3.750000000000000000e+00,1.044444381083055262e+00,8.552137306402170583e-03
3.850000000000000533e+00,1.039105166854509488e+00,7.251137318711433494e-03
3.950000000000000178e+00,1.034303539661989735e+00,7.359607597675299658e-03
4.050000000000000711e+00,1.028953036507905594e+00,6.908679211078046570e-03
4.150000000000000355e+00,1.026214940951516663e+00,6.586519262121066053e-03
4.250000000000000000e+00,1.021928682820470113e+00,6.191508204020046598e-03
4.349999999999999645e+00,1.017394129910621725e+00,6.200553031501327729e-03
4.450000000000000178e+00,1.013688788439851329e+00,5.591580014481151162e-03
4.550000000000000711e+00,1.009402437635233962e+00,5.228110550733660288e-03
4.650000000000000355e+00,1.009090825894859655e+00,5.002085361399464039e-03
4.750000000000000000e+00,1.006936357871336174e+00,4.979011560172343608e-03
4.850000000000000533e+00,1.004899734587502369e+00,4.674235948921050786e-03
4.950000000000000178e+00,1.003047260370391491e+00,4.148671839696655567e-03
5.050000000000000711e+00,1.002053552600948860e+00,4.046004417812624522e-03
5.150000000000000355e+00,1.000251401197746137e+00,3.749257545200124393e-03
5.250000000000000000e+00,1.000127152672394493e+00,3.906954652624674597e-03
5.350000000000000533e+00,9.992863084010801256e-01,3.519166793951603468e-03
5.450000000000000178e+00,9.974574431382456918e-01,3.888075693219450110e-03
5.550000000000000711e+00,9.979408056632330659e-01,3.686862883040035142e-03
5.650000000000000355e+00,9.965291691459325918e-01,3.118886312939514981e-03
5.750000000000000000e+00,9.964175563491831644e-01,2.946814590943894370e-03
5.850000000000000533e+00,9.956877648459151464e-01,2.868816441337095503e-03
5.950000000000000178e+00,9.944340205292142576e-01,2.939404994581517033e-03
6.050000000000000711e+00,9.927259497596325755e-01,2.878986691990286732e-03
6.150000000000000355e+00,9.933216214653016740e-01,2.799044898910087956e-03
6.250000000000000000e+00,9.932596675120674012e-01,1.948783972277304830e-03
6.350000000000000533e+00,9.917285433457291299e-01,2.170315238226150096e-03
6.450000000000000178e+00,9.916127863068282533e-01,1.994549235161148341e-03
6.550000000000000711e+00,9.915777295899100841e-01,1.779976108329978188e-03
6.650000000000000355e+00,9.903662021784711555e-01,2.153193589276894502e-03
6.750000000000000000e+00,9.899219644965248088e-01,1.981426733320669487e-03
6.850000000000000533e+00,9.895327641659813489e-01,1.998573839345689322e-03
6.950000000000000178e+00,9.891261408364128149e-01,1.931797516471247785e-03
7.050000000000000711e+00,9.875917638166271662e-01,1.778656203256623108e-03
7.150000000000000355e+00,9.893756770033933501e-01,1.949609526667021126e-03
7.250000000000000000e+00,9.882352966445908660e-01,1.839261499407003403e-03
7.350000000000000533e+00,9.866839245154555016e-01,2.192359600254395729e-03
7.450000000000000178e+00,9.868463193558063562e-01,2.042795448224039075e-03
7.550000000000000711e+00,9.861193937321253156e-01,1.811357458588114516e-03
7.650000000000000355e+00,9.859526000412894842e-01,1.828199721872332279e-03
7.750000000000000000e+00,9.850375978464868121e-01,2.137171879551816572e-03
7.850000000000000533e+00,9.857406481511553631e-01,1.989698176126763161e-03
7.950000000000000178e+00,9.846673624020780835e-01,2.194446547518880131e-03
8.050000000000000711e+00,9.844610847202224235e-01,2.303453713954249898e-03
8.150000000000000355e+00,9.846340966048655607e-01,1.999881065206502752e-03
8.250000000000000000e+00,9.831657248740007793e-01,1.965909812989443620e-03
8.350000000000001421e+00,9.832500310727260162e-01,2.153731854328121142e-03
8.449999999999999289e+00,9.831052295418984954e-01,2.109523812917229492e-03
8.550000000000000711e+00,9.829388329680790459e-01,2.155065471735609188e-03
8.650000000000000355e+00,9.825408201453216250e-01,2.417108962513691856e-03
8.750000000000000000e+00,9.831348024833947985e-01,2.386184573048987564e-03
8.850000000000001421e+00,9.817234529025263834e-01,2.145574519413664342e-03
8.949999999999999289e+00,9.806983691413158066e-01,2.151935333617063881e-03
9.050000000000000711e+00,9.814064051855606596e-01,2.150590005847160396e-03
9.150000000000000355e+00,9.816600927513382535e-01,2.313752477670881231e-03
9.250000000000000000e+00,9.814350735251826663e-01,2.182906297490975513e-03
9.350000000000001421e+00,9.808920692494386140e-01,2.400984426030611501e-03
9.449999999999999289e+00,9.813202068365898256e-01,2.644649493014385611e-03
9.550000000000000711e+00,9.726905416840919694e-01,2.531040233457695042e-03
9.650000000000002132e+00,9.420179366786196606e-01,2.272762643555123474e-03
9.750000000000000000e+00,9.124961175728104612e-01,2.035316226019181357e-03
9.850000000000001421e+00,8.821416451978267848e-01,2.031176480909466318e-03
9.949999999999999289e+00,8.535945999354226377e-01,1.646687054154145555e-03
