r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,6.701050020249798970e-05,4.238116155741360560e-05
9.499999999999999556e-01,3.543028126407705147e-01,4.378987220475249152e-03
1.050000000000000044e+00,2.418640756002184755e+00,1.677927614134605561e-02
1.150000000000000133e+00,2.957538555843508554e+00,1.808792735173438138e-02
1.250000000000000000e+00,2.364802552459610130e+00,1.798582717325604430e-02
1.350000000000000089e+00,1.857415726699271019e+00,1.345799743447147548e-02
1.450000000000000178e+00,1.529910729975424655e+00,1.161795919801057383e-02
1.550000000000000044e+00,1.345511965908239960e+00,1.059296121131268059e-02
1.650000000000000133e+00,1.234709394308863839e+00,1.049249900326317854e-02
1.750000000000000000e+00,1.162653543123319810e+00,8.971394238180118580e-03
1.850000000000000089e+00,1.126786258817385811e+00,8.021848418422711235e-03
1.950000000000000178e+00,1.095763715904830793e+00,7.138430624510035127e-03
2.049999999999999822e+00,1.085118406808057046e+00,8.479916848700919108e-03
2.150000000000000355e+00,1.064296830069278554e+00,6.923551033430059079e-03
2.250000000000000000e+00,1.056334379334988638e+00,6.310912067244712521e-03
2.350000000000000533e+00,1.038376290327492901e+00,7.303999639884500676e-03
2.450000000000000178e+00,1.025236840371888558e+00,7.315505224132820734e-03
2.549999999999999822e+00,1.018582649744106172e+00,3.995300863405871344e-03
2.650000000000000355e+00,1.015601679453585371e+00,5.671454858042147135e-03
2.750000000000000000e+00,1.013679000057707613e+00,5.819992708465616428e-03
2.850000000000000533e+00,1.004565462380978769e+00,4.694973154796468033e-03
2.950000000000000178e+00,1.005520222072088687e+00,5.656878304560721861e-03
3.049999999999999822e+00,1.000555627163841166e+00,5.841865098397144504e-03
3.150000000000000355e+00,9.993331268336049789e-01,5.302728659790425896e-03
3.250000000000000000e+00,1.001232874183693555e+00,4.843679274723049905e-03
3.350000000000000533e+00,9.998543394185537281e-01,4.989019141135250107e-03
3.450000000000000178e+00,9.975007605599761629e-01,4.033732896437466735e-03
3.549999999999999822e+00,9.967390719049786796e-01,4.776218413914258380e-03
3.650000000000000355e+00,9.972999644458593327e-01,4.004957727244895342e-03
3.750000000000000000e+00,9.975820287275428688e-01,4.119792177588036883e-03
3.850000000000000533e+00,9.966122101322959503e-01,3.205026630397919771e-03
3.950000000000000178e+00,9.973372445303978484e-01,4.019943385622505930e-03
4.050000000000000711e+00,9.961174720016151563e-01,3.564600062316671588e-03
4.150000000000000355e+00,9.947900565646857762e-01,4.127865919901452414e-03
4.250000000000000000e+00,9.966665838843896674e-01,2.829075292303170723e-03
4.349999999999999645e+00,9.947494751120549150e-01,3.958304241358937339e-03
4.450000000000000178e+00,9.960836992966243253e-01,3.554302561312758495e-03
4.550000000000000711e+00,9.945546207216529044e-01,3.904937201594895109e-03
4.650000000000000355e+00,9.935344816770053100e-01,2.661890091419614156e-03
4.750000000000000000e+00,9.938251750962836528e-01,3.682504609406737819e-03
4.850000000000000533e+00,9.951091232789293084e-01,3.373422632964939629e-03
4.950000000000000178e+00,9.916653476668935152e-01,2.695292368748564409e-03
5.050000000000000711e+00,9.945523710022172725e-01,3.064484601116930669e-03
5.150000000000000355e+00,9.949783495142561218e-01,2.986629611391561270e-03
5.250000000000000000e+00,9.936622403059672815e-01,2.488146539691947923e-03
5.350000000000000533e+00,9.947838179673313963e-01,2.733361693162411708e-03
5.450000000000000178e+00,9.923521017597751737e-01,1.886983920964657030e-03
5.550000000000000711e+00,9.925905687619884787e-01,2.568030155022774357e-03
5.650000000000000355e+00,9.933938891431374207e-01,2.999249714069181227e-03
5.750000000000000000e+00,9.936879962266829125e-01,2.453570750369492640e-03
5.850000000000000533e+00,9.934623595693391485e-01,2.133030813874482300e-03
5.950000000000000178e+00,9.933742797718526640e-01,2.130881055313432922e-03
6.050000000000000711e+00,9.934291368497856212e-01,1.880895778953825320e-03
6.150000000000000355e+00,9.936741108047421056e-01,1.514100370826370907e-03
6.250000000000000000e+00,9.939439742820177504e-01,1.495684024290757936e-03
6.350000000000000533e+00,9.944728347151752246e-01,1.695128345454767396e-03
6.450000000000000178e+00,9.936408296731729095e-01,1.779257160334317888e-03
6.550000000000000711e+00,9.924419781813643704e-01,1.029669451810199914e-03
6.650000000000000355e+00,9.932519666257334512e-01,1.340510628716970899e-03
6.750000000000000000e+00,9.932185791563041821e-01,1.283280241986671944e-03
6.850000000000000533e+00,9.921992517601185835e-01,1.171302018538118673e-03
6.950000000000000178e+00,9.934861199163924628e-01,1.190882957197730027e-03
7.050000000000000711e+00,9.935630147228258213e-01,1.270538396909528123e-03
7.150000000000000355e+00,9.933095511337965977e-01,8.954333862506699609e-04
7.250000000000000000e+00,9.940484038102901376e-01,1.217190070045023756e-03
7.350000000000000533e+00,9.933805306331413565e-01,7.200270366147095650e-04
7.450000000000000178e+00,9.925944327330091799e-01,9.792865596105911584e-04
7.550000000000000711e+00,9.926295430402316544e-01,9.517624131868318484e-04
7.650000000000000355e+00,9.928015064843049853e-01,1.266850601219039101e-03
7.750000000000000000e+00,9.922185207119250672e-01,9.782543470487012078e-04
7.850000000000000533e+00,9.915807722633006582e-01,9.897231518131938219e-04
7.950000000000000178e+00,9.915620458437791607e-01,7.863402702210166339e-04
8.050000000000000711e+00,9.916985917699617792e-01,1.050803140989158609e-03
8.150000000000000355e+00,9.923012407977358507e-01,1.004257993688267240e-03
8.250000000000000000e+00,9.919218610307313222e-01,9.695305070126693930e-04
8.350000000000001421e+00,9.921786100103011652e-01,8.842922066831986148e-04
8.449999999999999289e+00,9.920714481781031102e-01,8.870996449856009781e-04
8.550000000000000711e+00,9.916089766055332655e-01,1.028305775795744026e-03
8.650000000000000355e+00,9.926937709102423568e-01,9.177820220667507866e-04
8.750000000000000000e+00,9.915814263038701393e-01,1.198101727848879935e-03
8.850000000000001421e+00,9.918192265271823516e-01,9.263106221454746369e-04
8.949999999999999289e+00,9.918832948691937990e-01,1.081595901201584361e-03
9.050000000000000711e+00,9.910339090056814459e-01,1.246622521348506431e-03
9.150000000000000355e+00,9.907203432887916605e-01,9.381181473754271211e-04
9.250000000000000000e+00,9.901030742736803836e-01,8.482306592462299276e-04
9.350000000000001421e+00,9.904203592426454872e-01,9.606150089210768262e-04
9.449999999999999289e+00,9.904792070174659457e-01,1.178777903082908144e-03
9.550000000000000711e+00,9.746217406804440486e-01,1.172243563177071063e-03
9.650000000000002132e+00,9.433048720589651825e-01,6.917283521295224417e-04
9.750000000000000000e+00,9.136605157120923915e-01,1.089547922940580903e-03
9.850000000000001421e+00,8.839932833457797567e-01,4.721706450033627328e-04
9.949999999999999289e+00,8.543411175230950505e-01,8.378125826149018058e-04
