r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.207210543497123239e-04,1.482596077164756782e-05
9.499999999999999556e-01,3.227962431049555825e-01,1.417751663598867560e-03
1.050000000000000044e+00,2.213648142451061229e+00,7.183532585802541309e-03
1.150000000000000133e+00,2.727119330169326172e+00,9.874328064923635837e-03
1.250000000000000000e+00,2.185213563141312321e+00,7.311281434854441721e-03
1.350000000000000089e+00,1.722620044969898290e+00,5.492334975491420905e-03
1.450000000000000178e+00,1.445148518664060688e+00,4.285944318308620646e-03
1.550000000000000044e+00,1.286154745876241678e+00,3.839627772247297330e-03
1.650000000000000133e+00,1.200392128326665198e+00,3.746489117813271274e-03
1.750000000000000000e+00,1.157402210640550155e+00,4.011412462418183396e-03
1.850000000000000089e+00,1.146504544872672504e+00,3.990674025280612283e-03
1.950000000000000178e+00,1.153580908924813908e+00,4.415016002408280946e-03
2.049999999999999822e+00,1.168792925565526497e+00,4.441241652974891457e-03
2.150000000000000355e+00,1.173683244991701624e+00,4.729650593000277528e-03
2.250000000000000000e+00,1.162189170824640128e+00,4.461270163862546614e-03
2.350000000000000533e+00,1.139138731303199981e+00,4.258901595413634028e-03
2.450000000000000178e+00,1.114373464312451212e+00,4.247712297044347295e-03
2.549999999999999822e+00,1.094571540742736548e+00,3.856191148860957981e-03
2.650000000000000355e+00,1.081537193377225758e+00,3.864838357842155427e-03
2.750000000000000000e+00,1.070708328871385007e+00,3.611341095072871134e-03
2.850000000000000533e+00,1.062954911790369827e+00,3.691669376415022703e-03
2.950000000000000178e+00,1.057851515896498951e+00,3.569004173282865240e-03
3.049999999999999822e+00,1.052954655532676087e+00,3.589009382107832997e-03
3.150000000000000355e+00,1.048952515513991823e+00,3.590734512247742427e-03
3.250000000000000000e+00,1.043979684242134054e+00,3.449316192167349755e-03
3.350000000000000533e+00,1.039474260690834262e+00,3.184702236390303792e-03
3.450000000000000178e+00,1.035169110396131131e+00,3.106276220371187707e-03
3.549999999999999822e+00,1.030545088596828807e+00,3.105260814398273523e-03
3.650000000000000355e+00,1.027490042432113615e+00,3.007163791978791773e-03
3.750000000000000000e+00,1.024648891515739679e+00,2.805049974108325683e-03
3.850000000000000533e+00,1.021636324520719175e+00,2.759383772122355003e-03
3.950000000000000178e+00,1.019336173354015607e+00,2.835658139726212387e-03
4.050000000000000711e+00,1.017400752184794088e+00,2.599942101692700753e-03
4.150000000000000355e+00,1.015445512599626232e+00,2.506196763891924573e-03
4.250000000000000000e+00,1.013808744927795047e+00,2.449658994507553957e-03
4.349999999999999645e+00,1.012011048432974070e+00,2.413405055039094353e-03
4.450000000000000178e+00,1.010930341757842577e+00,2.352511962102365496e-03
4.550000000000000711e+00,1.009660965818374390e+00,2.296355040999805905e-03
4.650000000000000355e+00,1.008330647989016615e+00,2.176214040646966361e-03
4.750000000000000000e+00,1.007281292188236144e+00,2.023429491724827722e-03
4.850000000000000533e+00,1.006442446533279966e+00,2.040595247079834106e-03
4.950000000000000178e+00,1.005522425113599017e+00,1.934570420504963138e-03
5.050000000000000711e+00,1.004647433023689640e+00,1.967429290677456637e-03
5.150000000000000355e+00,1.004212176570682846e+00,1.869071720673905895e-03
5.250000000000000000e+00,1.003241734922098560e+00,1.809698876679642068e-03
5.350000000000000533e+00,1.002445810991667852e+00,1.877445821878133631e-03
5.450000000000000178e+00,1.002216702722964037e+00,1.728748633105102201e-03
5.550000000000000711e+00,1.001518037656016435e+00,1.687497192382571938e-03
5.650000000000000355e+00,1.001345168336706504e+00,1.690889612011364004e-03
5.750000000000000000e+00,1.000902233938782526e+00,1.643917518658247591e-03
5.850000000000000533e+00,1.000452552183511923e+00,1.470703070994795183e-03
5.950000000000000178e+00,1.000106236090292144e+00,1.368512886009817060e-03
6.050000000000000711e+00,9.995181398699131137e-01,1.372371416049766304e-03
6.150000000000000355e+00,9.995265856047004238e-01,1.395822255235713112e-03
6.250000000000000000e+00,9.991109644818246815e-01,1.302029900917141790e-03
6.350000000000000533e+00,9.987900521472546922e-01,1.181105147392636293e-03
6.450000000000000178e+00,9.983740470366413433e-01,1.179287824078252903e-03
6.550000000000000711e+00,9.982562235155889585e-01,1.238648002239824174e-03
6.650000000000000355e+00,9.981000923092760990e-01,1.157023262300563510e-03
6.750000000000000000e+00,9.980278000431793695e-01,1.139728744338916466e-03
6.850000000000000533e+00,9.979175939289911534e-01,1.036868910058734786e-03
6.950000000000000178e+00,9.978997151367234864e-01,1.024688612019920364e-03
7.050000000000000711e+00,9.975521280551864489e-01,1.051973514869784711e-03
7.150000000000000355e+00,9.975978821254122275e-01,9.899527792292740942e-04
7.250000000000000000e+00,9.973769795029392426e-01,9.098199614987921222e-04
7.350000000000000533e+00,9.972406745430072439e-01,8.623651229795654700e-04
7.450000000000000178e+00,9.971201303497434498e-01,8.608826494116105215e-04
7.550000000000000711e+00,9.967758640208218557e-01,9.048183149739057315e-04
7.650000000000000355e+00,9.966815815665599487e-01,8.322134877613596724e-04
7.750000000000000000e+00,9.967253216901864610e-01,7.898771596237858959e-04
7.850000000000000533e+00,9.964127268288759387e-01,6.756733253811472717e-04
7.950000000000000178e+00,9.965461018957272321e-01,6.627879080526100693e-04
8.050000000000000711e+00,9.963717687599853434e-01,6.827870564101544545e-04
8.150000000000000355e+00,9.962972474533261513e-01,6.910412782960018976e-04
8.250000000000000000e+00,9.960262781723431269e-01,5.537597162627498713e-04
8.350000000000001421e+00,9.961774118213527762e-01,5.613913529446744148e-04
8.449999999999999289e+00,9.957186658472997332e-01,5.871615400861071284e-04
8.550000000000000711e+00,9.957557220304943391e-01,4.909043677036541067e-04
8.650000000000000355e+00,9.956097443971477778e-01,4.837739403822791584e-04
8.750000000000000000e+00,9.956143191324915431e-01,5.067141418272333485e-04
8.850000000000001421e+00,9.957582450058259926e-01,3.908545326867800436e-04
8.949999999999999289e+00,9.956106073256117961e-01,4.368594012162790581e-04
9.050000000000000711e+00,9.954524931013001288e-01,4.044924112357688563e-04
9.150000000000000355e+00,9.954961407476421442e-01,4.228586721035961079e-04
9.250000000000000000e+00,9.954426106995976076e-01,3.872665318197314704e-04
9.350000000000001421e+00,9.952081474376841541e-01,3.828664702881020708e-04
9.449999999999999289e+00,9.951130509302386074e-01,3.532446767978000488e-04
9.550000000000000711e+00,9.952938645653063299e-01,3.891839901682156259e-04
9.650000000000002132e+00,9.951534886058832630e-01,4.311018304997971660e-04
9.750000000000000000e+00,9.950524309994183136e-01,3.514914501884221307e-04
9.850000000000001421e+00,9.944416372388978909e-01,3.553396085397821308e-04
9.949999999999999289e+00,9.745049443985832616e-01,3.160646126904474913e-04
