r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.896107951192853410e-04,6.040579185963583422e-05
9.499999999999999556e-01,4.841036006011140702e-01,1.317212475829763075e-03
1.050000000000000044e+00,2.505225229659622688e+00,4.172955762608632387e-03
1.150000000000000133e+00,2.428686014899448686e+00,2.866270701379384448e-03
1.250000000000000000e+00,1.883236547048213083e+00,2.934378660209722468e-03
1.350000000000000089e+00,1.548138302533085708e+00,1.773316848133067291e-03
1.450000000000000178e+00,1.352869130578936874e+00,1.398345423028130160e-03
1.550000000000000044e+00,1.223070657978454934e+00,1.186815502088482688e-03
1.650000000000000133e+00,1.140638659387391840e+00,2.227975099629816644e-03
1.750000000000000000e+00,1.091271458926897031e+00,1.016506120007844727e-03
1.850000000000000089e+00,1.061977567981480686e+00,1.731462661761510192e-03
1.950000000000000178e+00,1.049431613136093011e+00,1.263329270596440755e-03
2.049999999999999822e+00,1.041126698246410909e+00,1.238675509964348156e-03
2.150000000000000355e+00,1.034662312027325282e+00,8.168982160314761662e-04
2.250000000000000000e+00,1.031017071452574374e+00,1.147619975701936893e-03
2.350000000000000533e+00,1.024799785848348410e+00,6.323511022368739866e-04
2.450000000000000178e+00,1.018972832063310463e+00,1.162623459843519814e-03
2.549999999999999822e+00,1.013675566203110501e+00,8.896631589950680435e-04
2.650000000000000355e+00,1.009626406251571851e+00,1.072516991536043513e-03
2.750000000000000000e+00,1.005602344118414537e+00,1.080440385289720053e-03
2.850000000000000533e+00,1.004803871098463697e+00,9.137696967589123247e-04
2.950000000000000178e+00,1.003871980033062439e+00,8.188660612223891541e-04
3.049999999999999822e+00,1.001650929056500328e+00,9.182752131953206363e-04
3.150000000000000355e+00,1.000611314179713940e+00,9.183575864680177748e-04
3.250000000000000000e+00,9.999898272878766647e-01,7.166454140049507851e-04
3.350000000000000533e+00,9.986817495585598170e-01,5.029745254241737868e-04
3.450000000000000178e+00,9.988620812785867775e-01,7.771436633329081292e-04
3.549999999999999822e+00,9.980529373026211237e-01,9.953221802140000633e-04
3.650000000000000355e+00,9.986171730399366897e-01,7.491937626677262763e-04
3.750000000000000000e+00,9.987605821284372132e-01,5.821189113305642480e-04
3.850000000000000533e+00,9.969315400892584389e-01,6.889540947928988763e-04
3.950000000000000178e+00,9.967097320076900857e-01,7.656115459608901297e-04
4.050000000000000711e+00,9.965841676925064618e-01,7.694336728473529516e-04
4.150000000000000355e+00,9.961024574164637491e-01,7.199457963981894127e-04
4.250000000000000000e+00,9.965731297714144343e-01,6.788767952268209404e-04
4.349999999999999645e+00,9.974264697251491452e-01,7.837688427409223021e-04
4.450000000000000178e+00,9.963584400066508584e-01,7.237952994957619086e-04
4.550000000000000711e+00,9.968479324745915804e-01,6.999750125148427107e-04
4.650000000000000355e+00,9.974516343046209155e-01,7.314930503565965489e-04
4.750000000000000000e+00,9.970359009592911770e-01,4.890404815188848170e-04
4.850000000000000533e+00,9.972326195993174158e-01,4.091294203692378922e-04
4.950000000000000178e+00,9.968708361914924154e-01,5.260638008455138272e-04
5.050000000000000711e+00,9.969894101538688824e-01,6.436378841921315845e-04
5.150000000000000355e+00,9.966861187763834673e-01,4.982086189808962538e-04
5.250000000000000000e+00,9.977650586593374005e-01,3.787466881439551848e-04
5.350000000000000533e+00,9.968893630669388717e-01,5.047920535793563391e-04
5.450000000000000178e+00,9.970025613056808789e-01,6.147101372548545916e-04
5.550000000000000711e+00,9.975081605781715988e-01,5.063920748729842632e-04
5.650000000000000355e+00,9.973991758787956741e-01,5.744112508018001583e-04
5.750000000000000000e+00,9.972280105841269116e-01,6.356594193625376499e-04
5.850000000000000533e+00,9.965344106143996239e-01,4.343661542962092134e-04
5.950000000000000178e+00,9.967964226502907810e-01,7.117968687791081158e-04
6.050000000000000711e+00,9.977183313581423629e-01,4.928872093605951707e-04
6.150000000000000355e+00,9.969367923638845497e-01,5.824153850201471390e-04
6.250000000000000000e+00,9.969363717812331771e-01,5.121308734607823987e-04
6.350000000000000533e+00,9.970056755681435678e-01,7.011830400347539120e-04
6.450000000000000178e+00,9.972630798377490891e-01,5.318289604230833252e-04
6.550000000000000711e+00,9.967757223440443237e-01,5.107637886410407255e-04
6.650000000000000355e+00,9.967734273621454699e-01,5.870508609038642411e-04
6.750000000000000000e+00,9.970812946906146834e-01,4.883813274047874974e-04
6.850000000000000533e+00,9.971544866301871313e-01,4.188983095516086433e-04
6.950000000000000178e+00,9.971385958310493569e-01,5.630199333070662858e-04
7.050000000000000711e+00,9.970210640981337358e-01,4.896992330965599730e-04
7.150000000000000355e+00,9.973347906590793732e-01,4.420313111392475147e-04
7.250000000000000000e+00,9.973482955192946031e-01,5.206065280232388031e-04
7.350000000000000533e+00,9.971089196198216209e-01,4.192007717893193007e-04
7.450000000000000178e+00,9.970319724893922375e-01,3.172581201209614672e-04
7.550000000000000711e+00,9.968293394783674932e-01,4.232109631393683714e-04
7.650000000000000355e+00,9.969263448269846117e-01,4.510380357758783675e-04
7.750000000000000000e+00,9.974046268406340232e-01,3.315944562102624894e-04
7.850000000000000533e+00,9.966904125712126028e-01,2.973015970315415874e-04
7.950000000000000178e+00,9.969825128047021812e-01,3.006526584991982515e-04
8.050000000000000711e+00,9.969416484873481199e-01,2.915932996212968874e-04
8.150000000000000355e+00,9.966084248660349587e-01,3.770624358526804471e-04
8.250000000000000000e+00,9.974350560988687331e-01,3.710914340753755127e-04
8.350000000000001421e+00,9.973335010612046636e-01,2.163875016308789388e-04
8.449999999999999289e+00,9.964526633889809748e-01,2.572354342674685831e-04
8.550000000000000711e+00,9.968575484526619457e-01,2.530914284042128678e-04
8.650000000000000355e+00,9.966311978254479564e-01,2.380136051033329995e-04
8.750000000000000000e+00,9.966787274164030652e-01,1.710522517723748819e-04
8.850000000000001421e+00,9.968281422924381019e-01,2.814446748675906280e-04
8.949999999999999289e+00,9.969380161503931248e-01,1.652810750982906557e-04
9.050000000000000711e+00,9.970011054537462059e-01,3.170767310476662617e-04
9.150000000000000355e+00,9.969990879383179294e-01,2.719123607036740367e-04
9.250000000000000000e+00,9.969911283663697166e-01,3.823032791671569634e-04
9.350000000000001421e+00,9.969860706173058196e-01,2.707577015069867195e-04
9.449999999999999289e+00,9.970733252490535659e-01,3.089956538758556470e-04
9.550000000000000711e+00,9.973970602358395166e-01,3.669590589937057347e-04
9.650000000000002132e+00,9.969217773653678005e-01,2.258678899389207715e-04
9.750000000000000000e+00,9.968990011322255151e-01,2.049854830412747343e-04
9.850000000000001421e+00,9.972015012158912395e-01,2.311247330821196715e-04
9.949999999999999289e+00,9.968070449005399514e-01,2.250385268766570451e-04
