r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,4.523419856720112129e-05,4.955938709437114716e-06
9.499999999999999556e-01,1.381947293486719686e-01,2.052475318532530433e-04
1.050000000000000044e+00,9.402768165853169213e-01,4.351207549074073049e-04
1.150000000000000133e+00,1.180429079681666105e+00,4.281768973848527893e-04
1.250000000000000000e+00,1.128990044179722707e+00,5.503572466639224852e-04
1.350000000000000089e+00,1.088083689703816637e+00,6.450696248450406853e-04
1.450000000000000178e+00,1.057568319045123939e+00,3.617200279056243710e-04
1.550000000000000044e+00,1.034181218819785197e+00,4.351133110484383011e-04
1.650000000000000133e+00,1.016386588791111212e+00,3.701130874043206368e-04
1.750000000000000000e+00,1.003735739560648543e+00,4.185312858506093857e-04
1.850000000000000089e+00,9.959282050728260893e-01,2.732166654283284951e-04
1.950000000000000178e+00,9.936041800714237038e-01,2.554678851085640770e-04
2.049999999999999822e+00,9.947867455186709673e-01,3.129153027938749699e-04
2.150000000000000355e+00,9.972226218006214893e-01,3.920867561727383981e-04
2.250000000000000000e+00,9.983871755914892621e-01,2.898487985843341253e-04
2.350000000000000533e+00,9.994015678012123649e-01,2.244511399391216475e-04
2.450000000000000178e+00,9.996299922990721232e-01,2.319043062633539321e-04
2.549999999999999822e+00,9.997348045844514086e-01,2.556163172317971058e-04
2.650000000000000355e+00,9.999580365357214617e-01,2.628257571093878839e-04
2.750000000000000000e+00,1.000089963992861097e+00,1.626835434520946871e-04
2.850000000000000533e+00,1.000024928380976785e+00,1.617976921687832637e-04
2.950000000000000178e+00,9.995953248210748265e-01,1.987699705053663725e-04
3.049999999999999822e+00,9.995418595432262743e-01,1.389987015633429147e-04
3.150000000000000355e+00,9.996220902724072266e-01,1.871728057320392647e-04
3.250000000000000000e+00,1.000232734598941242e+00,2.020302619061939051e-04
3.350000000000000533e+00,9.995389419025955124e-01,1.945652901429077513e-04
3.450000000000000178e+00,9.998788696909570728e-01,1.401812405607868312e-04
3.549999999999999822e+00,9.993988575421465237e-01,1.252198944177930929e-04
3.650000000000000355e+00,9.996289077536554268e-01,1.819695399931741775e-04
3.750000000000000000e+00,9.995101922072249234e-01,2.389735820873408021e-04
3.850000000000000533e+00,9.998688393555861254e-01,1.676790062848942681e-04
3.950000000000000178e+00,9.994418058794301007e-01,1.775883646871681131e-04
4.050000000000000711e+00,9.995798044934849358e-01,1.159239681106924230e-04
4.150000000000000355e+00,9.997472546463427312e-01,1.734644717827627230e-04
4.250000000000000000e+00,9.996941877628729989e-01,1.176421488615546167e-04
4.349999999999999645e+00,9.997959858562086577e-01,1.153846646572435279e-04
4.450000000000000178e+00,9.995912380925100482e-01,9.102188334716437173e-05
4.550000000000000711e+00,9.995324018660090015e-01,1.448154523200922853e-04
4.650000000000000355e+00,9.996619308312462149e-01,1.201699016818888433e-04
4.750000000000000000e+00,9.993477224339450959e-01,8.330368781655971499e-05
4.850000000000000533e+00,9.995488182325414916e-01,1.170305671192971032e-04
4.950000000000000178e+00,9.997270350143864226e-01,1.065258861277210194e-04
5.050000000000000711e+00,9.995928741157420472e-01,1.411017094933643445e-04
5.150000000000000355e+00,9.995746745362417141e-01,1.116653262025720569e-04
5.250000000000000000e+00,9.997223358897414647e-01,5.768480960769007792e-05
5.350000000000000533e+00,9.994270197680726886e-01,9.463913696591574095e-05
5.450000000000000178e+00,9.996720623343146039e-01,1.027106378794163315e-04
5.550000000000000711e+00,9.996380994302326295e-01,1.034949606415320154e-04
5.650000000000000355e+00,9.996927335245752166e-01,9.634159578453676826e-05
5.750000000000000000e+00,9.994553109997866835e-01,6.039885708324474234e-05
5.850000000000000533e+00,9.994957506563204586e-01,7.489821504854974146e-05
5.950000000000000178e+00,9.995208762548530856e-01,1.119363715692701239e-04
6.050000000000000711e+00,9.999220877788920214e-01,1.134659679846398707e-04
6.150000000000000355e+00,9.997369830487514708e-01,8.489459981365065635e-05
6.250000000000000000e+00,9.995159472931103295e-01,8.477217444301471481e-05
6.350000000000000533e+00,9.995869741270194675e-01,1.155359415505684799e-04
6.450000000000000178e+00,9.995107208479787619e-01,5.039228405618081366e-05
6.550000000000000711e+00,9.995285193759639863e-01,6.977410014903224187e-05
6.650000000000000355e+00,9.994852840737633581e-01,5.901599937325493041e-05
6.750000000000000000e+00,9.995361722583352426e-01,9.555511202081564033e-05
6.850000000000000533e+00,9.995257894814013611e-01,3.519564069751482865e-05
6.950000000000000178e+00,9.994689839032634415e-01,5.529512720389258626e-05
7.050000000000000711e+00,9.995274667350706466e-01,5.656606012428842844e-05
7.150000000000000355e+00,9.997106477422332826e-01,3.337506829092460334e-05
7.250000000000000000e+00,9.995736829391456135e-01,5.431659607376605639e-05
7.350000000000000533e+00,9.996426538214487900e-01,1.031233524883289933e-04
7.450000000000000178e+00,9.995975185893600790e-01,7.627125193419723387e-05
7.550000000000000711e+00,9.995825496059849158e-01,6.907735160687390882e-05
7.650000000000000355e+00,9.995354566975910293e-01,1.058280844033967106e-04
7.750000000000000000e+00,9.996799291213740446e-01,9.038859288034307559e-05
7.850000000000000533e+00,9.994278218130814295e-01,8.650319873177102464e-05
7.950000000000000178e+00,9.995709290842782480e-01,5.383527325980151413e-05
8.050000000000000711e+00,9.997753425348152589e-01,3.045325845119471216e-05
8.150000000000000355e+00,9.995853535684726676e-01,7.303451574938252472e-05
8.250000000000000000e+00,9.996503347857672583e-01,7.538612106116253191e-05
8.350000000000001421e+00,9.995833628947152771e-01,7.180493865481871315e-05
8.449999999999999289e+00,9.996823295480622429e-01,4.805263259631199671e-05
8.550000000000000711e+00,9.996145519872129404e-01,5.263551646687226657e-05
8.650000000000000355e+00,9.996697367132341139e-01,6.866037661020257430e-05
8.750000000000000000e+00,9.996275502438803917e-01,7.753310290751779822e-05
8.850000000000001421e+00,9.996615998907983913e-01,6.995687006352524734e-05
8.949999999999999289e+00,9.995633884353948284e-01,6.330174160100171391e-05
9.050000000000000711e+00,9.995511034976397591e-01,5.788115045196801279e-05
9.150000000000000355e+00,9.996936386802215413e-01,5.718588322759749978e-05
9.250000000000000000e+00,9.997289549166028522e-01,7.141467647757601385e-05
9.350000000000001421e+00,9.995703376624562875e-01,6.874230806604339202e-05
9.449999999999999289e+00,9.996120551616174410e-01,4.894157289928297000e-05
9.550000000000000711e+00,9.996082995452775233e-01,5.097211025008390958e-05
9.650000000000002132e+00,9.997515084212805769e-01,5.939412996292165093e-05
9.750000000000000000e+00,9.996113514439244341e-01,5.950782596626005274e-05
9.850000000000001421e+00,9.996615037153665506e-01,5.027947407625513805e-05
9.949999999999999289e+00,9.996261626569493686e-01,5.697604714437616265e-05
