r,gNN_mean,gNN_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,1.071978060560596357e-01,4.278854879051090070e-03
1.050000000000000044e+00,7.698887021708226142e-01,6.928233446015646078e-03
1.150000000000000133e+00,1.001164387838168857e+00,8.802812460983881412e-03
1.250000000000000000e+00,1.003919975732147085e+00,7.873945352681164037e-03
1.350000000000000089e+00,9.972493617572666391e-01,8.814408314520299700e-03
1.450000000000000178e+00,1.009343070975356804e+00,7.120173684823964504e-03
1.550000000000000044e+00,9.959081133978866518e-01,6.907574887979535047e-03
1.650000000000000133e+00,9.870499599502817745e-01,5.077848933635071421e-03
1.750000000000000000e+00,9.993527918102713681e-01,4.938437129751636033e-03
1.850000000000000089e+00,9.886409725167941698e-01,7.859361776217625370e-03
1.950000000000000178e+00,9.985503970880434954e-01,5.057156338858681717e-03
2.049999999999999822e+00,9.979310158335001901e-01,4.553460870665760468e-03
2.150000000000000355e+00,9.875192435017720038e-01,3.944631772872316151e-03
2.250000000000000000e+00,1.000433862196103529e+00,4.144969202624411257e-03
2.350000000000000533e+00,9.817947523879079208e-01,5.559483760551290829e-03
2.450000000000000178e+00,9.877965533406065646e-01,2.993278469505846785e-03
2.549999999999999822e+00,9.949475721447372800e-01,3.255116872015835147e-03
2.650000000000000355e+00,9.948762337199619221e-01,4.157800942614306612e-03
2.750000000000000000e+00,9.900226944238632587e-01,3.647231238120282951e-03
2.850000000000000533e+00,9.835811739843551837e-01,4.401197423208148135e-03
2.950000000000000178e+00,9.922809066266140565e-01,4.204535374319480490e-03
3.049999999999999822e+00,9.932895606462907034e-01,2.726674989947620083e-03
3.150000000000000355e+00,9.929907231163925818e-01,4.135706708938292030e-03
3.250000000000000000e+00,9.952733067305784553e-01,2.596560486739073886e-03
3.350000000000000533e+00,9.867414417990563180e-01,3.101072248406507026e-03
3.450000000000000178e+00,9.905808322633132823e-01,3.341139093505787229e-03
3.549999999999999822e+00,9.917339179673664296e-01,3.588047352232180947e-03
3.650000000000000355e+00,9.891105900537457973e-01,3.444547124796713822e-03
3.750000000000000000e+00,9.869670122938994927e-01,3.827112862034065359e-03
3.850000000000000533e+00,9.888153975875135782e-01,2.049059546631367985e-03
3.950000000000000178e+00,9.954133068802129003e-01,3.027470480558965438e-03
4.050000000000000711e+00,9.916877932103792537e-01,2.078436329219487521e-03
4.150000000000000355e+00,9.921003235851415525e-01,2.101881892899352434e-03
4.250000000000000000e+00,9.941376152801236765e-01,1.867106036981579578e-03
4.349999999999999645e+00,9.891031218021444360e-01,2.597405677389029964e-03
4.450000000000000178e+00,9.920456320173087761e-01,2.444637766455376102e-03
4.550000000000000711e+00,9.941288652180665375e-01,2.455822579962086034e-03
4.650000000000000355e+00,9.933066861272085157e-01,2.387740940181268083e-03
4.750000000000000000e+00,9.938038343972251942e-01,2.428436594419739088e-03
4.850000000000000533e+00,9.915080911984460732e-01,2.586131170086854950e-03
4.950000000000000178e+00,9.902888267460878691e-01,2.451595738213308180e-03
5.050000000000000711e+00,9.877303019735002021e-01,2.054445144817163265e-03
5.150000000000000355e+00,9.907656339419039782e-01,1.946739304127573017e-03
5.250000000000000000e+00,9.927418843690085648e-01,2.763108665760242739e-03
5.350000000000000533e+00,9.908165137383762033e-01,2.081881729573512984e-03
5.450000000000000178e+00,9.909637723070519044e-01,1.870477200546015288e-03
5.550000000000000711e+00,9.934757899848676299e-01,1.689784298773014740e-03
5.650000000000000355e+00,9.913973582610203783e-01,2.634241911079796949e-03
5.750000000000000000e+00,9.923065563854691629e-01,2.382754990414091400e-03
5.850000000000000533e+00,9.903233106065133518e-01,1.329589629074294553e-03
5.950000000000000178e+00,9.900439793396497157e-01,2.264510095668192079e-03
6.050000000000000711e+00,9.885193086018763120e-01,1.823868495953793632e-03
6.150000000000000355e+00,9.896086922495868077e-01,2.364845484175274494e-03
6.250000000000000000e+00,9.916074972445396707e-01,1.344204042539289034e-03
6.350000000000000533e+00,9.902611356808721510e-01,2.681644417491251160e-03
6.450000000000000178e+00,9.919722593745227135e-01,1.534267243289801682e-03
6.550000000000000711e+00,9.901086504224206886e-01,1.565404976016551708e-03
6.650000000000000355e+00,9.894781283705453845e-01,1.620379624559131109e-03
6.750000000000000000e+00,9.888660026954815274e-01,1.685317188912476569e-03
6.850000000000000533e+00,9.878565224512707577e-01,1.982616762969830956e-03
6.950000000000000178e+00,9.907979168940144188e-01,1.157851568347467936e-03
7.050000000000000711e+00,9.937773482790845936e-01,1.737768460579885857e-03
7.150000000000000355e+00,9.882970996191454693e-01,7.453649603908772724e-04
7.250000000000000000e+00,9.901555779273423230e-01,1.090492599053935995e-03
7.350000000000000533e+00,9.919871712055498003e-01,1.462454604164432860e-03
7.450000000000000178e+00,9.879314094361248966e-01,1.157798282852658426e-03
7.550000000000000711e+00,9.883861726641214318e-01,1.279952800900499132e-03
7.650000000000000355e+00,9.902802321359851501e-01,1.315178760372585605e-03
7.750000000000000000e+00,9.899919439818816169e-01,6.499824408882240532e-04
7.850000000000000533e+00,9.907891546910325697e-01,1.510512882094582803e-03
7.950000000000000178e+00,9.905462502137722947e-01,1.480936579275740411e-03
8.050000000000000711e+00,9.875833347309159738e-01,1.105159645147791182e-03
8.150000000000000355e+00,9.884546210333213789e-01,1.120135918924831378e-03
8.250000000000000000e+00,9.905449526055363219e-01,9.711835976186569555e-04
8.350000000000001421e+00,9.880035224119945170e-01,7.324740161446771690e-04
8.449999999999999289e+00,9.902068750226931115e-01,1.401606819026369414e-03
8.550000000000000711e+00,9.913081852096541358e-01,7.184016511932497361e-04
8.650000000000000355e+00,9.878275432565135628e-01,1.206440325231800288e-03
8.750000000000000000e+00,9.918416011068627025e-01,1.119081431402334280e-03
8.850000000000001421e+00,9.894725648179913957e-01,1.334898566599778975e-03
8.949999999999999289e+00,9.907048038146658575e-01,1.300329156527435135e-03
9.050000000000000711e+00,9.895169121015989777e-01,1.009067534820774683e-03
9.150000000000000355e+00,9.922704947768444805e-01,9.410069394734419486e-04
9.250000000000000000e+00,9.917050603686133892e-01,1.318425086575078726e-03
9.350000000000001421e+00,9.918835533596809251e-01,1.585689781033130467e-03
9.449999999999999289e+00,9.919245437993582382e-01,1.140231753363986659e-03
9.550000000000000711e+00,9.901377041332024564e-01,1.115289594010260678e-03
9.650000000000002132e+00,9.901604127123176946e-01,1.251048564982151605e-03
9.750000000000000000e+00,9.903539566261649885e-01,1.059847194650300481e-03
9.850000000000001421e+00,9.906811388933401963e-01,9.832075448378142356e-04
9.949999999999999289e+00,9.905101527411023232e-01,1.338606690789143332e-03
